# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 4.106000e-01 5.906000e+00 8.639444e-03
1.100000e+01 4.306000e-01 6.110000e+00 9.063112e-03
1.200000e+01 4.498000e-01 6.297000e+00 9.486833e-03
1.300000e+01 4.682000e-01 6.471000e+00 9.867117e-03
1.400000e+01 4.858000e-01 6.633000e+00 1.029077e-02
1.500000e+01 5.029000e-01 6.784000e+00 1.071448e-02
1.600000e+01 5.194000e-01 6.926000e+00 1.102452e-02
1.700000e+01 5.354000e-01 7.060000e+00 1.144814e-02
1.800000e+01 5.509000e-01 7.186000e+00 1.175245e-02
2.000000e+01 5.807000e-01 7.419000e+00 1.248599e-02
2.250000e+01 6.159000e-01 7.678000e+00 1.341044e-02
2.500000e+01 6.492000e-01 7.909000e+00 1.423411e-02
2.750000e+01 6.809000e-01 8.116000e+00 1.506320e-02
3.000000e+01 7.112000e-01 8.303000e+00 1.588742e-02
3.250000e+01 7.402000e-01 8.473000e+00 1.662077e-02
3.500000e+01 7.682000e-01 8.629000e+00 1.742728e-02
3.750000e+01 7.951000e-01 8.772000e+00 1.816067e-02
4.000000e+01 8.212000e-01 8.904000e+00 1.888942e-02
4.500000e+01 8.710000e-01 9.139000e+00 2.033372e-02
5.000000e+01 9.181000e-01 9.342000e+00 2.175638e-02
5.500000e+01 9.630000e-01 9.520000e+00 2.320108e-02
6.000000e+01 1.006000e+00 9.677000e+00 2.454567e-02
6.500000e+01 1.047000e+00 9.816000e+00 2.589421e-02
7.000000e+01 1.086000e+00 9.939000e+00 2.722168e-02
8.000000e+01 1.161000e+00 1.015000e+01 2.980168e-02
9.000000e+01 1.232000e+00 1.032000e+01 3.226484e-02
1.000000e+02 1.298000e+00 1.046000e+01 3.480805e-02
1.100000e+02 1.362000e+00 1.057000e+01 3.719543e-02
1.200000e+02 1.422000e+00 1.066000e+01 3.965930e-02
1.300000e+02 1.480000e+00 1.074000e+01 4.201024e-02
1.400000e+02 1.536000e+00 1.080000e+01 4.437781e-02
1.500000e+02 1.590000e+00 1.085000e+01 4.672911e-02
1.600000e+02 1.642000e+00 1.089000e+01 4.906139e-02
1.700000e+02 1.693000e+00 1.092000e+01 5.142927e-02
1.800000e+02 1.742000e+00 1.095000e+01 5.368426e-02
2.000000e+02 1.836000e+00 1.098000e+01 5.827264e-02
2.250000e+02 1.948000e+00 1.099000e+01 6.390023e-02
2.500000e+02 2.053000e+00 1.097000e+01 6.962535e-02
2.750000e+02 2.153000e+00 1.094000e+01 7.515664e-02
3.000000e+02 2.224000e+00 1.090000e+01 8.076998e-02
3.250000e+02 2.195000e+00 1.085000e+01 8.638113e-02
3.500000e+02 2.210000e+00 1.079000e+01 9.199527e-02
3.750000e+02 2.254000e+00 1.073000e+01 9.770450e-02
4.000000e+02 2.316000e+00 1.066000e+01 1.033192e-01
4.500000e+02 2.469000e+00 1.052000e+01 1.147270e-01
5.000000e+02 2.635000e+00 1.037000e+01 1.260361e-01
5.500000e+02 2.797000e+00 1.021000e+01 1.373484e-01
6.000000e+02 2.948000e+00 1.006000e+01 1.487424e-01
6.500000e+02 3.086000e+00 9.902000e+00 1.601210e-01
7.000000e+02 3.211000e+00 9.751000e+00 1.715166e-01
8.000000e+02 3.422000e+00 9.457000e+00 1.943915e-01
9.000000e+02 3.592000e+00 9.178000e+00 2.175485e-01
1.000000e+03 3.730000e+00 8.914000e+00 2.408880e-01
1.100000e+03 3.846000e+00 8.666000e+00 2.645237e-01
1.200000e+03 3.945000e+00 8.431000e+00 2.884404e-01
1.300000e+03 4.034000e+00 8.210000e+00 3.126664e-01
1.400000e+03 4.114000e+00 8.002000e+00 3.370776e-01
1.500000e+03 4.190000e+00 7.806000e+00 3.618690e-01
1.600000e+03 4.263000e+00 7.620000e+00 3.868728e-01
1.700000e+03 4.334000e+00 7.444000e+00 4.120607e-01
1.800000e+03 4.403000e+00 7.277000e+00 4.375574e-01
2.000000e+03 4.542000e+00 6.969000e+00 4.891340e-01
2.250000e+03 4.717000e+00 6.624000e+00 5.546592e-01
2.500000e+03 4.896000e+00 6.317000e+00 6.210506e-01
2.750000e+03 5.078000e+00 6.042000e+00 6.881992e-01
3.000000e+03 5.264000e+00 5.794000e+00 7.559320e-01
3.250000e+03 5.453000e+00 5.568000e+00 8.239195e-01
3.500000e+03 5.644000e+00 5.363000e+00 8.921094e-01
3.750000e+03 5.836000e+00 5.174000e+00 9.603573e-01
4.000000e+03 6.028000e+00 5.000000e+00 1.032921e+00
4.500000e+03 6.413000e+00 4.691000e+00 1.164040e+00
5.000000e+03 6.797000e+00 4.424000e+00 1.295039e+00
5.500000e+03 7.177000e+00 4.189000e+00 1.435821e+00
6.000000e+03 7.553000e+00 3.982000e+00 1.566615e+00
6.500000e+03 7.925000e+00 3.798000e+00 1.697331e+00
7.000000e+03 8.294000e+00 3.632000e+00 1.818039e+00
8.000000e+03 9.022000e+00 3.346000e+00 2.069283e+00
9.000000e+03 9.740000e+00 3.107000e+00 2.310302e+00
1.000000e+04 1.045000e+01 2.904000e+00 2.541155e+00
