# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.083000e-01 5.868000e+00 8.778952e-03
1.100000e+01 2.184000e-01 6.066000e+00 9.202717e-03
1.200000e+01 2.282000e-01 6.249000e+00 9.721111e-03
1.300000e+01 2.375000e-01 6.417000e+00 1.012571e-02
1.400000e+01 2.464000e-01 6.574000e+00 1.054941e-02
1.500000e+01 2.551000e-01 6.721000e+00 1.094806e-02
1.600000e+01 2.635000e-01 6.859000e+00 1.137190e-02
1.700000e+01 2.716000e-01 6.988000e+00 1.168161e-02
1.800000e+01 2.794000e-01 7.110000e+00 1.210537e-02
2.000000e+01 2.945000e-01 7.334000e+00 1.283900e-02
2.250000e+01 3.124000e-01 7.583000e+00 1.375718e-02
2.500000e+01 3.293000e-01 7.804000e+00 1.468128e-02
2.750000e+01 3.454000e-01 8.003000e+00 1.552868e-02
3.000000e+01 3.607000e-01 8.181000e+00 1.635757e-02
3.250000e+01 3.755000e-01 8.343000e+00 1.718139e-02
3.500000e+01 3.897000e-01 8.491000e+00 1.801027e-02
3.750000e+01 4.033000e-01 8.627000e+00 1.881622e-02
4.000000e+01 4.166000e-01 8.752000e+00 1.956783e-02
4.500000e+01 4.418000e-01 8.974000e+00 2.110734e-02
5.000000e+01 4.657000e-01 9.165000e+00 2.266517e-02
5.500000e+01 4.885000e-01 9.331000e+00 2.410933e-02
6.000000e+01 5.102000e-01 9.477000e+00 2.554936e-02
6.500000e+01 5.310000e-01 9.605000e+00 2.699370e-02
7.000000e+01 5.511000e-01 9.719000e+00 2.834219e-02
8.000000e+01 5.891000e-01 9.910000e+00 3.113117e-02
9.000000e+01 6.248000e-01 1.006000e+01 3.390295e-02
1.000000e+02 6.586000e-01 1.019000e+01 3.655804e-02
1.100000e+02 6.908000e-01 1.029000e+01 3.913809e-02
1.200000e+02 7.215000e-01 1.037000e+01 4.181459e-02
1.300000e+02 7.510000e-01 1.043000e+01 4.437443e-02
1.400000e+02 7.793000e-01 1.048000e+01 4.695477e-02
1.500000e+02 8.067000e-01 1.052000e+01 4.951505e-02
1.600000e+02 8.331000e-01 1.055000e+01 5.209549e-02
1.700000e+02 8.588000e-01 1.057000e+01 5.463955e-02
1.800000e+02 8.837000e-01 1.059000e+01 5.720044e-02
2.000000e+02 9.315000e-01 1.060000e+01 6.224540e-02
2.250000e+02 9.880000e-01 1.060000e+01 6.850650e-02
2.500000e+02 1.041000e+00 1.057000e+01 7.484577e-02
2.750000e+02 1.092000e+00 1.053000e+01 8.110771e-02
3.000000e+02 1.215000e+00 1.048000e+01 8.733539e-02
3.250000e+02 1.331000e+00 1.041000e+01 9.357932e-02
3.500000e+02 1.419000e+00 1.035000e+01 9.982359e-02
3.750000e+02 1.488000e+00 1.027000e+01 1.060527e-01
4.000000e+02 1.544000e+00 1.020000e+01 1.122642e-01
4.500000e+02 1.631000e+00 1.004000e+01 1.248369e-01
5.000000e+02 1.703000e+00 9.881000e+00 1.373927e-01
5.500000e+02 1.769000e+00 9.719000e+00 1.501615e-01
6.000000e+02 1.834000e+00 9.558000e+00 1.629966e-01
6.500000e+02 1.901000e+00 9.400000e+00 1.760421e-01
7.000000e+02 1.969000e+00 9.245000e+00 1.891716e-01
8.000000e+02 2.112000e+00 8.947000e+00 2.156568e-01
9.000000e+02 2.261000e+00 8.666000e+00 2.425209e-01
1.000000e+03 2.412000e+00 8.403000e+00 2.697783e-01
1.100000e+03 2.565000e+00 8.156000e+00 2.972996e-01
1.200000e+03 2.717000e+00 7.924000e+00 3.250482e-01
1.300000e+03 2.866000e+00 7.707000e+00 3.530480e-01
1.400000e+03 3.014000e+00 7.503000e+00 3.812462e-01
1.500000e+03 3.158000e+00 7.311000e+00 4.095444e-01
1.600000e+03 3.299000e+00 7.130000e+00 4.380258e-01
1.700000e+03 3.437000e+00 6.959000e+00 4.665926e-01
1.800000e+03 3.571000e+00 6.798000e+00 4.952595e-01
2.000000e+03 3.831000e+00 6.500000e+00 5.528799e-01
2.250000e+03 4.140000e+00 6.168000e+00 6.251594e-01
2.500000e+03 4.433000e+00 5.873000e+00 6.976747e-01
2.750000e+03 4.714000e+00 5.610000e+00 7.701206e-01
3.000000e+03 4.985000e+00 5.374000e+00 8.424383e-01
3.250000e+03 5.247000e+00 5.159000e+00 9.145904e-01
3.500000e+03 5.503000e+00 4.964000e+00 9.864180e-01
3.750000e+03 5.753000e+00 4.786000e+00 1.055039e+00
4.000000e+03 5.999000e+00 4.622000e+00 1.125601e+00
4.500000e+03 6.482000e+00 4.330000e+00 1.266663e+00
5.000000e+03 6.957000e+00 4.079000e+00 1.407566e+00
5.500000e+03 7.427000e+00 3.859000e+00 1.538448e+00
6.000000e+03 7.895000e+00 3.665000e+00 1.669206e+00
6.500000e+03 8.362000e+00 3.492000e+00 1.799832e+00
7.000000e+03 8.829000e+00 3.337000e+00 1.930344e+00
8.000000e+03 9.761000e+00 3.071000e+00 2.171445e+00
9.000000e+03 1.069000e+01 2.849000e+00 2.402267e+00
1.000000e+04 1.162000e+01 2.661000e+00 2.612987e+00
