# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.425000e-01 4.836000e+00 8.831761e-03
1.100000e+01 2.544000e-01 4.957000e+00 9.377633e-03
1.200000e+01 2.657000e-01 5.066000e+00 9.893938e-03
1.300000e+01 2.765000e-01 5.165000e+00 1.041057e-02
1.400000e+01 2.870000e-01 5.255000e+00 1.092749e-02
1.500000e+01 2.970000e-01 5.338000e+00 1.147301e-02
1.600000e+01 3.068000e-01 5.413000e+00 1.189664e-02
1.700000e+01 3.162000e-01 5.483000e+00 1.241370e-02
1.800000e+01 3.254000e-01 5.548000e+00 1.283745e-02
2.000000e+01 3.430000e-01 5.663000e+00 1.377861e-02
2.250000e+01 3.638000e-01 5.787000e+00 1.493486e-02
2.500000e+01 3.835000e-01 5.891000e+00 1.601905e-02
2.750000e+01 4.022000e-01 5.980000e+00 1.714818e-02
3.000000e+01 4.201000e-01 6.057000e+00 1.821071e-02
3.250000e+01 4.372000e-01 6.123000e+00 1.924656e-02
3.500000e+01 4.537000e-01 6.181000e+00 2.030911e-02
3.750000e+01 4.697000e-01 6.231000e+00 2.134526e-02
4.000000e+01 4.851000e-01 6.274000e+00 2.240781e-02
4.500000e+01 5.145000e-01 6.345000e+00 2.446017e-02
5.000000e+01 5.423000e-01 6.398000e+00 2.646507e-02
5.500000e+01 5.688000e-01 6.437000e+00 2.853910e-02
6.000000e+01 5.941000e-01 6.466000e+00 3.052393e-02
6.500000e+01 6.183000e-01 6.485000e+00 3.250385e-02
7.000000e+01 6.417000e-01 6.498000e+00 3.448898e-02
8.000000e+01 6.860000e-01 6.506000e+00 3.842994e-02
9.000000e+01 7.276000e-01 6.497000e+00 4.239599e-02
1.000000e+02 7.670000e-01 6.476000e+00 4.624305e-02
1.100000e+02 8.044000e-01 6.446000e+00 5.016672e-02
1.200000e+02 8.402000e-01 6.409000e+00 5.413354e-02
1.300000e+02 8.745000e-01 6.368000e+00 5.805825e-02
1.400000e+02 9.075000e-01 6.324000e+00 6.200202e-02
1.500000e+02 9.393000e-01 6.277000e+00 6.592761e-02
1.600000e+02 9.701000e-01 6.228000e+00 6.985363e-02
1.700000e+02 1.002000e+00 6.178000e+00 7.389378e-02
1.800000e+02 1.127000e+00 6.127000e+00 7.782037e-02
2.000000e+02 1.299000e+00 6.024000e+00 8.576561e-02
2.250000e+02 1.426000e+00 5.895000e+00 9.556218e-02
2.500000e+02 1.500000e+00 5.769000e+00 1.054561e-01
2.750000e+02 1.550000e+00 5.646000e+00 1.153297e-01
3.000000e+02 1.591000e+00 5.527000e+00 1.255104e-01
3.250000e+02 1.630000e+00 5.413000e+00 1.356962e-01
3.500000e+02 1.671000e+00 5.303000e+00 1.460549e-01
3.750000e+02 1.715000e+00 5.198000e+00 1.564149e-01
4.000000e+02 1.763000e+00 5.097000e+00 1.669690e-01
4.500000e+02 1.870000e+00 4.907000e+00 1.882934e-01
5.000000e+02 1.988000e+00 4.732000e+00 2.099073e-01
5.500000e+02 2.113000e+00 4.571000e+00 2.316825e-01
6.000000e+02 2.242000e+00 4.422000e+00 2.535543e-01
6.500000e+02 2.371000e+00 4.284000e+00 2.754918e-01
7.000000e+02 2.500000e+00 4.156000e+00 2.975294e-01
8.000000e+02 2.750000e+00 3.924000e+00 3.415757e-01
9.000000e+02 2.987000e+00 3.721000e+00 3.854482e-01
1.000000e+03 3.210000e+00 3.541000e+00 4.291829e-01
1.100000e+03 3.418000e+00 3.381000e+00 4.726346e-01
1.200000e+03 3.614000e+00 3.237000e+00 5.159646e-01
1.300000e+03 3.798000e+00 3.106000e+00 5.588511e-01
1.400000e+03 3.973000e+00 2.988000e+00 6.015720e-01
1.500000e+03 4.139000e+00 2.879000e+00 6.438939e-01
1.600000e+03 4.299000e+00 2.780000e+00 6.859538e-01
1.700000e+03 4.452000e+00 2.688000e+00 7.276984e-01
1.800000e+03 4.601000e+00 2.603000e+00 7.691126e-01
2.000000e+03 4.889000e+00 2.451000e+00 8.509231e-01
2.250000e+03 5.235000e+00 2.287000e+00 9.512079e-01
2.500000e+03 5.572000e+00 2.147000e+00 1.047700e+00
2.750000e+03 5.907000e+00 2.025000e+00 1.148268e+00
3.000000e+03 6.241000e+00 1.918000e+00 1.238883e+00
3.250000e+03 6.577000e+00 1.824000e+00 1.329372e+00
3.500000e+03 6.915000e+00 1.739000e+00 1.419762e+00
3.750000e+03 7.256000e+00 1.663000e+00 1.500202e+00
4.000000e+03 7.599000e+00 1.594000e+00 1.580551e+00
4.500000e+03 8.290000e+00 1.475000e+00 1.741106e+00
5.000000e+03 8.986000e+00 1.374000e+00 1.891525e+00
5.500000e+03 9.682000e+00 1.287000e+00 2.031853e+00
6.000000e+03 1.037000e+01 1.212000e+00 2.172012e+00
6.500000e+03 1.106000e+01 1.146000e+00 2.292234e+00
7.000000e+03 1.173000e+01 1.088000e+00 2.412331e+00
8.000000e+03 1.304000e+01 9.898000e-01 2.642464e+00
9.000000e+03 1.428000e+01 9.093000e-01 2.852489e+00
1.000000e+04 1.545000e+01 8.422000e-01 3.042460e+00
