# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 4.268000e-01 2.316000e+00 1.209545e-02
1.100000e+01 4.476000e-01 2.329000e+00 1.309695e-02
1.200000e+01 4.675000e-01 2.338000e+00 1.397283e-02
1.300000e+01 4.866000e-01 2.344000e+00 1.484891e-02
1.400000e+01 5.050000e-01 2.348000e+00 1.581423e-02
1.500000e+01 5.227000e-01 2.349000e+00 1.671736e-02
1.600000e+01 5.398000e-01 2.349000e+00 1.755762e-02
1.700000e+01 5.564000e-01 2.347000e+00 1.843421e-02
1.800000e+01 5.726000e-01 2.344000e+00 1.931088e-02
2.000000e+01 6.035000e-01 2.335000e+00 2.115420e-02
2.250000e+01 6.402000e-01 2.319000e+00 2.332895e-02
2.500000e+01 6.748000e-01 2.300000e+00 2.559434e-02
2.750000e+01 7.077000e-01 2.279000e+00 2.773554e-02
3.000000e+01 7.392000e-01 2.257000e+00 3.000217e-02
3.250000e+01 7.694000e-01 2.234000e+00 3.224453e-02
3.500000e+01 7.984000e-01 2.210000e+00 3.438750e-02
3.750000e+01 8.264000e-01 2.186000e+00 3.665529e-02
4.000000e+01 8.536000e-01 2.162000e+00 3.886618e-02
4.500000e+01 9.053000e-01 2.114000e+00 4.327886e-02
5.000000e+01 9.543000e-01 2.067000e+00 4.772808e-02
5.500000e+01 1.001000e+00 2.022000e+00 5.221082e-02
6.000000e+01 1.045000e+00 1.978000e+00 5.675500e-02
6.500000e+01 1.088000e+00 1.937000e+00 6.120833e-02
7.000000e+01 1.129000e+00 1.896000e+00 6.572435e-02
8.000000e+01 1.200000e+00 1.821000e+00 7.476878e-02
9.000000e+01 1.260000e+00 1.752000e+00 8.383901e-02
1.000000e+02 1.312000e+00 1.689000e+00 9.301871e-02
1.100000e+02 1.360000e+00 1.630000e+00 1.022526e-01
1.200000e+02 1.404000e+00 1.577000e+00 1.115334e-01
1.300000e+02 1.446000e+00 1.527000e+00 1.209112e-01
1.400000e+02 1.485000e+00 1.480000e+00 1.302647e-01
1.500000e+02 1.524000e+00 1.437000e+00 1.397153e-01
1.600000e+02 1.561000e+00 1.397000e+00 1.491422e-01
1.700000e+02 1.598000e+00 1.359000e+00 1.586663e-01
1.800000e+02 1.634000e+00 1.324000e+00 1.681931e-01
2.000000e+02 1.706000e+00 1.260000e+00 1.872079e-01
2.250000e+02 1.794000e+00 1.189000e+00 2.109985e-01
2.500000e+02 1.882000e+00 1.127000e+00 2.346635e-01
2.750000e+02 1.970000e+00 1.072000e+00 2.581745e-01
3.000000e+02 2.058000e+00 1.023000e+00 2.815399e-01
3.250000e+02 2.147000e+00 9.787000e-01 3.045617e-01
3.500000e+02 2.236000e+00 9.389000e-01 3.273607e-01
3.750000e+02 2.325000e+00 9.027000e-01 3.497803e-01
4.000000e+02 2.414000e+00 8.697000e-01 3.719199e-01
4.500000e+02 2.592000e+00 8.113000e-01 4.150642e-01
5.000000e+02 2.768000e+00 7.613000e-01 4.567945e-01
5.500000e+02 2.943000e+00 7.180000e-01 4.972238e-01
6.000000e+02 3.116000e+00 6.800000e-01 5.362927e-01
6.500000e+02 3.285000e+00 6.463000e-01 5.740782e-01
7.000000e+02 3.452000e+00 6.163000e-01 6.106318e-01
8.000000e+02 3.777000e+00 5.648000e-01 6.804888e-01
9.000000e+02 4.090000e+00 5.223000e-01 7.462944e-01
1.000000e+03 4.390000e+00 4.865000e-01 8.085793e-01
1.100000e+03 4.680000e+00 4.558000e-01 8.677073e-01
1.200000e+03 4.958000e+00 4.291000e-01 9.241477e-01
1.300000e+03 5.227000e+00 4.058000e-01 9.781379e-01
1.400000e+03 5.487000e+00 3.852000e-01 1.029002e+00
1.500000e+03 5.739000e+00 3.668000e-01 1.079035e+00
1.600000e+03 5.983000e+00 3.502000e-01 1.129009e+00
1.700000e+03 6.221000e+00 3.353000e-01 1.178927e+00
1.800000e+03 6.452000e+00 3.217000e-01 1.218970e+00
2.000000e+03 6.897000e+00 2.979000e-01 1.308839e+00
2.250000e+03 7.424000e+00 2.732000e-01 1.408721e+00
2.500000e+03 7.925000e+00 2.526000e-01 1.498625e+00
2.750000e+03 8.403000e+00 2.352000e-01 1.588439e+00
3.000000e+03 8.860000e+00 2.202000e-01 1.678187e+00
3.250000e+03 9.299000e+00 2.073000e-01 1.757997e+00
3.500000e+03 9.719000e+00 1.959000e-01 1.837773e+00
3.750000e+03 1.012000e+01 1.858000e-01 1.907621e+00
4.000000e+03 1.051000e+01 1.767000e-01 1.987341e+00
4.500000e+03 1.124000e+01 1.613000e-01 2.117073e+00
5.000000e+03 1.191000e+01 1.486000e-01 2.246732e+00
5.500000e+03 1.253000e+01 1.379000e-01 2.376363e+00
6.000000e+03 1.309000e+01 1.287000e-01 2.496042e+00
6.500000e+03 1.361000e+01 1.208000e-01 2.605777e+00
7.000000e+03 1.407000e+01 1.139000e-01 2.715491e+00
8.000000e+03 1.489000e+01 1.023000e-01 2.925042e+00
9.000000e+03 1.556000e+01 9.308000e-02 3.124631e+00
1.000000e+04 1.612000e+01 8.547000e-02 3.314263e+00
