# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.254000e-01 5.599000e+00 8.731552e-03
1.100000e+01 2.364000e-01 5.774000e+00 9.155326e-03
1.200000e+01 2.469000e-01 5.934000e+00 9.673159e-03
1.300000e+01 2.569000e-01 6.081000e+00 1.007671e-02
1.400000e+01 2.666000e-01 6.217000e+00 1.050048e-02
1.500000e+01 2.760000e-01 6.343000e+00 1.092428e-02
1.600000e+01 2.851000e-01 6.461000e+00 1.134813e-02
1.700000e+01 2.938000e-01 6.572000e+00 1.174606e-02
1.800000e+01 3.023000e-01 6.676000e+00 1.214990e-02
2.000000e+01 3.187000e-01 6.865000e+00 1.299769e-02
2.250000e+01 3.380000e-01 7.074000e+00 1.392049e-02
2.500000e+01 3.563000e-01 7.257000e+00 1.486304e-02
2.750000e+01 3.737000e-01 7.420000e+00 1.580570e-02
3.000000e+01 3.903000e-01 7.565000e+00 1.672902e-02
3.250000e+01 4.063000e-01 7.695000e+00 1.757669e-02
3.500000e+01 4.216000e-01 7.813000e+00 1.840516e-02
3.750000e+01 4.364000e-01 7.920000e+00 1.932382e-02
4.000000e+01 4.507000e-01 8.017000e+00 2.015242e-02
4.500000e+01 4.780000e-01 8.188000e+00 2.180505e-02
5.000000e+01 5.039000e-01 8.332000e+00 2.338589e-02
5.500000e+01 5.285000e-01 8.454000e+00 2.503877e-02
6.000000e+01 5.520000e-01 8.559000e+00 2.657781e-02
6.500000e+01 5.745000e-01 8.650000e+00 2.813556e-02
7.000000e+01 5.962000e-01 8.728000e+00 2.969343e-02
8.000000e+01 6.374000e-01 8.854000e+00 3.269526e-02
9.000000e+01 6.761000e-01 8.948000e+00 3.577513e-02
1.000000e+02 7.126000e-01 9.018000e+00 3.865980e-02
1.100000e+02 7.474000e-01 9.069000e+00 4.166245e-02
1.200000e+02 7.807000e-01 9.105000e+00 4.454773e-02
1.300000e+02 8.125000e-01 9.128000e+00 4.743691e-02
1.400000e+02 8.432000e-01 9.142000e+00 5.032256e-02
1.500000e+02 8.728000e-01 9.147000e+00 5.319107e-02
1.600000e+02 9.014000e-01 9.146000e+00 5.605997e-02
1.700000e+02 9.292000e-01 9.139000e+00 5.894625e-02
1.800000e+02 9.561000e-01 9.127000e+00 6.183607e-02
2.000000e+02 1.008000e+00 9.091000e+00 6.759209e-02
2.250000e+02 1.069000e+00 9.030000e+00 7.477700e-02
2.500000e+02 1.181000e+00 8.956000e+00 8.195932e-02
2.750000e+02 1.355000e+00 8.874000e+00 8.912603e-02
3.000000e+02 1.473000e+00 8.787000e+00 9.619678e-02
3.250000e+02 1.557000e+00 8.696000e+00 1.032680e-01
3.500000e+02 1.617000e+00 8.603000e+00 1.104366e-01
3.750000e+02 1.664000e+00 8.509000e+00 1.176057e-01
4.000000e+02 1.703000e+00 8.415000e+00 1.247563e-01
4.500000e+02 1.769000e+00 8.228000e+00 1.392903e-01
5.000000e+02 1.833000e+00 8.046000e+00 1.540985e-01
5.500000e+02 1.899000e+00 7.869000e+00 1.690054e-01
6.000000e+02 1.971000e+00 7.698000e+00 1.841082e-01
6.500000e+02 2.047000e+00 7.534000e+00 1.993920e-01
7.000000e+02 2.128000e+00 7.377000e+00 2.147893e-01
8.000000e+02 2.299000e+00 7.083000e+00 2.460740e-01
9.000000e+02 2.475000e+00 6.813000e+00 2.776380e-01
1.000000e+03 2.653000e+00 6.565000e+00 3.095793e-01
1.100000e+03 2.828000e+00 6.337000e+00 3.418008e-01
1.200000e+03 2.999000e+00 6.127000e+00 3.741913e-01
1.300000e+03 3.164000e+00 5.932000e+00 4.066809e-01
1.400000e+03 3.324000e+00 5.751000e+00 4.393403e-01
1.500000e+03 3.478000e+00 5.583000e+00 4.721007e-01
1.600000e+03 3.626000e+00 5.426000e+00 5.048337e-01
1.700000e+03 3.768000e+00 5.279000e+00 5.376529e-01
1.800000e+03 3.906000e+00 5.141000e+00 5.705598e-01
2.000000e+03 4.168000e+00 4.890000e+00 6.363537e-01
2.250000e+03 4.475000e+00 4.613000e+00 7.186021e-01
2.500000e+03 4.764000e+00 4.371000e+00 8.004620e-01
2.750000e+03 5.041000e+00 4.157000e+00 8.820464e-01
3.000000e+03 5.310000e+00 3.966000e+00 9.629767e-01
3.250000e+03 5.572000e+00 3.795000e+00 1.045715e+00
3.500000e+03 5.832000e+00 3.640000e+00 1.126324e+00
3.750000e+03 6.089000e+00 3.499000e+00 1.197014e+00
4.000000e+03 6.346000e+00 3.371000e+00 1.277510e+00
4.500000e+03 6.860000e+00 3.144000e+00 1.428562e+00
5.000000e+03 7.380000e+00 2.949000e+00 1.579395e+00
5.500000e+03 7.907000e+00 2.781000e+00 1.720169e+00
6.000000e+03 8.440000e+00 2.633000e+00 1.860774e+00
6.500000e+03 8.979000e+00 2.503000e+00 1.991345e+00
7.000000e+03 9.523000e+00 2.386000e+00 2.121792e+00
8.000000e+03 1.062000e+01 2.186000e+00 2.372566e+00
9.000000e+03 1.171000e+01 2.021000e+00 2.593242e+00
1.000000e+04 1.279000e+01 1.882000e+00 2.813589e+00
