# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.161000e+02 1.069000e+03 1.053803e-02
1.100000e+01 1.218000e+02 1.082000e+03 1.120848e-02
1.200000e+01 1.272000e+02 1.094000e+03 1.196077e-02
1.300000e+01 1.324000e+02 1.103000e+03 1.271338e-02
1.400000e+01 1.374000e+02 1.111000e+03 1.344061e-02
1.500000e+01 1.421000e+02 1.118000e+03 1.410284e-02
1.600000e+01 1.468000e+02 1.124000e+03 1.486405e-02
1.700000e+01 1.514000e+02 1.129000e+03 1.552611e-02
1.800000e+01 1.557000e+02 1.133000e+03 1.627913e-02
2.000000e+01 1.641000e+02 1.139000e+03 1.766947e-02
2.250000e+01 1.741000e+02 1.143000e+03 1.936672e-02
2.500000e+01 1.835000e+02 1.145000e+03 2.108886e-02
2.750000e+01 1.925000e+02 1.145000e+03 2.281118e-02
3.000000e+01 2.011000e+02 1.143000e+03 2.450979e-02
3.250000e+01 2.093000e+02 1.140000e+03 2.620095e-02
3.500000e+01 2.172000e+02 1.136000e+03 2.790036e-02
3.750000e+01 2.248000e+02 1.131000e+03 2.962330e-02
4.000000e+01 2.321000e+02 1.126000e+03 3.132315e-02
4.500000e+01 2.463000e+02 1.115000e+03 3.471570e-02
5.000000e+01 2.595000e+02 1.102000e+03 3.810905e-02
5.500000e+01 2.722000e+02 1.089000e+03 4.157355e-02
6.000000e+01 2.843000e+02 1.075000e+03 4.496821e-02
6.500000e+01 2.960000e+02 1.061000e+03 4.843449e-02
7.000000e+01 3.071000e+02 1.048000e+03 5.192312e-02
8.000000e+01 3.283000e+02 1.020000e+03 5.888005e-02
9.000000e+01 3.485000e+02 9.941000e+02 6.581003e-02
1.000000e+02 3.777000e+02 9.686000e+02 7.283536e-02
1.100000e+02 4.025000e+02 9.445000e+02 7.993560e-02
1.200000e+02 4.243000e+02 9.214000e+02 8.693653e-02
1.300000e+02 4.437000e+02 8.996000e+02 9.403303e-02
1.400000e+02 4.620000e+02 8.785000e+02 1.011109e-01
1.500000e+02 4.794000e+02 8.588000e+02 1.082781e-01
1.600000e+02 4.957000e+02 8.401000e+02 1.154468e-01
1.700000e+02 5.120000e+02 8.221000e+02 1.226229e-01
1.800000e+02 5.277000e+02 8.051000e+02 1.297492e-01
2.000000e+02 5.583000e+02 7.735000e+02 1.442650e-01
2.250000e+02 5.953000e+02 7.378000e+02 1.623491e-01
2.500000e+02 6.307000e+02 7.055000e+02 1.804921e-01
2.750000e+02 6.647000e+02 6.766000e+02 1.986177e-01
3.000000e+02 6.973000e+02 6.504000e+02 2.166117e-01
3.250000e+02 7.289000e+02 6.263000e+02 2.346617e-01
3.500000e+02 7.599000e+02 6.045000e+02 2.525994e-01
3.750000e+02 7.895000e+02 5.841000e+02 2.704280e-01
4.000000e+02 8.184000e+02 5.654000e+02 2.882185e-01
4.500000e+02 8.741000e+02 5.321000e+02 3.233338e-01
5.000000e+02 9.275000e+02 5.028000e+02 3.580981e-01
5.500000e+02 9.788000e+02 4.770000e+02 3.922987e-01
6.000000e+02 1.028000e+03 4.546000e+02 4.259406e-01
6.500000e+02 1.077000e+03 4.342000e+02 4.590218e-01
7.000000e+02 1.124000e+03 4.158000e+02 4.915593e-01
