# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 1.456000e+02 6.705000e+02 1.331691e-02
1.100000e+01 1.527000e+02 6.718000e+02 1.431817e-02
1.200000e+01 1.595000e+02 6.722000e+02 1.530947e-02
1.300000e+01 1.660000e+02 6.722000e+02 1.639939e-02
1.400000e+01 1.722000e+02 6.711000e+02 1.739109e-02
1.500000e+01 1.783000e+02 6.698000e+02 1.848161e-02
1.600000e+01 1.841000e+02 6.677000e+02 1.947357e-02
1.700000e+01 1.898000e+02 6.657000e+02 2.047560e-02
1.800000e+01 1.953000e+02 6.633000e+02 2.152998e-02
2.000000e+01 2.059000e+02 6.579000e+02 2.361377e-02
2.250000e+01 2.184000e+02 6.501000e+02 2.611819e-02
2.500000e+01 2.302000e+02 6.419000e+02 2.871306e-02
2.750000e+01 2.414000e+02 6.334000e+02 3.121874e-02
3.000000e+01 2.521000e+02 6.249000e+02 3.378964e-02
3.250000e+01 2.624000e+02 6.161000e+02 3.638654e-02
3.500000e+01 2.724000e+02 6.076000e+02 3.883413e-02
3.750000e+01 2.819000e+02 5.991000e+02 4.143199e-02
4.000000e+01 2.912000e+02 5.906000e+02 4.397192e-02
4.500000e+01 3.088000e+02 5.746000e+02 4.911181e-02
5.000000e+01 3.255000e+02 5.593000e+02 5.434464e-02
5.500000e+01 3.413000e+02 5.447000e+02 5.945494e-02
6.000000e+01 3.560000e+02 5.307000e+02 6.460348e-02
6.500000e+01 3.713000e+02 5.175000e+02 6.980910e-02
7.000000e+01 3.862000e+02 5.052000e+02 7.496192e-02
8.000000e+01 4.144000e+02 4.821000e+02 8.538788e-02
9.000000e+01 4.393000e+02 4.614000e+02 9.569634e-02
1.000000e+02 4.607000e+02 4.427000e+02 1.060510e-01
1.100000e+02 4.794000e+02 4.257000e+02 1.164754e-01
1.200000e+02 4.957000e+02 4.104000e+02 1.267834e-01
1.300000e+02 5.100000e+02 3.961000e+02 1.372619e-01
1.400000e+02 5.226000e+02 3.828000e+02 1.476721e-01
1.500000e+02 5.345000e+02 3.706000e+02 1.582261e-01
1.600000e+02 5.453000e+02 3.594000e+02 1.686639e-01
1.700000e+02 5.555000e+02 3.488000e+02 1.792048e-01
1.800000e+02 5.654000e+02 3.391000e+02 1.898134e-01
2.000000e+02 5.841000e+02 3.214000e+02 2.109510e-01
2.250000e+02 6.076000e+02 3.020000e+02 2.374634e-01
2.500000e+02 6.314000e+02 2.853000e+02 2.639260e-01
2.750000e+02 6.558000e+02 2.705000e+02 2.902210e-01
3.000000e+02 6.817000e+02 2.574000e+02 3.162975e-01
3.250000e+02 7.089000e+02 2.458000e+02 3.420155e-01
3.500000e+02 7.368000e+02 2.353000e+02 3.673965e-01
3.750000e+02 7.657000e+02 2.258000e+02 3.923261e-01
4.000000e+02 7.956000e+02 2.171000e+02 4.167262e-01
4.500000e+02 8.568000e+02 2.019000e+02 4.642447e-01
5.000000e+02 9.200000e+02 1.889000e+02 5.098367e-01
5.500000e+02 9.846000e+02 1.777000e+02 5.533249e-01
6.000000e+02 1.049000e+03 1.680000e+02 5.950333e-01
6.500000e+02 1.114000e+03 1.594000e+02 6.350748e-01
7.000000e+02 1.179000e+03 1.517000e+02 6.733506e-01
8.000000e+02 1.305000e+03 1.387000e+02 7.454748e-01
9.000000e+02 1.428000e+03 1.279000e+02 8.124502e-01
1.000000e+03 1.546000e+03 1.189000e+02 8.749313e-01
1.100000e+03 1.659000e+03 1.112000e+02 9.337387e-01
1.200000e+03 1.767000e+03 1.045000e+02 9.892735e-01
1.300000e+03 1.870000e+03 9.873000e+01 1.039133e+00
1.400000e+03 1.969000e+03 9.360000e+01 1.089104e+00
1.500000e+03 2.063000e+03 8.901000e+01 1.139030e+00
1.600000e+03 2.153000e+03 8.490000e+01 1.188889e+00
1.700000e+03 2.240000e+03 8.122000e+01 1.228875e+00
1.800000e+03 2.322000e+03 7.786000e+01 1.278688e+00
2.000000e+03 2.479000e+03 7.198000e+01 1.358549e+00
2.250000e+03 2.658000e+03 6.589000e+01 1.458267e+00
2.500000e+03 2.823000e+03 6.086000e+01 1.548023e+00
2.750000e+03 2.976000e+03 5.657000e+01 1.637739e+00
3.000000e+03 3.118000e+03 5.294000e+01 1.717507e+00
3.250000e+03 3.250000e+03 4.977000e+01 1.797248e+00
3.500000e+03 3.375000e+03 4.699000e+01 1.876968e+00
3.750000e+03 3.492000e+03 4.454000e+01 1.946757e+00
4.000000e+03 3.600000e+03 4.233000e+01 2.016547e+00
4.500000e+03 3.804000e+03 3.859000e+01 2.156126e+00
5.000000e+03 3.985000e+03 3.549000e+01 2.285763e+00
5.500000e+03 4.144000e+03 3.292000e+01 2.415383e+00
6.000000e+03 4.287000e+03 3.071000e+01 2.535061e+00
6.500000e+03 4.413000e+03 2.880000e+01 2.654743e+00
7.000000e+03 4.529000e+03 2.713000e+01 2.774419e+00
8.000000e+03 4.719000e+03 2.435000e+01 2.993973e+00
9.000000e+03 4.872000e+03 2.213000e+01 3.213541e+00
1.000000e+04 4.994000e+03 2.030000e+01 3.423157e+00
1.100000e+04 5.093000e+03 1.877000e+01 3.622824e+00
1.200000e+04 5.168000e+03 1.748000e+01 3.832470e+00
1.300000e+04 5.229000e+03 1.636000e+01 4.032165e+00
1.400000e+04 5.277000e+03 1.538000e+01 4.231883e+00
1.500000e+04 5.311000e+03 1.453000e+01 4.421640e+00
