# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.178000e-01 5.920000e+00 8.873556e-03
1.100000e+01 2.284000e-01 6.127000e+00 9.297311e-03
1.200000e+01 2.386000e-01 6.317000e+00 9.771898e-03
1.300000e+01 2.483000e-01 6.493000e+00 1.019559e-02
1.400000e+01 2.577000e-01 6.657000e+00 1.061932e-02
1.500000e+01 2.667000e-01 6.811000e+00 1.102452e-02
1.600000e+01 2.755000e-01 6.955000e+00 1.144814e-02
1.700000e+01 2.840000e-01 7.091000e+00 1.177667e-02
1.800000e+01 2.922000e-01 7.219000e+00 1.217621e-02
2.000000e+01 3.080000e-01 7.456000e+00 1.290969e-02
2.250000e+01 3.267000e-01 7.720000e+00 1.383402e-02
2.500000e+01 3.444000e-01 7.955000e+00 1.468128e-02
2.750000e+01 3.612000e-01 8.167000e+00 1.548677e-02
3.000000e+01 3.772000e-01 8.358000e+00 1.633401e-02
3.250000e+01 3.926000e-01 8.532000e+00 1.714001e-02
3.500000e+01 4.074000e-01 8.692000e+00 1.796914e-02
3.750000e+01 4.217000e-01 8.839000e+00 1.879362e-02
4.000000e+01 4.356000e-01 8.974000e+00 1.952690e-02
4.500000e+01 4.620000e-01 9.216000e+00 2.097117e-02
5.000000e+01 4.870000e-01 9.426000e+00 2.250711e-02
5.500000e+01 5.108000e-01 9.609000e+00 2.395162e-02
6.000000e+01 5.335000e-01 9.771000e+00 2.530020e-02
6.500000e+01 5.553000e-01 9.915000e+00 2.672340e-02
7.000000e+01 5.762000e-01 1.004000e+01 2.807205e-02
8.000000e+01 6.160000e-01 1.026000e+01 3.074427e-02
9.000000e+01 6.534000e-01 1.044000e+01 3.342065e-02
1.000000e+02 6.887000e-01 1.059000e+01 3.600083e-02
1.100000e+02 7.223000e-01 1.071000e+01 3.856073e-02
1.200000e+02 7.544000e-01 1.080000e+01 4.100780e-02
1.300000e+02 7.853000e-01 1.089000e+01 4.358830e-02
1.400000e+02 8.149000e-01 1.095000e+01 4.605236e-02
1.500000e+02 8.435000e-01 1.101000e+01 4.850021e-02
1.600000e+02 8.712000e-01 1.105000e+01 5.096460e-02
1.700000e+02 8.980000e-01 1.109000e+01 5.333235e-02
1.800000e+02 9.240000e-01 1.112000e+01 5.578073e-02
2.000000e+02 9.740000e-01 1.116000e+01 6.059728e-02
2.250000e+02 1.033000e+00 1.118000e+01 6.663077e-02
2.500000e+02 1.089000e+00 1.117000e+01 7.258354e-02
2.750000e+02 1.142000e+00 1.115000e+01 7.850248e-02
3.000000e+02 1.193000e+00 1.112000e+01 8.444027e-02
3.250000e+02 1.254000e+00 1.107000e+01 9.036022e-02
3.500000e+02 1.317000e+00 1.102000e+01 9.637785e-02
3.750000e+02 1.379000e+00 1.096000e+01 1.022987e-01
4.000000e+02 1.438000e+00 1.089000e+01 1.082198e-01
4.500000e+02 1.549000e+00 1.076000e+01 1.201776e-01
5.000000e+02 1.651000e+00 1.061000e+01 1.322161e-01
5.500000e+02 1.744000e+00 1.046000e+01 1.442408e-01
6.000000e+02 1.831000e+00 1.031000e+01 1.563616e-01
6.500000e+02 1.912000e+00 1.016000e+01 1.684855e-01
7.000000e+02 1.990000e+00 1.001000e+01 1.807888e-01
8.000000e+02 2.134000e+00 9.718000e+00 2.056235e-01
9.000000e+02 2.270000e+00 9.441000e+00 2.307534e-01
1.000000e+03 2.399000e+00 9.178000e+00 2.561650e-01
1.100000e+03 2.525000e+00 8.928000e+00 2.819523e-01
1.200000e+03 2.648000e+00 8.693000e+00 3.080376e-01
1.300000e+03 2.770000e+00 8.471000e+00 3.343187e-01
1.400000e+03 2.891000e+00 8.261000e+00 3.608957e-01
1.500000e+03 3.011000e+00 8.062000e+00 3.876703e-01
1.600000e+03 3.130000e+00 7.875000e+00 4.146153e-01
1.700000e+03 3.249000e+00 7.697000e+00 4.417567e-01
1.800000e+03 3.368000e+00 7.528000e+00 4.690122e-01
2.000000e+03 3.604000e+00 7.214000e+00 5.239914e-01
2.250000e+03 3.896000e+00 6.863000e+00 5.932246e-01
2.500000e+03 4.185000e+00 6.550000e+00 6.628040e-01
2.750000e+03 4.470000e+00 6.269000e+00 7.325367e-01
3.000000e+03 4.751000e+00 6.015000e+00 8.021389e-01
3.250000e+03 5.028000e+00 5.784000e+00 8.715875e-01
3.500000e+03 5.301000e+00 5.573000e+00 9.406981e-01
3.750000e+03 5.570000e+00 5.379000e+00 1.009483e+00
4.000000e+03 5.835000e+00 5.201000e+00 1.074665e+00
4.500000e+03 6.355000e+00 4.883000e+00 1.215665e+00
5.000000e+03 6.861000e+00 4.607000e+00 1.346622e+00
5.500000e+03 7.355000e+00 4.365000e+00 1.477453e+00
6.000000e+03 7.839000e+00 4.151000e+00 1.598275e+00
6.500000e+03 8.313000e+00 3.961000e+00 1.728862e+00
7.000000e+03 8.780000e+00 3.789000e+00 1.849461e+00
8.000000e+03 9.693000e+00 3.493000e+00 2.080600e+00
9.000000e+03 1.058000e+01 3.245000e+00 2.311409e+00
1.000000e+04 1.145000e+01 3.035000e+00 2.522146e+00
