# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.246000e-01 5.550000e+00 8.731552e-03
1.100000e+01 2.355000e-01 5.722000e+00 9.249324e-03
1.200000e+01 2.460000e-01 5.879000e+00 9.673159e-03
1.300000e+01 2.560000e-01 6.023000e+00 1.019117e-02
1.400000e+01 2.657000e-01 6.157000e+00 1.059481e-02
1.500000e+01 2.750000e-01 6.281000e+00 1.101862e-02
1.600000e+01 2.840000e-01 6.397000e+00 1.144246e-02
1.700000e+01 2.928000e-01 6.505000e+00 1.186634e-02
1.800000e+01 3.013000e-01 6.606000e+00 1.227029e-02
2.000000e+01 3.176000e-01 6.792000e+00 1.309236e-02
2.250000e+01 3.368000e-01 6.996000e+00 1.403496e-02
2.500000e+01 3.550000e-01 7.175000e+00 1.495794e-02
2.750000e+01 3.724000e-01 7.333000e+00 1.590063e-02
3.000000e+01 3.889000e-01 7.474000e+00 1.684340e-02
3.250000e+01 4.048000e-01 7.601000e+00 1.767173e-02
3.500000e+01 4.201000e-01 7.716000e+00 1.861451e-02
3.750000e+01 4.348000e-01 7.820000e+00 1.944299e-02
4.000000e+01 4.491000e-01 7.914000e+00 2.026672e-02
4.500000e+01 4.763000e-01 8.079000e+00 2.194288e-02
5.000000e+01 5.021000e-01 8.218000e+00 2.359555e-02
5.500000e+01 5.266000e-01 8.336000e+00 2.522974e-02
6.000000e+01 5.500000e-01 8.437000e+00 2.678750e-02
6.500000e+01 5.725000e-01 8.523000e+00 2.846366e-02
7.000000e+01 5.941000e-01 8.598000e+00 3.000300e-02
8.000000e+01 6.351000e-01 8.717000e+00 3.310060e-02
9.000000e+01 6.737000e-01 8.805000e+00 3.608074e-02
1.000000e+02 7.101000e-01 8.870000e+00 3.908324e-02
1.100000e+02 7.448000e-01 8.917000e+00 4.208586e-02
1.200000e+02 7.779000e-01 8.948000e+00 4.504953e-02
1.300000e+02 8.096000e-01 8.968000e+00 4.805247e-02
1.400000e+02 8.402000e-01 8.978000e+00 5.093820e-02
1.500000e+02 8.697000e-01 8.981000e+00 5.392393e-02
1.600000e+02 8.982000e-01 8.976000e+00 5.680995e-02
1.700000e+02 9.259000e-01 8.967000e+00 5.977533e-02
1.800000e+02 9.527000e-01 8.952000e+00 6.264471e-02
2.000000e+02 1.004000e+00 8.912000e+00 6.851766e-02
2.250000e+02 1.065000e+00 8.847000e+00 7.581583e-02
2.500000e+02 1.167000e+00 8.769000e+00 8.311456e-02
2.750000e+02 1.293000e+00 8.685000e+00 9.047447e-02
3.000000e+02 1.382000e+00 8.595000e+00 9.777423e-02
3.250000e+02 1.449000e+00 8.502000e+00 1.050389e-01
3.500000e+02 1.501000e+00 8.408000e+00 1.124011e-01
3.750000e+02 1.547000e+00 8.312000e+00 1.197797e-01
4.000000e+02 1.588000e+00 8.217000e+00 1.272400e-01
4.500000e+02 1.668000e+00 8.029000e+00 1.421805e-01
5.000000e+02 1.749000e+00 7.846000e+00 1.574106e-01
5.500000e+02 1.834000e+00 7.669000e+00 1.728213e-01
6.000000e+02 1.923000e+00 7.499000e+00 1.883279e-01
6.500000e+02 2.015000e+00 7.336000e+00 2.039360e-01
7.000000e+02 2.108000e+00 7.180000e+00 2.197372e-01
8.000000e+02 2.296000e+00 6.888000e+00 2.516235e-01
9.000000e+02 2.482000e+00 6.621000e+00 2.839011e-01
1.000000e+03 2.663000e+00 6.376000e+00 3.165561e-01
1.100000e+03 2.836000e+00 6.152000e+00 3.492798e-01
1.200000e+03 3.002000e+00 5.945000e+00 3.823980e-01
1.300000e+03 3.161000e+00 5.753000e+00 4.154900e-01
1.400000e+03 3.313000e+00 5.576000e+00 4.488479e-01
1.500000e+03 3.459000e+00 5.411000e+00 4.823072e-01
1.600000e+03 3.599000e+00 5.257000e+00 5.157412e-01
1.700000e+03 3.734000e+00 5.113000e+00 5.493727e-01
1.800000e+03 3.865000e+00 4.978000e+00 5.829939e-01
2.000000e+03 4.116000e+00 4.732000e+00 6.503001e-01
2.250000e+03 4.413000e+00 4.462000e+00 7.344418e-01
2.500000e+03 4.699000e+00 4.226000e+00 8.183331e-01
2.750000e+03 4.978000e+00 4.017000e+00 9.017274e-01
3.000000e+03 5.252000e+00 3.832000e+00 9.844797e-01
3.250000e+03 5.523000e+00 3.665000e+00 1.066061e+00
3.500000e+03 5.794000e+00 3.514000e+00 1.146694e+00
3.750000e+03 6.066000e+00 3.377000e+00 1.227265e+00
4.000000e+03 6.338000e+00 3.252000e+00 1.307777e+00
4.500000e+03 6.887000e+00 3.032000e+00 1.458844e+00
5.000000e+03 7.443000e+00 2.844000e+00 1.609669e+00
5.500000e+03 8.004000e+00 2.680000e+00 1.750436e+00
6.000000e+03 8.570000e+00 2.537000e+00 1.891012e+00
6.500000e+03 9.138000e+00 2.411000e+00 2.021555e+00
7.000000e+03 9.708000e+00 2.298000e+00 2.151954e+00
8.000000e+03 1.084000e+01 2.105000e+00 2.392751e+00
9.000000e+03 1.196000e+01 1.945000e+00 2.623255e+00
1.000000e+04 1.306000e+01 1.811000e+00 2.833630e+00
