# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.464000e-01 4.908000e+00 8.831761e-03
1.100000e+01 2.584000e-01 5.033000e+00 9.348262e-03
1.200000e+01 2.699000e-01 5.146000e+00 9.893938e-03
1.300000e+01 2.809000e-01 5.249000e+00 1.041057e-02
1.400000e+01 2.915000e-01 5.343000e+00 1.083421e-02
1.500000e+01 3.017000e-01 5.429000e+00 1.135121e-02
1.600000e+01 3.116000e-01 5.508000e+00 1.186845e-02
1.700000e+01 3.212000e-01 5.582000e+00 1.229227e-02
1.800000e+01 3.305000e-01 5.650000e+00 1.283745e-02
2.000000e+01 3.484000e-01 5.771000e+00 1.368503e-02
2.250000e+01 3.695000e-01 5.902000e+00 1.481384e-02
2.500000e+01 3.895000e-01 6.013000e+00 1.587640e-02
2.750000e+01 4.085000e-01 6.108000e+00 1.703291e-02
3.000000e+01 4.267000e-01 6.190000e+00 1.806876e-02
3.250000e+01 4.441000e-01 6.261000e+00 1.910497e-02
3.500000e+01 4.609000e-01 6.324000e+00 2.016755e-02
3.750000e+01 4.771000e-01 6.378000e+00 2.110971e-02
4.000000e+01 4.927000e-01 6.426000e+00 2.214633e-02
4.500000e+01 5.226000e-01 6.504000e+00 2.413069e-02
5.000000e+01 5.509000e-01 6.564000e+00 2.611015e-02
5.500000e+01 5.778000e-01 6.610000e+00 2.811512e-02
6.000000e+01 6.034000e-01 6.645000e+00 3.007491e-02
6.500000e+01 6.281000e-01 6.670000e+00 3.194041e-02
7.000000e+01 6.518000e-01 6.687000e+00 3.392079e-02
8.000000e+01 6.968000e-01 6.704000e+00 3.779167e-02
9.000000e+01 7.391000e-01 6.702000e+00 4.161923e-02
1.000000e+02 7.791000e-01 6.687000e+00 4.535240e-02
1.100000e+02 8.171000e-01 6.663000e+00 4.920020e-02
1.200000e+02 8.534000e-01 6.632000e+00 5.302952e-02
1.300000e+02 8.883000e-01 6.595000e+00 5.683617e-02
1.400000e+02 9.218000e-01 6.554000e+00 6.068484e-02
1.500000e+02 9.542000e-01 6.510000e+00 6.451527e-02
1.600000e+02 9.854000e-01 6.464000e+00 6.834596e-02
1.700000e+02 1.016000e+00 6.416000e+00 7.215435e-02
1.800000e+02 1.081000e+00 6.367000e+00 7.598552e-02
2.000000e+02 1.257000e+00 6.268000e+00 8.372204e-02
2.250000e+02 1.389000e+00 6.143000e+00 9.320960e-02
2.500000e+02 1.470000e+00 6.018000e+00 1.028905e-01
2.750000e+02 1.526000e+00 5.897000e+00 1.125555e-01
3.000000e+02 1.572000e+00 5.779000e+00 1.223139e-01
3.250000e+02 1.616000e+00 5.665000e+00 1.321739e-01
3.500000e+02 1.661000e+00 5.555000e+00 1.422443e-01
3.750000e+02 1.708000e+00 5.448000e+00 1.522787e-01
4.000000e+02 1.759000e+00 5.347000e+00 1.624474e-01
4.500000e+02 1.870000e+00 5.154000e+00 1.830404e-01
5.000000e+02 1.990000e+00 4.977000e+00 2.039074e-01
5.500000e+02 2.115000e+00 4.812000e+00 2.249869e-01
6.000000e+02 2.244000e+00 4.660000e+00 2.460343e-01
6.500000e+02 2.372000e+00 4.518000e+00 2.672598e-01
7.000000e+02 2.499000e+00 4.386000e+00 2.885669e-01
8.000000e+02 2.746000e+00 4.148000e+00 3.311886e-01
9.000000e+02 2.979000e+00 3.938000e+00 3.737358e-01
1.000000e+03 3.197000e+00 3.751000e+00 4.162398e-01
1.100000e+03 3.402000e+00 3.585000e+00 4.584920e-01
1.200000e+03 3.595000e+00 3.435000e+00 5.005928e-01
1.300000e+03 3.777000e+00 3.299000e+00 5.425715e-01
1.400000e+03 3.951000e+00 3.175000e+00 5.842043e-01
1.500000e+03 4.117000e+00 3.061000e+00 6.256035e-01
1.600000e+03 4.278000e+00 2.957000e+00 6.667695e-01
1.700000e+03 4.433000e+00 2.861000e+00 7.076186e-01
1.800000e+03 4.584000e+00 2.772000e+00 7.481379e-01
2.000000e+03 4.879000e+00 2.611000e+00 8.283256e-01
2.250000e+03 5.237000e+00 2.439000e+00 9.266211e-01
2.500000e+03 5.591000e+00 2.291000e+00 1.027120e+00
2.750000e+03 5.943000e+00 2.163000e+00 1.117827e+00
3.000000e+03 6.298000e+00 2.050000e+00 1.208405e+00
3.250000e+03 6.655000e+00 1.950000e+00 1.298869e+00
3.500000e+03 7.016000e+00 1.860000e+00 1.379375e+00
3.750000e+03 7.379000e+00 1.780000e+00 1.459789e+00
4.000000e+03 7.746000e+00 1.707000e+00 1.549982e+00
4.500000e+03 8.485000e+00 1.580000e+00 1.700609e+00
5.000000e+03 9.229000e+00 1.472000e+00 1.841098e+00
5.500000e+03 9.973000e+00 1.380000e+00 1.981370e+00
6.000000e+03 1.071000e+01 1.300000e+00 2.111577e+00
6.500000e+03 1.144000e+01 1.230000e+00 2.231755e+00
7.000000e+03 1.216000e+01 1.168000e+00 2.351810e+00
8.000000e+03 1.355000e+01 1.063000e+00 2.571953e+00
9.000000e+03 1.487000e+01 9.772000e-01 2.762062e+00
1.000000e+04 1.612000e+01 9.054000e-01 2.951963e+00
