# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.340000e-01 5.232000e+00 8.687347e-03
1.100000e+01 2.454000e-01 5.377000e+00 9.204347e-03
1.200000e+01 2.564000e-01 5.509000e+00 9.628084e-03
1.300000e+01 2.668000e-01 5.629000e+00 1.014544e-02
1.400000e+01 2.769000e-01 5.739000e+00 1.059717e-02
1.500000e+01 2.866000e-01 5.841000e+00 1.102089e-02
1.600000e+01 2.960000e-01 5.935000e+00 1.153820e-02
1.700000e+01 3.051000e-01 6.023000e+00 1.194069e-02
1.800000e+01 3.140000e-01 6.104000e+00 1.236447e-02
2.000000e+01 3.310000e-01 6.252000e+00 1.321212e-02
2.250000e+01 3.510000e-01 6.412000e+00 1.424781e-02
2.500000e+01 3.700000e-01 6.550000e+00 1.528398e-02
2.750000e+01 3.881000e-01 6.670000e+00 1.625238e-02
3.000000e+01 4.053000e-01 6.775000e+00 1.728872e-02
3.250000e+01 4.219000e-01 6.868000e+00 1.821044e-02
3.500000e+01 4.378000e-01 6.950000e+00 1.915281e-02
3.750000e+01 4.532000e-01 7.024000e+00 2.009527e-02
4.000000e+01 4.680000e-01 7.089000e+00 2.103782e-02
4.500000e+01 4.964000e-01 7.201000e+00 2.290284e-02
5.000000e+01 5.233000e-01 7.290000e+00 2.467347e-02
5.500000e+01 5.488000e-01 7.363000e+00 2.644428e-02
6.000000e+01 5.732000e-01 7.422000e+00 2.832984e-02
6.500000e+01 5.966000e-01 7.470000e+00 3.000583e-02
7.000000e+01 6.192000e-01 7.508000e+00 3.175280e-02
8.000000e+01 6.619000e-01 7.561000e+00 3.529533e-02
9.000000e+01 7.021000e-01 7.591000e+00 3.870026e-02
1.000000e+02 7.400000e-01 7.604000e+00 4.212470e-02
1.100000e+02 7.762000e-01 7.603000e+00 4.554942e-02
1.200000e+02 8.107000e-01 7.593000e+00 4.895590e-02
1.300000e+02 8.438000e-01 7.574000e+00 5.235848e-02
1.400000e+02 8.756000e-01 7.550000e+00 5.576576e-02
1.500000e+02 9.064000e-01 7.520000e+00 5.909560e-02
1.600000e+02 9.361000e-01 7.487000e+00 6.248112e-02
1.700000e+02 9.649000e-01 7.451000e+00 6.590698e-02
1.800000e+02 9.929000e-01 7.412000e+00 6.941102e-02
2.000000e+02 1.100000e+00 7.329000e+00 7.622368e-02
2.250000e+02 1.307000e+00 7.219000e+00 8.467384e-02
2.500000e+02 1.428000e+00 7.106000e+00 9.320005e-02
2.750000e+02 1.502000e+00 6.992000e+00 1.016351e-01
3.000000e+02 1.553000e+00 6.878000e+00 1.101634e-01
3.250000e+02 1.592000e+00 6.767000e+00 1.187891e-01
3.500000e+02 1.629000e+00 6.657000e+00 1.275157e-01
3.750000e+02 1.665000e+00 6.550000e+00 1.363359e-01
4.000000e+02 1.704000e+00 6.446000e+00 1.452372e-01
4.500000e+02 1.790000e+00 6.246000e+00 1.632680e-01
5.000000e+02 1.889000e+00 6.059000e+00 1.814982e-01
5.500000e+02 1.997000e+00 5.883000e+00 2.000021e-01
6.000000e+02 2.112000e+00 5.718000e+00 2.186018e-01
6.500000e+02 2.230000e+00 5.563000e+00 2.373823e-01
7.000000e+02 2.350000e+00 5.417000e+00 2.561619e-01
8.000000e+02 2.588000e+00 5.150000e+00 2.941029e-01
9.000000e+02 2.818000e+00 4.912000e+00 3.321092e-01
1.000000e+03 3.037000e+00 4.698000e+00 3.701553e-01
1.100000e+03 3.243000e+00 4.505000e+00 4.082713e-01
1.200000e+03 3.438000e+00 4.330000e+00 4.463601e-01
1.300000e+03 3.621000e+00 4.171000e+00 4.843264e-01
1.400000e+03 3.795000e+00 4.024000e+00 5.222364e-01
1.500000e+03 3.959000e+00 3.890000e+00 5.600401e-01
1.600000e+03 4.117000e+00 3.765000e+00 5.977064e-01
1.700000e+03 4.268000e+00 3.650000e+00 6.352497e-01
1.800000e+03 4.414000e+00 3.542000e+00 6.726716e-01
2.000000e+03 4.693000e+00 3.348000e+00 7.470110e-01
2.250000e+03 5.027000e+00 3.138000e+00 8.389587e-01
2.500000e+03 5.350000e+00 2.957000e+00 9.294901e-01
2.750000e+03 5.668000e+00 2.798000e+00 1.016850e+00
3.000000e+03 5.985000e+00 2.658000e+00 1.107459e+00
3.250000e+03 6.303000e+00 2.533000e+00 1.188117e+00
3.500000e+03 6.624000e+00 2.421000e+00 1.278554e+00
3.750000e+03 6.949000e+00 2.320000e+00 1.359036e+00
4.000000e+03 7.276000e+00 2.229000e+00 1.439448e+00
4.500000e+03 7.942000e+00 2.068000e+00 1.590264e+00
5.000000e+03 8.619000e+00 1.932000e+00 1.740830e+00
5.500000e+03 9.303000e+00 1.815000e+00 1.881281e+00
6.000000e+03 9.992000e+00 1.712000e+00 2.011686e+00
6.500000e+03 1.068000e+01 1.623000e+00 2.132035e+00
7.000000e+03 1.136000e+01 1.543000e+00 2.252234e+00
8.000000e+03 1.271000e+01 1.407000e+00 2.482560e+00
9.000000e+03 1.402000e+01 1.296000e+00 2.682813e+00
1.000000e+04 1.527000e+01 1.203000e+00 2.872896e+00
