# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.015000e-01 5.599000e+00 8.919641e-03
1.100000e+01 2.114000e-01 5.777000e+00 9.343447e-03
1.200000e+01 2.208000e-01 5.941000e+00 9.841748e-03
1.300000e+01 2.298000e-01 6.092000e+00 1.026548e-02
1.400000e+01 2.385000e-01 6.232000e+00 1.068925e-02
1.500000e+01 2.468000e-01 6.363000e+00 1.120759e-02
1.600000e+01 2.549000e-01 6.484000e+00 1.160603e-02
1.700000e+01 2.628000e-01 6.598000e+00 1.201041e-02
1.800000e+01 2.704000e-01 6.706000e+00 1.233937e-02
2.000000e+01 2.850000e-01 6.902000e+00 1.318711e-02
2.250000e+01 3.023000e-01 7.119000e+00 1.411028e-02
2.500000e+01 3.187000e-01 7.310000e+00 1.505291e-02
2.750000e+01 3.342000e-01 7.480000e+00 1.599562e-02
3.000000e+01 3.491000e-01 7.632000e+00 1.691922e-02
3.250000e+01 3.633000e-01 7.770000e+00 1.774289e-02
3.500000e+01 3.770000e-01 7.894000e+00 1.866682e-02
3.750000e+01 3.903000e-01 8.007000e+00 1.951435e-02
4.000000e+01 4.031000e-01 8.111000e+00 2.031969e-02
4.500000e+01 4.275000e-01 8.293000e+00 2.199591e-02
5.000000e+01 4.507000e-01 8.447000e+00 2.364910e-02
5.500000e+01 4.726000e-01 8.580000e+00 2.518849e-02
6.000000e+01 4.937000e-01 8.694000e+00 2.674640e-02
6.500000e+01 5.138000e-01 8.794000e+00 2.828622e-02
7.000000e+01 5.332000e-01 8.880000e+00 2.984426e-02
8.000000e+01 5.700000e-01 9.022000e+00 3.292081e-02
9.000000e+01 6.046000e-01 9.130000e+00 3.580978e-02
1.000000e+02 6.373000e-01 9.213000e+00 3.879137e-02
1.100000e+02 6.684000e-01 9.276000e+00 4.169820e-02
1.200000e+02 6.982000e-01 9.323000e+00 4.456669e-02
1.300000e+02 7.267000e-01 9.357000e+00 4.745282e-02
1.400000e+02 7.541000e-01 9.380000e+00 5.032196e-02
1.500000e+02 7.806000e-01 9.395000e+00 5.319145e-02
1.600000e+02 8.062000e-01 9.402000e+00 5.596472e-02
1.700000e+02 8.310000e-01 9.402000e+00 5.885142e-02
1.800000e+02 8.551000e-01 9.397000e+00 6.172147e-02
2.000000e+02 9.013000e-01 9.375000e+00 6.736550e-02
2.250000e+02 9.560000e-01 9.328000e+00 7.445193e-02
2.500000e+02 1.008000e+00 9.267000e+00 8.154195e-02
2.750000e+02 1.161000e+00 9.196000e+00 8.849712e-02
3.000000e+02 1.322000e+00 9.118000e+00 9.556888e-02
3.250000e+02 1.431000e+00 9.035000e+00 1.025253e-01
3.500000e+02 1.506000e+00 8.950000e+00 1.094852e-01
3.750000e+02 1.560000e+00 8.862000e+00 1.165396e-01
4.000000e+02 1.600000e+00 8.773000e+00 1.235944e-01
4.500000e+02 1.660000e+00 8.596000e+00 1.378050e-01
5.000000e+02 1.711000e+00 8.420000e+00 1.521934e-01
5.500000e+02 1.764000e+00 8.248000e+00 1.667778e-01
6.000000e+02 1.823000e+00 8.081000e+00 1.815582e-01
6.500000e+02 1.888000e+00 7.920000e+00 1.964373e-01
7.000000e+02 1.960000e+00 7.764000e+00 2.115124e-01
8.000000e+02 2.116000e+00 7.471000e+00 2.421842e-01
9.000000e+02 2.285000e+00 7.200000e+00 2.731048e-01
1.000000e+03 2.460000e+00 6.950000e+00 3.044333e-01
1.100000e+03 2.636000e+00 6.719000e+00 3.360283e-01
1.200000e+03 2.809000e+00 6.505000e+00 3.678197e-01
1.300000e+03 2.979000e+00 6.306000e+00 3.996828e-01
1.400000e+03 3.143000e+00 6.121000e+00 4.317293e-01
1.500000e+03 3.302000e+00 5.948000e+00 4.637636e-01
1.600000e+03 3.456000e+00 5.786000e+00 4.959818e-01
1.700000e+03 3.604000e+00 5.634000e+00 5.280915e-01
1.800000e+03 3.747000e+00 5.492000e+00 5.603854e-01
2.000000e+03 4.017000e+00 5.230000e+00 6.248548e-01
2.250000e+03 4.332000e+00 4.942000e+00 7.054722e-01
2.500000e+03 4.624000e+00 4.689000e+00 7.858120e-01
2.750000e+03 4.899000e+00 4.465000e+00 8.658891e-01
3.000000e+03 5.162000e+00 4.265000e+00 9.455081e-01
3.250000e+03 5.415000e+00 4.084000e+00 1.025162e+00
3.500000e+03 5.661000e+00 3.921000e+00 1.105752e+00
3.750000e+03 5.902000e+00 3.772000e+00 1.176432e+00
4.000000e+03 6.140000e+00 3.636000e+00 1.256911e+00
4.500000e+03 6.612000e+00 3.395000e+00 1.407959e+00
5.000000e+03 7.082000e+00 3.189000e+00 1.558834e+00
5.500000e+03 7.555000e+00 3.009000e+00 1.699657e+00
6.000000e+03 8.032000e+00 2.852000e+00 1.840320e+00
6.500000e+03 8.514000e+00 2.712000e+00 1.980860e+00
7.000000e+03 9.001000e+00 2.587000e+00 2.111374e+00
8.000000e+03 9.986000e+00 2.374000e+00 2.362322e+00
9.000000e+03 1.098000e+01 2.196000e+00 2.602983e+00
1.000000e+04 1.197000e+01 2.047000e+00 2.823513e+00
