# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.974000e-01 3.294000e+00 1.038749e-02
1.100000e+01 3.119000e-01 3.340000e+00 1.108377e-02
1.200000e+01 3.258000e-01 3.379000e+00 1.181059e-02
1.300000e+01 3.391000e-01 3.412000e+00 1.247277e-02
1.400000e+01 3.519000e-01 3.441000e+00 1.320038e-02
1.500000e+01 3.642000e-01 3.465000e+00 1.386254e-02
1.600000e+01 3.762000e-01 3.486000e+00 1.459075e-02
1.700000e+01 3.877000e-01 3.504000e+00 1.525287e-02
1.800000e+01 3.990000e-01 3.519000e+00 1.598155e-02
2.000000e+01 4.206000e-01 3.543000e+00 1.728120e-02
2.250000e+01 4.461000e-01 3.563000e+00 1.900342e-02
2.500000e+01 4.702000e-01 3.574000e+00 2.069420e-02
2.750000e+01 4.932000e-01 3.579000e+00 2.230112e-02
3.000000e+01 5.151000e-01 3.578000e+00 2.402395e-02
3.250000e+01 5.361000e-01 3.574000e+00 2.560020e-02
3.500000e+01 5.564000e-01 3.567000e+00 2.730000e-02
3.750000e+01 5.759000e-01 3.557000e+00 2.893078e-02
4.000000e+01 5.948000e-01 3.545000e+00 3.050787e-02
4.500000e+01 6.309000e-01 3.516000e+00 3.387861e-02
5.000000e+01 6.650000e-01 3.483000e+00 3.717997e-02
5.500000e+01 6.974000e-01 3.447000e+00 4.045949e-02
6.000000e+01 7.285000e-01 3.409000e+00 4.373202e-02
6.500000e+01 7.582000e-01 3.371000e+00 4.710563e-02
7.000000e+01 7.868000e-01 3.331000e+00 5.045097e-02
8.000000e+01 8.411000e-01 3.253000e+00 5.722194e-02
9.000000e+01 8.922000e-01 3.176000e+00 6.401016e-02
1.000000e+02 9.778000e-01 3.101000e+00 7.084892e-02
1.100000e+02 1.104000e+00 3.029000e+00 7.764071e-02
1.200000e+02 1.214000e+00 2.961000e+00 8.433979e-02
1.300000e+02 1.312000e+00 2.895000e+00 9.100643e-02
1.400000e+02 1.399000e+00 2.832000e+00 9.768101e-02
1.500000e+02 1.476000e+00 2.772000e+00 1.043305e-01
1.600000e+02 1.547000e+00 2.714000e+00 1.108670e-01
1.700000e+02 1.611000e+00 2.660000e+00 1.175189e-01
1.800000e+02 1.670000e+00 2.607000e+00 1.241271e-01
2.000000e+02 1.776000e+00 2.509000e+00 1.372718e-01
2.250000e+02 1.889000e+00 2.398000e+00 1.538957e-01
2.500000e+02 1.987000e+00 2.298000e+00 1.705015e-01
2.750000e+02 2.073000e+00 2.207000e+00 1.871661e-01
3.000000e+02 2.151000e+00 2.125000e+00 2.038904e-01
3.250000e+02 2.222000e+00 2.049000e+00 2.206160e-01
3.500000e+02 2.288000e+00 1.979000e+00 2.374240e-01
3.750000e+02 2.351000e+00 1.915000e+00 2.543109e-01
4.000000e+02 2.411000e+00 1.856000e+00 2.711633e-01
4.500000e+02 2.524000e+00 1.749000e+00 3.050529e-01
5.000000e+02 2.633000e+00 1.655000e+00 3.389170e-01
5.500000e+02 2.740000e+00 1.573000e+00 3.727018e-01
6.000000e+02 2.846000e+00 1.500000e+00 4.063669e-01
6.500000e+02 2.951000e+00 1.434000e+00 4.397775e-01
7.000000e+02 3.057000e+00 1.375000e+00 4.729526e-01
8.000000e+02 3.271000e+00 1.272000e+00 5.382591e-01
9.000000e+02 3.487000e+00 1.185000e+00 6.020215e-01
1.000000e+03 3.706000e+00 1.111000e+00 6.641768e-01
1.100000e+03 3.927000e+00 1.047000e+00 7.244468e-01
1.200000e+03 4.150000e+00 9.911000e-01 7.829435e-01
1.300000e+03 4.374000e+00 9.414000e-01 8.396516e-01
1.400000e+03 4.598000e+00 8.972000e-01 8.945301e-01
1.500000e+03 4.822000e+00 8.574000e-01 9.477311e-01
1.600000e+03 5.045000e+00 8.215000e-01 9.992962e-01
1.700000e+03 5.267000e+00 7.888000e-01 1.048844e+00
1.800000e+03 5.488000e+00 7.590000e-01 1.099014e+00
2.000000e+03 5.925000e+00 7.064000e-01 1.189387e+00
2.250000e+03 6.460000e+00 6.512000e-01 1.299674e+00
2.500000e+03 6.980000e+00 6.049000e-01 1.399880e+00
2.750000e+03 7.485000e+00 5.654000e-01 1.499940e+00
3.000000e+03 7.974000e+00 5.313000e-01 1.590008e+00
3.250000e+03 8.448000e+00 5.015000e-01 1.679962e+00
3.500000e+03 8.906000e+00 4.753000e-01 1.759965e+00
3.750000e+03 9.349000e+00 4.519000e-01 1.839905e+00
4.000000e+03 9.778000e+00 4.310000e-01 1.909898e+00
4.500000e+03 1.059000e+01 3.949000e-01 2.049788e+00
5.000000e+03 1.136000e+01 3.650000e-01 2.189560e+00
5.500000e+03 1.207000e+01 3.397000e-01 2.309405e+00
6.000000e+03 1.274000e+01 3.180000e-01 2.429185e+00
6.500000e+03 1.337000e+01 2.991000e-01 2.548922e+00
7.000000e+03 1.396000e+01 2.826000e-01 2.658703e+00
8.000000e+03 1.503000e+01 2.549000e-01 2.858382e+00
9.000000e+03 1.599000e+01 2.326000e-01 3.057981e+00
1.000000e+04 1.683000e+01 2.141000e-01 3.237651e+00
