# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 4.100000e-01 3.437000e+00 9.906563e-03
1.100000e+01 4.300000e-01 3.489000e+00 1.065974e-02
1.200000e+01 4.491000e-01 3.533000e+00 1.129690e-02
1.300000e+01 4.674000e-01 3.571000e+00 1.195910e-02
1.400000e+01 4.851000e-01 3.604000e+00 1.259643e-02
1.500000e+01 5.021000e-01 3.633000e+00 1.325858e-02
1.600000e+01 5.186000e-01 3.658000e+00 1.389604e-02
1.700000e+01 5.345000e-01 3.680000e+00 1.452618e-02
1.800000e+01 5.500000e-01 3.699000e+00 1.516377e-02
2.000000e+01 5.798000e-01 3.729000e+00 1.646360e-02
2.250000e+01 6.150000e-01 3.756000e+00 1.803912e-02
2.500000e+01 6.482000e-01 3.774000e+00 1.952332e-02
2.750000e+01 6.799000e-01 3.784000e+00 2.100786e-02
3.000000e+01 7.101000e-01 3.789000e+00 2.258517e-02
3.250000e+01 7.391000e-01 3.789000e+00 2.407031e-02
3.500000e+01 7.670000e-01 3.785000e+00 2.555563e-02
3.750000e+01 7.939000e-01 3.779000e+00 2.704108e-02
4.000000e+01 8.200000e-01 3.770000e+00 2.852665e-02
4.500000e+01 8.697000e-01 3.747000e+00 3.149810e-02
5.000000e+01 9.167000e-01 3.719000e+00 3.456299e-02
5.500000e+01 9.615000e-01 3.686000e+00 3.748466e-02
6.000000e+01 1.004000e+00 3.652000e+00 4.045714e-02
6.500000e+01 1.045000e+00 3.616000e+00 4.340150e-02
7.000000e+01 1.085000e+00 3.578000e+00 4.641875e-02
8.000000e+01 1.160000e+00 3.503000e+00 5.241002e-02
9.000000e+01 1.230000e+00 3.427000e+00 5.837508e-02
1.000000e+02 1.296000e+00 3.354000e+00 6.441529e-02
1.100000e+02 1.370000e+00 3.282000e+00 7.045076e-02
1.200000e+02 1.441000e+00 3.212000e+00 7.649386e-02
1.300000e+02 1.506000e+00 3.145000e+00 8.253175e-02
1.400000e+02 1.565000e+00 3.081000e+00 8.855112e-02
1.500000e+02 1.620000e+00 3.020000e+00 9.466636e-02
1.600000e+02 1.670000e+00 2.961000e+00 1.007826e-01
1.700000e+02 1.717000e+00 2.904000e+00 1.068941e-01
1.800000e+02 1.762000e+00 2.850000e+00 1.131071e-01
2.000000e+02 1.842000e+00 2.748000e+00 1.253919e-01
2.250000e+02 1.932000e+00 2.632000e+00 1.410629e-01
2.500000e+02 2.011000e+00 2.527000e+00 1.567154e-01
2.750000e+02 2.082000e+00 2.431000e+00 1.725635e-01
3.000000e+02 2.147000e+00 2.343000e+00 1.885673e-01
3.250000e+02 2.208000e+00 2.262000e+00 2.046669e-01
3.500000e+02 2.264000e+00 2.188000e+00 2.207530e-01
3.750000e+02 2.318000e+00 2.119000e+00 2.370311e-01
4.000000e+02 2.371000e+00 2.055000e+00 2.533919e-01
4.500000e+02 2.471000e+00 1.940000e+00 2.861989e-01
5.000000e+02 2.569000e+00 1.839000e+00 3.191536e-01
5.500000e+02 2.665000e+00 1.750000e+00 3.521577e-01
6.000000e+02 2.763000e+00 1.671000e+00 3.851370e-01
6.500000e+02 2.861000e+00 1.599000e+00 4.179755e-01
7.000000e+02 2.961000e+00 1.534000e+00 4.506896e-01
8.000000e+02 3.166000e+00 1.422000e+00 5.153452e-01
9.000000e+02 3.379000e+00 1.327000e+00 5.786943e-01
1.000000e+03 3.597000e+00 1.245000e+00 6.404155e-01
1.100000e+03 3.822000e+00 1.175000e+00 7.004584e-01
1.200000e+03 4.051000e+00 1.113000e+00 7.587095e-01
1.300000e+03 4.284000e+00 1.058000e+00 8.150863e-01
1.400000e+03 4.521000e+00 1.009000e+00 8.697005e-01
1.500000e+03 4.759000e+00 9.646000e-01 9.225657e-01
1.600000e+03 4.999000e+00 9.247000e-01 9.736807e-01
1.700000e+03 5.240000e+00 8.884000e-01 1.018430e+00
1.800000e+03 5.481000e+00 8.552000e-01 1.068609e+00
2.000000e+03 5.963000e+00 7.966000e-01 1.159028e+00
2.250000e+03 6.561000e+00 7.350000e-01 1.269322e+00
2.500000e+03 7.149000e+00 6.833000e-01 1.369547e+00
2.750000e+03 7.726000e+00 6.391000e-01 1.459737e+00
3.000000e+03 8.288000e+00 6.010000e-01 1.549773e+00
3.250000e+03 8.835000e+00 5.676000e-01 1.629818e+00
3.500000e+03 9.366000e+00 5.381000e-01 1.709788e+00
3.750000e+03 9.881000e+00 5.119000e-01 1.779807e+00
4.000000e+03 1.038000e+01 4.883000e-01 1.849758e+00
4.500000e+03 1.133000e+01 4.478000e-01 1.989570e+00
5.000000e+03 1.222000e+01 4.141000e-01 2.109443e+00
5.500000e+03 1.304000e+01 3.856000e-01 2.229223e+00
6.000000e+03 1.382000e+01 3.611000e-01 2.339015e+00
6.500000e+03 1.454000e+01 3.399000e-01 2.438844e+00
7.000000e+03 1.521000e+01 3.212000e-01 2.538625e+00
8.000000e+03 1.642000e+01 2.899000e-01 2.728255e+00
9.000000e+03 1.748000e+01 2.646000e-01 2.907868e+00
1.000000e+04 1.840000e+01 2.437000e-01 3.077490e+00
