# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.843000e-01 4.220000e+00 9.154780e-03
1.100000e+01 2.981000e-01 4.305000e+00 9.725225e-03
1.200000e+01 3.114000e-01 4.381000e+00 1.033151e-02
1.300000e+01 3.241000e-01 4.449000e+00 1.087750e-02
1.400000e+01 3.363000e-01 4.509000e+00 1.142366e-02
1.500000e+01 3.482000e-01 4.564000e+00 1.205446e-02
1.600000e+01 3.596000e-01 4.613000e+00 1.260040e-02
1.700000e+01 3.706000e-01 4.657000e+00 1.311564e-02
1.800000e+01 3.814000e-01 4.698000e+00 1.363121e-02
2.000000e+01 4.020000e-01 4.768000e+00 1.469286e-02
2.250000e+01 4.264000e-01 4.839000e+00 1.599281e-02
2.500000e+01 4.495000e-01 4.897000e+00 1.726297e-02
2.750000e+01 4.714000e-01 4.943000e+00 1.851054e-02
3.000000e+01 4.924000e-01 4.979000e+00 1.981035e-02
3.250000e+01 5.125000e-01 5.009000e+00 2.105849e-02
3.500000e+01 5.318000e-01 5.032000e+00 2.232935e-02
3.750000e+01 5.505000e-01 5.049000e+00 2.348489e-02
4.000000e+01 5.685000e-01 5.063000e+00 2.475601e-02
4.500000e+01 6.030000e-01 5.079000e+00 2.716119e-02
5.000000e+01 6.356000e-01 5.083000e+00 2.958868e-02
5.500000e+01 6.667000e-01 5.080000e+00 3.199500e-02
6.000000e+01 6.963000e-01 5.069000e+00 3.442296e-02
6.500000e+01 7.248000e-01 5.054000e+00 3.683001e-02
7.000000e+01 7.521000e-01 5.034000e+00 3.925825e-02
8.000000e+01 8.040000e-01 4.987000e+00 4.406756e-02
9.000000e+01 8.528000e-01 4.932000e+00 4.888384e-02
1.000000e+02 8.990000e-01 4.873000e+00 5.378922e-02
1.100000e+02 9.428000e-01 4.811000e+00 5.867555e-02
1.200000e+02 9.848000e-01 4.748000e+00 6.358247e-02
1.300000e+02 1.034000e+00 4.684000e+00 6.847036e-02
1.400000e+02 1.107000e+00 4.620000e+00 7.345380e-02
1.500000e+02 1.167000e+00 4.558000e+00 7.836204e-02
1.600000e+02 1.219000e+00 4.496000e+00 8.332185e-02
1.700000e+02 1.265000e+00 4.435000e+00 8.830696e-02
1.800000e+02 1.306000e+00 4.375000e+00 9.328692e-02
2.000000e+02 1.380000e+00 4.260000e+00 1.033303e-01
2.250000e+02 1.464000e+00 4.124000e+00 1.160662e-01
2.500000e+02 1.545000e+00 3.997000e+00 1.288817e-01
2.750000e+02 1.624000e+00 3.878000e+00 1.418855e-01
3.000000e+02 1.703000e+00 3.766000e+00 1.549695e-01
3.250000e+02 1.782000e+00 3.662000e+00 1.681468e-01
3.500000e+02 1.860000e+00 3.563000e+00 1.814048e-01
3.750000e+02 1.936000e+00 3.471000e+00 1.946648e-01
4.000000e+02 2.012000e+00 3.384000e+00 2.080183e-01
4.500000e+02 2.160000e+00 3.225000e+00 2.348892e-01
5.000000e+02 2.304000e+00 3.082000e+00 2.618216e-01
5.500000e+02 2.442000e+00 2.954000e+00 2.887200e-01
6.000000e+02 2.575000e+00 2.838000e+00 3.156045e-01
6.500000e+02 2.704000e+00 2.731000e+00 3.424233e-01
7.000000e+02 2.829000e+00 2.634000e+00 3.692450e-01
8.000000e+02 3.068000e+00 2.462000e+00 4.223961e-01
9.000000e+02 3.297000e+00 2.315000e+00 4.749761e-01
1.000000e+03 3.518000e+00 2.187000e+00 5.268534e-01
1.100000e+03 3.732000e+00 2.074000e+00 5.779517e-01
1.200000e+03 3.942000e+00 1.975000e+00 6.281891e-01
1.300000e+03 4.148000e+00 1.885000e+00 6.775521e-01
1.400000e+03 4.351000e+00 1.805000e+00 7.260696e-01
1.500000e+03 4.552000e+00 1.732000e+00 7.736303e-01
1.600000e+03 4.752000e+00 1.666000e+00 8.202486e-01
1.700000e+03 4.951000e+00 1.605000e+00 8.659246e-01
1.800000e+03 5.149000e+00 1.550000e+00 9.107842e-01
2.000000e+03 5.542000e+00 1.451000e+00 9.977151e-01
2.250000e+03 6.030000e+00 1.345000e+00 1.099381e+00
2.500000e+03 6.515000e+00 1.256000e+00 1.199854e+00
2.750000e+03 6.996000e+00 1.180000e+00 1.290297e+00
3.000000e+03 7.472000e+00 1.113000e+00 1.380571e+00
3.250000e+03 7.943000e+00 1.054000e+00 1.470731e+00
3.500000e+03 8.408000e+00 1.002000e+00 1.550929e+00
3.750000e+03 8.866000e+00 9.556000e-01 1.631022e+00
4.000000e+03 9.318000e+00 9.137000e-01 1.701171e+00
4.500000e+03 1.020000e+01 8.412000e-01 1.841328e+00
5.000000e+03 1.105000e+01 7.805000e-01 1.981277e+00
5.500000e+03 1.186000e+01 7.289000e-01 2.101290e+00
6.000000e+03 1.265000e+01 6.843000e-01 2.221191e+00
6.500000e+03 1.339000e+01 6.455000e-01 2.331102e+00
7.000000e+03 1.411000e+01 6.113000e-01 2.431025e+00
8.000000e+03 1.545000e+01 5.536000e-01 2.630795e+00
9.000000e+03 1.667000e+01 5.068000e-01 2.820490e+00
1.000000e+04 1.778000e+01 4.680000e-01 2.990221e+00
