# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.000000e+01 2.398000e-01 5.047000e+00 8.738993e-03
1.100000e+01 2.515000e-01 5.180000e+00 9.255269e-03
1.200000e+01 2.627000e-01 5.300000e+00 9.771898e-03
1.300000e+01 2.735000e-01 5.409000e+00 1.019559e-02
1.400000e+01 2.838000e-01 5.509000e+00 1.071261e-02
1.500000e+01 2.937000e-01 5.601000e+00 1.116468e-02
1.600000e+01 3.034000e-01 5.686000e+00 1.165976e-02
1.700000e+01 3.127000e-01 5.765000e+00 1.208346e-02
1.800000e+01 3.218000e-01 5.837000e+00 1.250720e-02
2.000000e+01 3.392000e-01 5.968000e+00 1.344842e-02
2.250000e+01 3.598000e-01 6.110000e+00 1.451103e-02
2.500000e+01 3.792000e-01 6.230000e+00 1.554638e-02
2.750000e+01 3.977000e-01 6.334000e+00 1.658222e-02
3.000000e+01 4.154000e-01 6.425000e+00 1.764483e-02
3.250000e+01 4.324000e-01 6.504000e+00 1.868101e-02
3.500000e+01 4.487000e-01 6.573000e+00 1.962320e-02
3.750000e+01 4.644000e-01 6.634000e+00 2.068574e-02
4.000000e+01 4.797000e-01 6.688000e+00 2.162799e-02
4.500000e+01 5.088000e-01 6.778000e+00 2.358665e-02
5.000000e+01 5.363000e-01 6.849000e+00 2.547175e-02
5.500000e+01 5.625000e-01 6.904000e+00 2.736183e-02
6.000000e+01 5.875000e-01 6.946000e+00 2.922704e-02
6.500000e+01 6.115000e-01 6.979000e+00 3.111238e-02
7.000000e+01 6.345000e-01 7.003000e+00 3.297802e-02
8.000000e+01 6.784000e-01 7.032000e+00 3.661502e-02
9.000000e+01 7.195000e-01 7.041000e+00 4.034303e-02
1.000000e+02 7.584000e-01 7.035000e+00 4.398102e-02
1.100000e+02 7.955000e-01 7.018000e+00 4.761932e-02
1.200000e+02 8.308000e-01 6.993000e+00 5.123456e-02
1.300000e+02 8.648000e-01 6.962000e+00 5.487340e-02
1.400000e+02 8.974000e-01 6.926000e+00 5.858498e-02
1.500000e+02 9.289000e-01 6.887000e+00 6.220145e-02
1.600000e+02 9.594000e-01 6.844000e+00 6.584079e-02
1.700000e+02 9.889000e-01 6.800000e+00 6.953539e-02
1.800000e+02 1.020000e+00 6.754000e+00 7.324848e-02
2.000000e+02 1.236000e+00 6.659000e+00 8.060161e-02
2.250000e+02 1.390000e+00 6.537000e+00 8.966577e-02
2.500000e+02 1.474000e+00 6.416000e+00 9.873125e-02
2.750000e+02 1.524000e+00 6.295000e+00 1.079901e-01
3.000000e+02 1.562000e+00 6.177000e+00 1.172501e-01
3.250000e+02 1.596000e+00 6.063000e+00 1.267036e-01
3.500000e+02 1.631000e+00 5.952000e+00 1.361413e-01
3.750000e+02 1.671000e+00 5.844000e+00 1.457692e-01
4.000000e+02 1.716000e+00 5.741000e+00 1.554183e-01
4.500000e+02 1.819000e+00 5.544000e+00 1.751052e-01
5.000000e+02 1.936000e+00 5.361000e+00 1.949684e-01
5.500000e+02 2.063000e+00 5.192000e+00 2.150088e-01
6.000000e+02 2.194000e+00 5.034000e+00 2.352457e-01
6.500000e+02 2.326000e+00 4.886000e+00 2.554849e-01
7.000000e+02 2.457000e+00 4.749000e+00 2.757709e-01
8.000000e+02 2.711000e+00 4.499000e+00 3.164777e-01
9.000000e+02 2.948000e+00 4.278000e+00 3.572061e-01
1.000000e+03 3.166000e+00 4.081000e+00 3.979075e-01
1.100000e+03 3.367000e+00 3.904000e+00 4.384387e-01
1.200000e+03 3.551000e+00 3.745000e+00 4.790417e-01
1.300000e+03 3.722000e+00 3.600000e+00 5.194258e-01
1.400000e+03 3.882000e+00 3.468000e+00 5.597545e-01
1.500000e+03 4.031000e+00 3.346000e+00 5.999623e-01
1.600000e+03 4.173000e+00 3.235000e+00 6.400630e-01
1.700000e+03 4.309000e+00 3.131000e+00 6.799989e-01
1.800000e+03 4.440000e+00 3.036000e+00 7.197447e-01
2.000000e+03 4.691000e+00 2.863000e+00 7.989720e-01
2.250000e+03 4.994000e+00 2.678000e+00 8.968210e-01
2.500000e+03 5.293000e+00 2.518000e+00 9.931725e-01
2.750000e+03 5.595000e+00 2.379000e+00 1.087805e+00
3.000000e+03 5.901000e+00 2.256000e+00 1.178507e+00
3.250000e+03 6.214000e+00 2.147000e+00 1.269078e+00
3.500000e+03 6.535000e+00 2.050000e+00 1.359570e+00
3.750000e+03 6.862000e+00 1.962000e+00 1.449964e+00
4.000000e+03 7.196000e+00 1.883000e+00 1.530418e+00
4.500000e+03 7.880000e+00 1.744000e+00 1.691141e+00
5.000000e+03 8.580000e+00 1.627000e+00 1.841732e+00
5.500000e+03 9.288000e+00 1.526000e+00 1.982193e+00
6.000000e+03 9.996000e+00 1.439000e+00 2.122468e+00
6.500000e+03 1.070000e+01 1.362000e+00 2.252697e+00
7.000000e+03 1.139000e+01 1.294000e+00 2.372881e+00
8.000000e+03 1.274000e+01 1.178000e+00 2.603163e+00
9.000000e+03 1.401000e+01 1.084000e+00 2.813285e+00
1.000000e+04 1.521000e+01 1.005000e+00 3.003335e+00
