# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 7.383000e+01 4.864000e+02 2.092391e-02
1.300000e+01 7.684000e+01 4.855000e+02 2.237163e-02
1.400000e+01 7.975000e+01 4.841000e+02 2.388033e-02
1.500000e+01 8.254000e+01 4.824000e+02 2.532844e-02
1.600000e+01 8.525000e+01 4.805000e+02 2.674958e-02
1.700000e+01 8.788000e+01 4.783000e+02 2.828657e-02
1.800000e+01 9.042000e+01 4.760000e+02 2.970825e-02
2.000000e+01 9.531000e+01 4.710000e+02 3.275683e-02
2.250000e+01 1.011000e+02 4.643000e+02 3.644187e-02
2.500000e+01 1.066000e+02 4.574000e+02 4.019017e-02
2.750000e+01 1.118000e+02 4.503000e+02 4.396703e-02
3.000000e+01 1.167000e+02 4.433000e+02 4.777028e-02
3.250000e+01 1.215000e+02 4.364000e+02 5.154930e-02
3.500000e+01 1.261000e+02 4.295000e+02 5.541958e-02
3.750000e+01 1.305000e+02 4.228000e+02 5.931526e-02
4.000000e+01 1.348000e+02 4.163000e+02 6.318718e-02
4.500000e+01 1.430000e+02 4.038000e+02 7.113881e-02
5.000000e+01 1.507000e+02 3.920000e+02 7.905916e-02
5.500000e+01 1.586000e+02 3.809000e+02 8.707330e-02
6.000000e+01 1.682000e+02 3.705000e+02 9.518120e-02
6.500000e+01 1.773000e+02 3.606000e+02 1.033506e-01
7.000000e+01 1.859000e+02 3.514000e+02 1.115225e-01
8.000000e+01 2.015000e+02 3.344000e+02 1.279330e-01
9.000000e+01 2.154000e+02 3.193000e+02 1.444349e-01
1.000000e+02 2.280000e+02 3.056000e+02 1.610462e-01
1.100000e+02 2.396000e+02 2.933000e+02 1.777357e-01
1.200000e+02 2.507000e+02 2.821000e+02 1.944887e-01
1.300000e+02 2.612000e+02 2.718000e+02 2.113198e-01
1.400000e+02 2.713000e+02 2.624000e+02 2.281945e-01
1.500000e+02 2.811000e+02 2.538000e+02 2.449817e-01
1.600000e+02 2.907000e+02 2.458000e+02 2.618139e-01
1.700000e+02 3.001000e+02 2.383000e+02 2.787247e-01
1.800000e+02 3.093000e+02 2.314000e+02 2.955203e-01
2.000000e+02 3.274000e+02 2.189000e+02 3.289130e-01
2.250000e+02 3.498000e+02 2.053000e+02 3.704099e-01
2.500000e+02 3.720000e+02 1.936000e+02 4.112515e-01
2.750000e+02 3.943000e+02 1.833000e+02 4.514876e-01
3.000000e+02 4.166000e+02 1.742000e+02 4.909051e-01
3.250000e+02 4.391000e+02 1.661000e+02 5.295690e-01
3.500000e+02 4.615000e+02 1.588000e+02 5.673957e-01
3.750000e+02 4.841000e+02 1.522000e+02 6.043918e-01
4.000000e+02 5.067000e+02 1.463000e+02 6.404981e-01
4.500000e+02 5.518000e+02 1.358000e+02 7.102515e-01
5.000000e+02 5.969000e+02 1.269000e+02 7.768265e-01
5.500000e+02 6.416000e+02 1.193000e+02 8.402013e-01
6.000000e+02 6.859000e+02 1.126000e+02 9.008695e-01
6.500000e+02 7.296000e+02 1.068000e+02 9.588100e-01
7.000000e+02 7.728000e+02 1.015000e+02 1.014347e+00
8.000000e+02 8.571000e+02 9.267000e+01 1.119857e+00
9.000000e+02 9.388000e+02 8.538000e+01 1.220099e+00
1.000000e+03 1.018000e+03 7.928000e+01 1.310247e+00
1.100000e+03 1.094000e+03 7.408000e+01 1.390426e+00
1.200000e+03 1.167000e+03 6.959000e+01 1.470402e+00
1.300000e+03 1.238000e+03 6.567000e+01 1.550245e+00
1.400000e+03 1.307000e+03 6.222000e+01 1.620183e+00
1.500000e+03 1.373000e+03 5.914000e+01 1.690021e+00
1.600000e+03 1.437000e+03 5.639000e+01 1.759799e+00
1.700000e+03 1.500000e+03 5.391000e+01 1.819695e+00
1.800000e+03 1.560000e+03 5.166000e+01 1.879523e+00
2.000000e+03 1.676000e+03 4.773000e+01 1.999114e+00
2.250000e+03 1.812000e+03 4.366000e+01 2.138607e+00
2.500000e+03 1.939000e+03 4.028000e+01 2.268120e+00
2.750000e+03 2.058000e+03 3.744000e+01 2.387668e+00
3.000000e+03 2.170000e+03 3.500000e+01 2.497260e+00
3.250000e+03 2.275000e+03 3.289000e+01 2.606815e+00
3.500000e+03 2.373000e+03 3.104000e+01 2.716345e+00
3.750000e+03 2.465000e+03 2.941000e+01 2.815942e+00
4.000000e+03 2.552000e+03 2.795000e+01 2.905611e+00
4.500000e+03 2.709000e+03 2.546000e+01 3.094902e+00
5.000000e+03 2.846000e+03 2.341000e+01 3.274258e+00
5.500000e+03 2.966000e+03 2.169000e+01 3.443659e+00
6.000000e+03 3.070000e+03 2.023000e+01 3.603129e+00
6.500000e+03 3.160000e+03 1.896000e+01 3.762596e+00
7.000000e+03 3.238000e+03 1.786000e+01 3.922087e+00
8.000000e+03 3.364000e+03 1.602000e+01 4.221310e+00
9.000000e+03 3.459000e+03 1.455000e+01 4.510601e+00
1.000000e+04 3.530000e+03 1.335000e+01 4.789971e+00
1.100000e+04 3.582000e+03 1.234000e+01 5.069374e+00
1.200000e+04 3.621000e+03 1.148000e+01 5.348815e+00
1.300000e+04 3.649000e+03 1.074000e+01 5.618327e+00
1.400000e+04 3.668000e+03 1.010000e+01 5.887861e+00
1.500000e+04 3.680000e+03 9.535000e+00 6.157428e+00
1.600000e+04 3.687000e+03 9.034000e+00 6.427024e+00
1.700000e+04 3.689000e+03 8.587000e+00 6.696651e+00
1.800000e+04 3.688000e+03 8.185000e+00 6.966295e+00
2.000000e+04 3.677000e+03 7.491000e+00 7.515823e+00
2.250000e+04 3.653000e+03 6.782000e+00 8.195441e+00
2.500000e+04 3.621000e+03 6.203000e+00 8.875116e+00
2.750000e+04 3.584000e+03 5.721000e+00 9.564825e+00
3.000000e+04 3.546000e+03 5.312000e+00 1.026457e+01
3.250000e+04 3.505000e+03 4.962000e+00 1.097433e+01
3.500000e+04 3.464000e+03 4.657000e+00 1.169413e+01
3.750000e+04 3.423000e+03 4.390000e+00 1.241396e+01
4.000000e+04 3.382000e+03 4.153000e+00 1.315379e+01
4.500000e+04 3.301000e+03 3.754000e+00 1.464430e+01
5.000000e+04 3.222000e+03 3.428000e+00 1.617476e+01
5.500000e+04 3.151000e+03 3.157000e+00 1.774517e+01
6.000000e+04 3.088000e+03 2.928000e+00 1.934556e+01
6.500000e+04 3.004000e+03 2.731000e+00 2.098593e+01
7.000000e+04 2.930000e+03 2.561000e+00 2.266629e+01
8.000000e+04 2.795000e+03 2.280000e+00 2.615932e+01
9.000000e+04 2.673000e+03 2.058000e+00 2.980483e+01
1.000000e+05 2.562000e+03 1.877000e+00 3.362469e+01
