# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 6.658000e+01 6.579000e+01 6.990072e-02
1.300000e+01 6.930000e+01 6.386000e+01 7.564893e-02
1.400000e+01 7.191000e+01 6.206000e+01 8.135785e-02
1.500000e+01 7.444000e+01 6.037000e+01 8.715509e-02
1.600000e+01 7.688000e+01 5.879000e+01 9.287072e-02
1.700000e+01 7.924000e+01 5.730000e+01 9.860091e-02
1.800000e+01 8.154000e+01 5.590000e+01 1.043259e-01
2.000000e+01 8.615000e+01 5.333000e+01 1.157230e-01
2.250000e+01 9.162000e+01 5.049000e+01 1.299078e-01
2.500000e+01 9.682000e+01 4.798000e+01 1.438841e-01
2.750000e+01 1.018000e+02 4.575000e+01 1.577708e-01
3.000000e+01 1.067000e+02 4.375000e+01 1.714452e-01
3.250000e+01 1.115000e+02 4.194000e+01 1.849808e-01
3.500000e+01 1.162000e+02 4.031000e+01 1.983763e-01
3.750000e+01 1.209000e+02 3.881000e+01 2.114733e-01
4.000000e+01 1.254000e+02 3.745000e+01 2.244638e-01
4.500000e+01 1.344000e+02 3.502000e+01 2.498332e-01
5.000000e+01 1.430000e+02 3.293000e+01 2.745191e-01
5.500000e+01 1.512000e+02 3.112000e+01 2.983987e-01
6.000000e+01 1.591000e+02 2.952000e+01 3.217166e-01
6.500000e+01 1.667000e+02 2.810000e+01 3.443736e-01
7.000000e+01 1.740000e+02 2.683000e+01 3.665249e-01
8.000000e+01 1.878000e+02 2.465000e+01 4.092580e-01
9.000000e+01 2.008000e+02 2.283000e+01 4.500544e-01
1.000000e+02 2.131000e+02 2.130000e+01 4.892906e-01
1.100000e+02 2.250000e+02 1.999000e+01 5.269853e-01
1.200000e+02 2.364000e+02 1.884000e+01 5.634163e-01
1.300000e+02 2.474000e+02 1.784000e+01 5.985321e-01
1.400000e+02 2.582000e+02 1.695000e+01 6.324918e-01
1.500000e+02 2.686000e+02 1.615000e+01 6.655038e-01
