# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 1.038000e+02 1.353000e+02 4.194496e-02
1.300000e+01 1.080000e+02 1.325000e+02 4.528543e-02
1.400000e+01 1.121000e+02 1.297000e+02 4.854225e-02
1.500000e+01 1.161000e+02 1.271000e+02 5.175867e-02
1.600000e+01 1.199000e+02 1.246000e+02 5.506269e-02
1.700000e+01 1.236000e+02 1.222000e+02 5.828216e-02
1.800000e+01 1.271000e+02 1.199000e+02 6.155924e-02
2.000000e+01 1.340000e+02 1.156000e+02 6.805086e-02
2.250000e+01 1.421000e+02 1.107000e+02 7.610085e-02
2.500000e+01 1.522000e+02 1.063000e+02 8.412045e-02
2.750000e+01 1.643000e+02 1.022000e+02 9.186735e-02
3.000000e+01 1.747000e+02 9.854000e+01 9.955627e-02
3.250000e+01 1.835000e+02 9.514000e+01 1.070666e-01
3.500000e+01 1.912000e+02 9.201000e+01 1.145258e-01
3.750000e+01 1.981000e+02 8.911000e+01 1.218316e-01
4.000000e+01 2.042000e+02 8.643000e+01 1.291153e-01
4.500000e+01 2.150000e+02 8.159000e+01 1.436315e-01
5.000000e+01 2.246000e+02 7.735000e+01 1.578665e-01
5.500000e+01 2.333000e+02 7.360000e+01 1.720296e-01
6.000000e+01 2.414000e+02 7.025000e+01 1.861525e-01
6.500000e+01 2.490000e+02 6.724000e+01 2.000213e-01
7.000000e+01 2.564000e+02 6.452000e+01 2.137574e-01
8.000000e+01 2.703000e+02 5.978000e+01 2.409220e-01
9.000000e+01 2.836000e+02 5.579000e+01 2.676005e-01
1.000000e+02 2.965000e+02 5.236000e+01 2.936730e-01
1.100000e+02 3.091000e+02 4.939000e+01 3.192579e-01
1.200000e+02 3.217000e+02 4.679000e+01 3.441887e-01
1.300000e+02 3.342000e+02 4.448000e+01 3.686299e-01
1.400000e+02 3.467000e+02 4.242000e+01 3.924591e-01
1.500000e+02 3.591000e+02 4.057000e+01 4.157463e-01
1.600000e+02 3.715000e+02 3.889000e+01 4.385856e-01
1.700000e+02 3.838000e+02 3.736000e+01 4.607857e-01
1.800000e+02 3.962000e+02 3.597000e+01 4.825781e-01
2.000000e+02 4.207000e+02 3.351000e+01 5.246618e-01
2.250000e+02 4.511000e+02 3.092000e+01 5.746491e-01
2.500000e+02 4.810000e+02 2.874000e+01 6.221391e-01
2.750000e+02 5.104000e+02 2.689000e+01 6.673370e-01
3.000000e+02 5.393000e+02 2.528000e+01 7.103870e-01
3.250000e+02 5.675000e+02 2.388000e+01 7.516083e-01
3.500000e+02 5.951000e+02 2.264000e+01 7.910930e-01
3.750000e+02 6.219000e+02 2.154000e+01 8.290473e-01
4.000000e+02 6.482000e+02 2.055000e+01 8.655846e-01
4.500000e+02 6.985000e+02 1.884000e+01 9.349528e-01
5.000000e+02 7.461000e+02 1.743000e+01 1.000159e+00
5.500000e+02 7.911000e+02 1.623000e+01 1.061081e+00
6.000000e+02 8.335000e+02 1.520000e+01 1.120832e+00
6.500000e+02 8.736000e+02 1.430000e+01 1.180560e+00
7.000000e+02 9.114000e+02 1.352000e+01 1.230390e+00
8.000000e+02 9.807000e+02 1.220000e+01 1.330017e+00
9.000000e+02 1.043000e+03 1.114000e+01 1.429549e+00
1.000000e+03 1.098000e+03 1.026000e+01 1.519166e+00
1.100000e+03 1.147000e+03 9.519000e+00 1.608764e+00
1.200000e+03 1.192000e+03 8.888000e+00 1.688440e+00
1.300000e+03 1.232000e+03 8.342000e+00 1.768113e+00
1.400000e+03 1.267000e+03 7.865000e+00 1.847770e+00
1.500000e+03 1.299000e+03 7.444000e+00 1.927423e+00
1.600000e+03 1.328000e+03 7.069000e+00 1.997174e+00
1.700000e+03 1.353000e+03 6.733000e+00 2.076845e+00
1.800000e+03 1.376000e+03 6.430000e+00 2.146594e+00
2.000000e+03 1.415000e+03 5.905000e+00 2.286147e+00
2.250000e+03 1.452000e+03 5.366000e+00 2.455660e+00
2.500000e+03 1.479000e+03 4.924000e+00 2.625193e+00
2.750000e+03 1.497000e+03 4.554000e+00 2.794750e+00
3.000000e+03 1.510000e+03 4.239000e+00 2.954383e+00
3.250000e+03 1.517000e+03 3.968000e+00 3.124002e+00
3.500000e+03 1.520000e+03 3.732000e+00 3.283681e+00
3.750000e+03 1.521000e+03 3.524000e+00 3.443381e+00
4.000000e+03 1.519000e+03 3.340000e+00 3.613069e+00
4.500000e+03 1.511000e+03 3.028000e+00 3.942672e+00
5.000000e+03 1.498000e+03 2.772000e+00 4.272338e+00
5.500000e+03 1.482000e+03 2.559000e+00 4.602039e+00
6.000000e+03 1.465000e+03 2.378000e+00 4.941766e+00
6.500000e+03 1.448000e+03 2.222000e+00 5.281528e+00
7.000000e+03 1.430000e+03 2.087000e+00 5.631306e+00
8.000000e+03 1.394000e+03 1.864000e+00 6.341330e+00
9.000000e+03 1.358000e+03 1.686000e+00 7.061375e+00
1.000000e+04 1.324000e+03 1.541000e+00 7.811416e+00
1.100000e+04 1.292000e+03 1.420000e+00 8.571482e+00
1.200000e+04 1.261000e+03 1.318000e+00 9.351562e+00
1.300000e+04 1.232000e+03 1.230000e+00 1.015165e+01
1.400000e+04 1.205000e+03 1.154000e+00 1.097174e+01
1.500000e+04 1.178000e+03 1.087000e+00 1.181184e+01
1.600000e+04 1.153000e+03 1.028000e+00 1.266195e+01
1.700000e+04 1.130000e+03 9.758000e-01 1.354206e+01
1.800000e+04 1.107000e+03 9.287000e-01 1.443218e+01
2.000000e+04 1.064000e+03 8.475000e-01 1.627347e+01
2.250000e+04 1.015000e+03 7.650000e-01 1.868553e+01
2.500000e+04 9.742000e+02 6.979000e-01 2.119735e+01
2.750000e+04 9.341000e+02 6.421000e-01 2.381899e+01
