# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 6.539000e+01 1.532000e+03 1.189285e-02
1.300000e+01 6.806000e+01 1.568000e+03 1.250520e-02
1.400000e+01 7.063000e+01 1.602000e+03 1.302344e-02
1.500000e+01 7.311000e+01 1.633000e+03 1.354179e-02
1.600000e+01 7.551000e+01 1.662000e+03 1.406023e-02
1.700000e+01 7.783000e+01 1.690000e+03 1.460445e-02
1.800000e+01 8.009000e+01 1.715000e+03 1.512283e-02
2.000000e+01 8.442000e+01 1.761000e+03 1.615983e-02
2.250000e+01 8.954000e+01 1.812000e+03 1.738678e-02
2.500000e+01 9.438000e+01 1.857000e+03 1.854400e-02
2.750000e+01 9.899000e+01 1.896000e+03 1.967664e-02
3.000000e+01 1.034000e+02 1.931000e+03 2.083387e-02
3.250000e+01 1.076000e+02 1.962000e+03 2.196679e-02
3.500000e+01 1.117000e+02 1.990000e+03 2.310000e-02
3.750000e+01 1.156000e+02 2.015000e+03 2.416195e-02
4.000000e+01 1.194000e+02 2.038000e+03 2.520000e-02
4.500000e+01 1.266000e+02 2.078000e+03 2.737170e-02
5.000000e+01 1.335000e+02 2.111000e+03 2.942958e-02
5.500000e+01 1.400000e+02 2.139000e+03 3.150651e-02
6.000000e+01 1.462000e+02 2.162000e+03 3.346939e-02
6.500000e+01 1.522000e+02 2.182000e+03 3.552816e-02
7.000000e+01 1.579000e+02 2.199000e+03 3.750973e-02
8.000000e+01 1.688000e+02 2.226000e+03 4.141437e-02
9.000000e+01 1.791000e+02 2.245000e+03 4.524577e-02
1.000000e+02 1.888000e+02 2.258000e+03 4.905568e-02
1.100000e+02 1.980000e+02 2.267000e+03 5.286606e-02
1.200000e+02 2.068000e+02 2.272000e+03 5.667680e-02
1.300000e+02 2.152000e+02 2.274000e+03 6.048785e-02
1.400000e+02 2.234000e+02 2.274000e+03 6.420288e-02
1.500000e+02 2.312000e+02 2.272000e+03 6.801434e-02
1.600000e+02 2.388000e+02 2.269000e+03 7.169198e-02
1.700000e+02 2.461000e+02 2.264000e+03 7.550391e-02
1.800000e+02 2.533000e+02 2.258000e+03 7.921951e-02
2.000000e+02 2.670000e+02 2.244000e+03 8.671044e-02
2.250000e+02 2.832000e+02 2.223000e+03 9.616668e-02
2.500000e+02 3.076000e+02 2.199000e+03 1.055876e-01
2.750000e+02 3.283000e+02 2.174000e+03 1.150258e-01
3.000000e+02 3.457000e+02 2.148000e+03 1.244487e-01
3.250000e+02 3.611000e+02 2.122000e+03 1.339850e-01
3.500000e+02 3.755000e+02 2.096000e+03 1.435841e-01
3.750000e+02 3.892000e+02 2.069000e+03 1.532029e-01
4.000000e+02 4.028000e+02 2.043000e+03 1.629193e-01
4.500000e+02 4.296000e+02 1.992000e+03 1.824476e-01
5.000000e+02 4.566000e+02 1.942000e+03 2.022542e-01
5.500000e+02 4.835000e+02 1.895000e+03 2.222544e-01
6.000000e+02 5.102000e+02 1.850000e+03 2.423566e-01
6.500000e+02 5.364000e+02 1.807000e+03 2.627495e-01
7.000000e+02 5.619000e+02 1.766000e+03 2.832098e-01
8.000000e+02 6.110000e+02 1.690000e+03 3.246709e-01
9.000000e+02 6.572000e+02 1.621000e+03 3.665915e-01
1.000000e+03 7.009000e+02 1.558000e+03 4.089729e-01
1.100000e+03 7.423000e+02 1.501000e+03 4.517363e-01
1.200000e+03 7.819000e+02 1.448000e+03 4.947801e-01
1.300000e+03 8.200000e+02 1.399000e+03 5.380929e-01
1.400000e+03 8.568000e+02 1.355000e+03 5.816737e-01
1.500000e+03 8.926000e+02 1.313000e+03 6.253437e-01
1.600000e+03 9.276000e+02 1.274000e+03 6.691977e-01
1.700000e+03 9.619000e+02 1.238000e+03 7.131406e-01
1.800000e+03 9.958000e+02 1.204000e+03 7.571438e-01
2.000000e+03 1.063000e+03 1.143000e+03 8.450629e-01
2.250000e+03 1.145000e+03 1.076000e+03 9.546449e-01
2.500000e+03 1.227000e+03 1.018000e+03 1.067275e+00
2.750000e+03 1.310000e+03 9.660000e+02 1.168355e+00
3.000000e+03 1.393000e+03 9.203000e+02 1.279170e+00
3.250000e+03 1.477000e+03 8.793000e+02 1.380029e+00
3.500000e+03 1.561000e+03 8.424000e+02 1.480781e+00
3.750000e+03 1.647000e+03 8.089000e+02 1.581440e+00
4.000000e+03 1.732000e+03 7.784000e+02 1.682032e+00
4.500000e+03 1.906000e+03 7.247000e+02 1.873142e+00
5.000000e+03 2.080000e+03 6.789000e+02 2.054083e+00
5.500000e+03 2.255000e+03 6.393000e+02 2.224872e+00
6.000000e+03 2.429000e+03 6.046000e+02 2.395410e+00
6.500000e+03 2.602000e+03 5.740000e+02 2.555892e+00
7.000000e+03 2.773000e+03 5.468000e+02 2.706301e+00
8.000000e+03 3.108000e+03 5.002000e+02 2.987058e+00
9.000000e+03 3.430000e+03 4.618000e+02 3.247520e+00
