# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 5.562000e+01 1.641000e+03 1.201041e-02
1.300000e+01 5.789000e+01 1.685000e+03 1.252917e-02
1.400000e+01 6.007000e+01 1.726000e+03 1.304799e-02
1.500000e+01 6.218000e+01 1.764000e+03 1.356687e-02
1.600000e+01 6.422000e+01 1.800000e+03 1.406698e-02
1.700000e+01 6.620000e+01 1.833000e+03 1.449069e-02
1.800000e+01 6.812000e+01 1.865000e+03 1.500966e-02
2.000000e+01 7.180000e+01 1.923000e+03 1.595243e-02
2.250000e+01 7.616000e+01 1.988000e+03 1.710965e-02
2.500000e+01 8.028000e+01 2.046000e+03 1.824308e-02
2.750000e+01 8.419000e+01 2.097000e+03 1.926292e-02
3.000000e+01 8.794000e+01 2.143000e+03 2.030123e-02
3.250000e+01 9.153000e+01 2.185000e+03 2.133963e-02
3.500000e+01 9.498000e+01 2.223000e+03 2.237811e-02
3.750000e+01 9.832000e+01 2.258000e+03 2.339850e-02
4.000000e+01 1.015000e+02 2.290000e+03 2.434132e-02
4.500000e+01 1.077000e+02 2.348000e+03 2.628250e-02
5.000000e+01 1.135000e+02 2.397000e+03 2.815031e-02
5.500000e+01 1.191000e+02 2.440000e+03 2.999633e-02
6.000000e+01 1.244000e+02 2.477000e+03 3.176822e-02
6.500000e+01 1.294000e+02 2.510000e+03 3.361458e-02
7.000000e+01 1.343000e+02 2.539000e+03 3.534770e-02
8.000000e+01 1.436000e+02 2.588000e+03 3.884920e-02
9.000000e+01 1.523000e+02 2.626000e+03 4.223766e-02
1.000000e+02 1.606000e+02 2.657000e+03 4.553010e-02
1.100000e+02 1.684000e+02 2.682000e+03 4.891922e-02
1.200000e+02 1.759000e+02 2.702000e+03 5.221207e-02
1.300000e+02 1.831000e+02 2.718000e+03 5.538854e-02
1.400000e+02 1.900000e+02 2.730000e+03 5.868168e-02
1.500000e+02 1.966000e+02 2.740000e+03 6.185863e-02
1.600000e+02 2.031000e+02 2.747000e+03 6.515198e-02
1.700000e+02 2.093000e+02 2.752000e+03 6.831296e-02
1.800000e+02 2.154000e+02 2.756000e+03 7.149049e-02
2.000000e+02 2.271000e+02 2.758000e+03 7.784889e-02
2.250000e+02 2.408000e+02 2.755000e+03 8.573086e-02
2.500000e+02 2.539000e+02 2.746000e+03 9.371051e-02
2.750000e+02 2.663000e+02 2.734000e+03 1.015937e-01
3.000000e+02 3.023000e+02 2.719000e+03 1.094592e-01
3.250000e+02 3.342000e+02 2.701000e+03 1.173433e-01
