# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 6.172000e+01 1.612000e+03 1.191554e-02
1.300000e+01 6.424000e+01 1.654000e+03 1.255428e-02
1.400000e+01 6.667000e+01 1.693000e+03 1.307287e-02
1.500000e+01 6.901000e+01 1.729000e+03 1.359154e-02
1.600000e+01 7.127000e+01 1.763000e+03 1.401535e-02
1.700000e+01 7.346000e+01 1.795000e+03 1.453410e-02
1.800000e+01 7.559000e+01 1.824000e+03 1.505291e-02
2.000000e+01 7.968000e+01 1.879000e+03 1.597655e-02
2.250000e+01 8.452000e+01 1.940000e+03 1.710965e-02
2.500000e+01 8.909000e+01 1.994000e+03 1.824308e-02
2.750000e+01 9.344000e+01 2.042000e+03 1.940026e-02
3.000000e+01 9.759000e+01 2.085000e+03 2.043844e-02
3.250000e+01 1.016000e+02 2.124000e+03 2.147673e-02
3.500000e+01 1.054000e+02 2.160000e+03 2.249667e-02
3.750000e+01 1.091000e+02 2.192000e+03 2.353508e-02
4.000000e+01 1.127000e+02 2.221000e+03 2.457356e-02
4.500000e+01 1.195000e+02 2.274000e+03 2.653677e-02
5.000000e+01 1.260000e+02 2.318000e+03 2.838204e-02
5.500000e+01 1.321000e+02 2.357000e+03 3.034568e-02
6.000000e+01 1.380000e+02 2.390000e+03 3.219161e-02
6.500000e+01 1.437000e+02 2.420000e+03 3.396351e-02
7.000000e+01 1.491000e+02 2.445000e+03 3.580978e-02
8.000000e+01 1.594000e+02 2.488000e+03 3.940698e-02
9.000000e+01 1.690000e+02 2.521000e+03 4.291212e-02
1.000000e+02 1.782000e+02 2.547000e+03 4.641390e-02
1.100000e+02 1.869000e+02 2.567000e+03 4.980251e-02
1.200000e+02 1.952000e+02 2.583000e+03 5.319145e-02
1.300000e+02 2.032000e+02 2.594000e+03 5.658065e-02
1.400000e+02 2.108000e+02 2.603000e+03 5.997008e-02
1.500000e+02 2.182000e+02 2.609000e+03 6.324326e-02
1.600000e+02 2.254000e+02 2.614000e+03 6.663310e-02
1.700000e+02 2.323000e+02 2.616000e+03 6.992639e-02
1.800000e+02 2.391000e+02 2.616000e+03 7.320027e-02
2.000000e+02 2.520000e+02 2.614000e+03 7.984854e-02
2.250000e+02 2.673000e+02 2.605000e+03 8.805561e-02
2.500000e+02 2.817000e+02 2.592000e+03 9.636005e-02
2.750000e+02 2.962000e+02 2.576000e+03 1.046306e-01
3.000000e+02 3.129000e+02 2.557000e+03 1.129361e-01
3.250000e+02 3.304000e+02 2.537000e+03 1.212080e-01
3.500000e+02 3.478000e+02 2.516000e+03 1.294807e-01
3.750000e+02 3.647000e+02 2.494000e+03 1.377690e-01
4.000000e+02 3.809000e+02 2.471000e+03 1.461397e-01
4.500000e+02 4.107000e+02 2.426000e+03 1.628825e-01
5.000000e+02 4.376000e+02 2.380000e+03 1.798213e-01
5.500000e+02 4.621000e+02 2.335000e+03 1.968416e-01
6.000000e+02 4.847000e+02 2.291000e+03 2.140583e-01
6.500000e+02 5.057000e+02 2.248000e+03 2.313737e-01
7.000000e+02 5.255000e+02 2.207000e+03 2.488854e-01
8.000000e+02 5.625000e+02 2.128000e+03 2.843023e-01
9.000000e+02 5.973000e+02 2.054000e+03 3.204046e-01
1.000000e+03 6.309000e+02 1.986000e+03 3.568876e-01
1.100000e+03 6.639000e+02 1.923000e+03 3.939454e-01
1.200000e+03 6.968000e+02 1.864000e+03 4.315094e-01
1.300000e+03 7.298000e+02 1.809000e+03 4.693418e-01
1.400000e+03 7.629000e+02 1.758000e+03 5.074694e-01
1.500000e+03 7.962000e+02 1.710000e+03 5.459645e-01
