# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 8.817000e+01 2.855000e+02 2.856344e-02
1.300000e+01 9.177000e+01 2.824000e+02 3.067980e-02
1.400000e+01 9.523000e+01 2.793000e+02 3.291216e-02
1.500000e+01 9.857000e+01 2.762000e+02 3.498943e-02
1.600000e+01 1.018000e+02 2.730000e+02 3.722284e-02
1.700000e+01 1.049000e+02 2.699000e+02 3.942854e-02
1.800000e+01 1.080000e+02 2.668000e+02 4.159555e-02
2.000000e+01 1.138000e+02 2.608000e+02 4.599837e-02
2.250000e+01 1.207000e+02 2.535000e+02 5.149320e-02
2.500000e+01 1.273000e+02 2.466000e+02 5.706750e-02
2.750000e+01 1.335000e+02 2.400000e+02 6.270638e-02
3.000000e+01 1.394000e+02 2.338000e+02 6.825855e-02
3.250000e+01 1.451000e+02 2.279000e+02 7.398088e-02
3.500000e+01 1.506000e+02 2.224000e+02 7.959001e-02
3.750000e+01 1.559000e+02 2.172000e+02 8.529091e-02
4.000000e+01 1.723000e+02 2.122000e+02 9.086853e-02
4.500000e+01 1.996000e+02 2.030000e+02 1.017146e-01
5.000000e+01 2.161000e+02 1.947000e+02 1.122338e-01
5.500000e+01 2.261000e+02 1.871000e+02 1.226365e-01
6.000000e+01 2.324000e+02 1.802000e+02 1.330868e-01
6.500000e+01 2.367000e+02 1.739000e+02 1.436346e-01
7.000000e+01 2.402000e+02 1.681000e+02 1.543403e-01
8.000000e+01 2.466000e+02 1.578000e+02 1.758987e-01
9.000000e+01 2.539000e+02 1.488000e+02 1.979164e-01
1.000000e+02 2.628000e+02 1.410000e+02 2.199362e-01
1.100000e+02 2.730000e+02 1.340000e+02 2.419458e-01
1.200000e+02 2.844000e+02 1.279000e+02 2.638664e-01
1.300000e+02 2.968000e+02 1.223000e+02 2.854452e-01
1.400000e+02 3.098000e+02 1.173000e+02 3.068695e-01
1.500000e+02 3.233000e+02 1.128000e+02 3.278570e-01
1.600000e+02 3.371000e+02 1.086000e+02 3.484067e-01
1.700000e+02 3.512000e+02 1.048000e+02 3.686128e-01
1.800000e+02 3.653000e+02 1.013000e+02 3.883358e-01
2.000000e+02 3.936000e+02 9.503000e+01 4.267517e-01
2.250000e+02 4.284000e+02 8.835000e+01 4.725906e-01
2.500000e+02 4.624000e+02 8.266000e+01 5.161741e-01
2.750000e+02 4.952000e+02 7.776000e+01 5.577109e-01
3.000000e+02 5.269000e+02 7.347000e+01 5.974321e-01
3.250000e+02 5.575000e+02 6.970000e+01 6.355862e-01
3.500000e+02 5.870000e+02 6.634000e+01 6.722668e-01
3.750000e+02 6.155000e+02 6.333000e+01 7.075873e-01
4.000000e+02 6.431000e+02 6.061000e+01 7.417577e-01
4.500000e+02 6.957000e+02 5.590000e+01 8.069062e-01
5.000000e+02 7.456000e+02 5.195000e+01 8.683361e-01
5.500000e+02 7.932000e+02 4.858000e+01 9.265755e-01
6.000000e+02 8.388000e+02 4.566000e+01 9.820721e-01
6.500000e+02 8.828000e+02 4.311000e+01 1.034835e+00
7.000000e+02 9.254000e+02 4.087000e+01 1.084776e+00
8.000000e+02 1.007000e+03 3.707000e+01 1.184495e+00
9.000000e+02 1.085000e+03 3.399000e+01 1.274237e+00
1.000000e+03 1.160000e+03 3.142000e+01 1.354034e+00
1.100000e+03 1.232000e+03 2.925000e+01 1.433742e+00
1.200000e+03 1.302000e+03 2.739000e+01 1.513366e+00
1.300000e+03 1.369000e+03 2.577000e+01 1.583094e+00
1.400000e+03 1.433000e+03 2.435000e+01 1.652783e+00
1.500000e+03 1.496000e+03 2.309000e+01 1.712571e+00
1.600000e+03 1.555000e+03 2.197000e+01 1.782209e+00
1.700000e+03 1.613000e+03 2.096000e+01 1.841956e+00
1.800000e+03 1.668000e+03 2.005000e+01 1.901679e+00
2.000000e+03 1.771000e+03 1.846000e+01 2.011245e+00
2.250000e+03 1.886000e+03 1.683000e+01 2.150648e+00
2.500000e+03 1.988000e+03 1.548000e+01 2.270198e+00
2.750000e+03 2.077000e+03 1.435000e+01 2.389730e+00
3.000000e+03 2.155000e+03 1.339000e+01 2.509259e+00
3.250000e+03 2.221000e+03 1.255000e+01 2.618859e+00
3.500000e+03 2.277000e+03 1.183000e+01 2.728468e+00
3.750000e+03 2.325000e+03 1.118000e+01 2.838079e+00
4.000000e+03 2.365000e+03 1.061000e+01 2.947704e+00
4.500000e+03 2.426000e+03 9.644000e+00 3.147161e+00
5.000000e+03 2.465000e+03 8.847000e+00 3.356598e+00
5.500000e+03 2.489000e+03 8.181000e+00 3.556106e+00
6.000000e+03 2.501000e+03 7.615000e+00 3.755659e+00
6.500000e+03 2.505000e+03 7.127000e+00 3.955230e+00
7.000000e+03 2.502000e+03 6.703000e+00 4.144871e+00
8.000000e+03 2.484000e+03 5.998000e+00 4.544342e+00
9.000000e+03 2.458000e+03 5.436000e+00 4.953856e+00
1.000000e+04 2.426000e+03 4.976000e+00 5.353474e+00
1.100000e+04 2.393000e+03 4.593000e+00 5.773092e+00
