# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 7.326000e+01 1.197000e+03 1.266215e-02
1.300000e+01 7.625000e+01 1.216000e+03 1.339291e-02
1.400000e+01 7.913000e+01 1.234000e+03 1.405454e-02
1.500000e+01 8.190000e+01 1.249000e+03 1.469286e-02
1.600000e+01 8.459000e+01 1.264000e+03 1.539448e-02
1.700000e+01 8.719000e+01 1.277000e+03 1.605584e-02
1.800000e+01 8.972000e+01 1.289000e+03 1.669431e-02
2.000000e+01 9.457000e+01 1.309000e+03 1.796497e-02
2.250000e+01 1.003000e+02 1.331000e+03 1.954380e-02
2.500000e+01 1.057000e+02 1.348000e+03 2.112297e-02
2.750000e+01 1.109000e+02 1.362000e+03 2.260907e-02
3.000000e+01 1.158000e+02 1.374000e+03 2.416071e-02
3.250000e+01 1.206000e+02 1.384000e+03 2.564703e-02
3.500000e+01 1.251000e+02 1.391000e+03 2.713337e-02
3.750000e+01 1.295000e+02 1.397000e+03 2.859231e-02
4.000000e+01 1.337000e+02 1.402000e+03 3.005728e-02
4.500000e+01 1.419000e+02 1.409000e+03 3.300318e-02
5.000000e+01 1.495000e+02 1.412000e+03 3.592840e-02
5.500000e+01 1.568000e+02 1.413000e+03 3.875435e-02
6.000000e+01 1.638000e+02 1.412000e+03 4.168045e-02
6.500000e+01 1.705000e+02 1.410000e+03 4.460695e-02
7.000000e+01 1.769000e+02 1.406000e+03 4.741350e-02
8.000000e+01 1.892000e+02 1.396000e+03 5.326800e-02
9.000000e+01 2.006000e+02 1.383000e+03 5.900322e-02
1.000000e+02 2.115000e+02 1.369000e+03 6.480910e-02
1.100000e+02 2.218000e+02 1.354000e+03 7.064085e-02
1.200000e+02 2.317000e+02 1.338000e+03 7.647313e-02
1.300000e+02 2.411000e+02 1.322000e+03 8.240097e-02
1.400000e+02 2.533000e+02 1.305000e+03 8.830521e-02
1.500000e+02 2.737000e+02 1.289000e+03 9.421539e-02
1.600000e+02 2.904000e+02 1.273000e+03 1.001209e-01
1.700000e+02 3.045000e+02 1.257000e+03 1.061223e-01
1.800000e+02 3.164000e+02 1.242000e+03 1.120106e-01
2.000000e+02 3.362000e+02 1.211000e+03 1.239980e-01
2.250000e+02 3.566000e+02 1.175000e+03 1.391806e-01
2.500000e+02 3.750000e+02 1.141000e+03 1.544389e-01
2.750000e+02 3.928000e+02 1.108000e+03 1.699876e-01
3.000000e+02 4.106000e+02 1.078000e+03 1.856346e-01
3.250000e+02 4.285000e+02 1.050000e+03 2.014545e-01
3.500000e+02 4.466000e+02 1.023000e+03 2.173772e-01
3.750000e+02 4.647000e+02 9.974000e+02 2.334694e-01
4.000000e+02 4.828000e+02 9.734000e+02 2.495845e-01
4.500000e+02 5.187000e+02 9.293000e+02 2.820681e-01
5.000000e+02 5.540000e+02 8.897000e+02 3.147923e-01
5.500000e+02 5.884000e+02 8.538000e+02 3.476004e-01
6.000000e+02 6.219000e+02 8.212000e+02 3.803762e-01
