# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 1.107000e+02 1.592000e+03 1.163142e-02
1.300000e+01 1.152000e+02 1.633000e+03 1.213054e-02
1.400000e+01 1.196000e+02 1.670000e+03 1.264911e-02
1.500000e+01 1.238000e+02 1.705000e+03 1.316776e-02
1.600000e+01 1.278000e+02 1.738000e+03 1.368649e-02
1.700000e+01 1.318000e+02 1.768000e+03 1.420528e-02
1.800000e+01 1.356000e+02 1.797000e+03 1.462908e-02
2.000000e+01 1.429000e+02 1.849000e+03 1.557177e-02
2.250000e+01 1.516000e+02 1.908000e+03 1.670479e-02
2.500000e+01 1.598000e+02 1.959000e+03 1.781937e-02
2.750000e+01 1.676000e+02 2.004000e+03 1.888121e-02
3.000000e+01 1.750000e+02 2.045000e+03 2.001474e-02
3.250000e+01 1.822000e+02 2.082000e+03 2.105303e-02
3.500000e+01 1.890000e+02 2.115000e+03 2.199591e-02
3.750000e+01 1.957000e+02 2.145000e+03 2.301586e-02
4.000000e+01 2.021000e+02 2.173000e+03 2.405431e-02
4.500000e+01 2.144000e+02 2.222000e+03 2.589923e-02
5.000000e+01 2.260000e+02 2.263000e+03 2.786270e-02
5.500000e+01 2.370000e+02 2.298000e+03 2.970842e-02
6.000000e+01 2.475000e+02 2.329000e+03 3.148031e-02
6.500000e+01 2.576000e+02 2.356000e+03 3.332642e-02
7.000000e+01 2.674000e+02 2.379000e+03 3.507677e-02
8.000000e+01 2.858000e+02 2.417000e+03 3.858160e-02
9.000000e+01 3.032000e+02 2.445000e+03 4.198678e-02
1.000000e+02 3.196000e+02 2.468000e+03 4.537499e-02
1.100000e+02 3.352000e+02 2.484000e+03 4.876361e-02
1.200000e+02 3.501000e+02 2.497000e+03 5.203585e-02
1.300000e+02 3.643000e+02 2.506000e+03 5.532865e-02
1.400000e+02 3.781000e+02 2.512000e+03 5.862158e-02
1.500000e+02 3.914000e+02 2.516000e+03 6.189483e-02
1.600000e+02 4.042000e+02 2.518000e+03 6.517154e-02
1.700000e+02 4.167000e+02 2.518000e+03 6.834866e-02
1.800000e+02 4.287000e+02 2.516000e+03 7.152601e-02
2.000000e+02 4.519000e+02 2.510000e+03 7.798090e-02
2.250000e+02 4.793000e+02 2.497000e+03 8.595941e-02
2.500000e+02 5.053000e+02 2.481000e+03 9.393881e-02
2.750000e+02 5.296000e+02 2.462000e+03 1.018219e-01
3.000000e+02 5.509000e+02 2.441000e+03 1.097842e-01
3.250000e+02 5.700000e+02 2.419000e+03 1.177653e-01
3.500000e+02 5.876000e+02 2.396000e+03 1.257136e-01
3.750000e+02 6.043000e+02 2.372000e+03 1.337750e-01
4.000000e+02 6.204000e+02 2.348000e+03 1.418219e-01
4.500000e+02 6.515000e+02 2.300000e+03 1.579323e-01
5.000000e+02 6.822000e+02 2.253000e+03 1.741417e-01
5.500000e+02 7.124000e+02 2.207000e+03 1.905474e-01
6.000000e+02 7.421000e+02 2.162000e+03 2.070208e-01
6.500000e+02 7.710000e+02 2.119000e+03 2.236076e-01
7.000000e+02 7.989000e+02 2.077000e+03 2.402791e-01
8.000000e+02 8.514000e+02 1.999000e+03 2.738349e-01
9.000000e+02 8.996000e+02 1.926000e+03 3.078382e-01
1.000000e+03 9.435000e+02 1.859000e+03 3.421392e-01
1.100000e+03 9.836000e+02 1.797000e+03 3.767206e-01
1.200000e+03 1.020000e+03 1.740000e+03 4.115864e-01
1.300000e+03 1.054000e+03 1.687000e+03 4.467220e-01
1.400000e+03 1.086000e+03 1.637000e+03 4.821682e-01
1.500000e+03 1.115000e+03 1.591000e+03 5.178974e-01
1.600000e+03 1.142000e+03 1.547000e+03 5.537994e-01
1.700000e+03 1.168000e+03 1.507000e+03 5.899979e-01
1.800000e+03 1.192000e+03 1.468000e+03 6.263834e-01
2.000000e+03 1.237000e+03 1.399000e+03 6.997653e-01
2.250000e+03 1.288000e+03 1.321000e+03 7.926134e-01
2.500000e+03 1.336000e+03 1.254000e+03 8.862965e-01
2.750000e+03 1.381000e+03 1.194000e+03 9.806433e-01
3.000000e+03 1.425000e+03 1.140000e+03 1.074843e+00
3.250000e+03 1.468000e+03 1.092000e+03 1.175529e+00
3.500000e+03 1.511000e+03 1.048000e+03 1.266300e+00
3.750000e+03 1.554000e+03 1.008000e+03 1.357043e+00
4.000000e+03 1.598000e+03 9.719000e+02 1.457615e+00
4.500000e+03 1.689000e+03 9.075000e+02 1.648885e+00
5.000000e+03 1.784000e+03 8.523000e+02 1.830101e+00
5.500000e+03 1.884000e+03 8.043000e+02 2.021066e+00
6.000000e+03 1.990000e+03 7.622000e+02 2.201958e+00
6.500000e+03 2.099000e+03 7.248000e+02 2.372821e+00
7.000000e+03 2.214000e+03 6.914000e+02 2.543545e+00
8.000000e+03 2.453000e+03 6.342000e+02 2.874888e+00
9.000000e+03 2.704000e+03 5.869000e+02 3.185912e+00
1.000000e+04 2.963000e+03 5.469000e+02 3.476690e+00
1.100000e+04 3.227000e+03 5.126000e+02 3.747306e+00
1.200000e+04 3.493000e+03 4.829000e+02 3.997796e+00
1.300000e+04 3.759000e+03 4.568000e+02 4.248070e+00
1.400000e+04 4.023000e+03 4.338000e+02 4.468361e+00
1.500000e+04 4.284000e+03 4.132000e+02 4.688494e+00
1.600000e+04 4.541000e+03 3.946000e+02 4.898572e+00
1.700000e+04 4.792000e+03 3.779000e+02 5.088672e+00
1.800000e+04 5.037000e+03 3.627000e+02 5.278678e+00
2.000000e+04 5.508000e+03 3.360000e+02 5.628765e+00
2.250000e+04 6.060000e+03 3.082000e+02 6.038743e+00
2.500000e+04 6.569000e+03 2.851000e+02 6.408663e+00
2.750000e+04 7.038000e+03 2.656000e+02 6.758489e+00
3.000000e+04 7.469000e+03 2.488000e+02 7.098230e+00
3.250000e+04 7.867000e+03 2.341000e+02 7.407998e+00
3.500000e+04 8.234000e+03 2.213000e+02 7.707734e+00
3.750000e+04 8.574000e+03 2.099000e+02 7.997464e+00
4.000000e+04 8.891000e+03 1.998000e+02 8.277180e+00
4.500000e+04 9.465000e+03 1.824000e+02 8.806802e+00
5.000000e+04 9.974000e+03 1.681000e+02 9.306400e+00
5.500000e+04 1.043000e+04 1.560000e+02 9.785993e+00
6.000000e+04 1.085000e+04 1.457000e+02 1.025556e+01
6.500000e+04 1.123000e+04 1.367000e+02 1.069518e+01
7.000000e+04 1.159000e+04 1.289000e+02 1.112480e+01
8.000000e+04 1.223000e+04 1.159000e+02 1.195436e+01
9.000000e+04 1.280000e+04 1.054000e+02 1.275389e+01
1.000000e+05 1.331000e+04 9.684000e+01 1.350347e+01
