# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 6.344000e+01 1.547000e+03 1.186634e-02
1.300000e+01 6.603000e+01 1.584000e+03 1.241088e-02
1.400000e+01 6.853000e+01 1.619000e+03 1.302344e-02
1.500000e+01 7.093000e+01 1.651000e+03 1.354179e-02
1.600000e+01 7.326000e+01 1.681000e+03 1.406023e-02
1.700000e+01 7.551000e+01 1.708000e+03 1.457875e-02
1.800000e+01 7.770000e+01 1.734000e+03 1.500267e-02
2.000000e+01 8.190000e+01 1.782000e+03 1.606518e-02
2.250000e+01 8.687000e+01 1.834000e+03 1.729191e-02
2.500000e+01 9.157000e+01 1.879000e+03 1.844912e-02
2.750000e+01 9.604000e+01 1.920000e+03 1.958162e-02
3.000000e+01 1.003000e+02 1.956000e+03 2.071449e-02
3.250000e+01 1.044000e+02 1.988000e+03 2.187167e-02
3.500000e+01 1.083000e+02 2.016000e+03 2.290960e-02
3.750000e+01 1.122000e+02 2.043000e+03 2.404288e-02
4.000000e+01 1.158000e+02 2.066000e+03 2.508107e-02
4.500000e+01 1.229000e+02 2.107000e+03 2.713872e-02
5.000000e+01 1.295000e+02 2.142000e+03 2.923867e-02
5.500000e+01 1.358000e+02 2.171000e+03 3.120128e-02
6.000000e+01 1.419000e+02 2.196000e+03 3.325553e-02
6.500000e+01 1.477000e+02 2.217000e+03 3.521860e-02
7.000000e+01 1.532000e+02 2.235000e+03 3.718185e-02
8.000000e+01 1.638000e+02 2.263000e+03 4.101292e-02
9.000000e+01 1.737000e+02 2.284000e+03 4.484027e-02
1.000000e+02 1.831000e+02 2.298000e+03 4.865008e-02
1.100000e+02 1.921000e+02 2.308000e+03 5.236430e-02
1.200000e+02 2.006000e+02 2.314000e+03 5.606122e-02
1.300000e+02 2.088000e+02 2.317000e+03 5.987220e-02
1.400000e+02 2.167000e+02 2.318000e+03 6.356634e-02
1.500000e+02 2.243000e+02 2.317000e+03 6.716807e-02
1.600000e+02 2.317000e+02 2.314000e+03 7.088343e-02
1.700000e+02 2.388000e+02 2.310000e+03 7.457842e-02
1.800000e+02 2.457000e+02 2.305000e+03 7.827707e-02
2.000000e+02 2.590000e+02 2.292000e+03 8.567158e-02
2.250000e+02 2.747000e+02 2.272000e+03 9.491480e-02
2.500000e+02 3.051000e+02 2.249000e+03 1.041425e-01
2.750000e+02 3.307000e+02 2.225000e+03 1.134677e-01
3.000000e+02 3.503000e+02 2.200000e+03 1.227130e-01
3.250000e+02 3.663000e+02 2.174000e+03 1.320205e-01
3.500000e+02 3.800000e+02 2.148000e+03 1.414258e-01
3.750000e+02 3.926000e+02 2.121000e+03 1.508506e-01
4.000000e+02 4.047000e+02 2.095000e+03 1.602571e-01
4.500000e+02 4.284000e+02 2.044000e+03 1.794604e-01
5.000000e+02 4.525000e+02 1.995000e+03 1.987810e-01
5.500000e+02 4.771000e+02 1.948000e+03 2.183769e-01
6.000000e+02 5.022000e+02 1.902000e+03 2.381692e-01
6.500000e+02 5.273000e+02 1.859000e+03 2.581257e-01
7.000000e+02 5.523000e+02 1.818000e+03 2.782937e-01
8.000000e+02 6.015000e+02 1.741000e+03 3.189433e-01
9.000000e+02 6.489000e+02 1.671000e+03 3.601497e-01
1.000000e+03 6.943000e+02 1.607000e+03 4.017353e-01
1.100000e+03 7.378000e+02 1.549000e+03 4.437003e-01
1.200000e+03 7.794000e+02 1.495000e+03 4.859179e-01
1.300000e+03 8.195000e+02 1.446000e+03 5.283339e-01
1.400000e+03 8.581000e+02 1.400000e+03 5.710191e-01
1.500000e+03 8.955000e+02 1.357000e+03 6.137782e-01
