# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 5.808000e+01 1.629000e+03 1.201041e-02
1.300000e+01 6.045000e+01 1.673000e+03 1.252917e-02
1.400000e+01 6.274000e+01 1.713000e+03 1.304799e-02
1.500000e+01 6.494000e+01 1.750000e+03 1.359154e-02
1.600000e+01 6.707000e+01 1.786000e+03 1.409149e-02
1.700000e+01 6.913000e+01 1.819000e+03 1.461027e-02
1.800000e+01 7.114000e+01 1.850000e+03 1.503396e-02
2.000000e+01 7.498000e+01 1.907000e+03 1.607171e-02
2.250000e+01 7.953000e+01 1.971000e+03 1.720494e-02
2.500000e+01 8.384000e+01 2.027000e+03 1.824308e-02
2.750000e+01 8.793000e+01 2.077000e+03 1.935846e-02
3.000000e+01 9.184000e+01 2.123000e+03 2.039681e-02
3.250000e+01 9.559000e+01 2.164000e+03 2.143525e-02
3.500000e+01 9.920000e+01 2.201000e+03 2.247376e-02
3.750000e+01 1.027000e+02 2.235000e+03 2.349425e-02
4.000000e+01 1.060000e+02 2.267000e+03 2.443706e-02
4.500000e+01 1.125000e+02 2.323000e+03 2.640057e-02
5.000000e+01 1.186000e+02 2.371000e+03 2.824624e-02
5.500000e+01 1.243000e+02 2.412000e+03 3.011412e-02
6.000000e+01 1.299000e+02 2.448000e+03 3.196029e-02
6.500000e+01 1.352000e+02 2.480000e+03 3.380680e-02
7.000000e+01 1.403000e+02 2.508000e+03 3.555742e-02
8.000000e+01 1.500000e+02 2.555000e+03 3.906264e-02
9.000000e+01 1.591000e+02 2.593000e+03 4.246811e-02
1.000000e+02 1.677000e+02 2.622000e+03 4.585673e-02
1.100000e+02 1.759000e+02 2.646000e+03 4.924571e-02
1.200000e+02 1.837000e+02 2.665000e+03 5.251838e-02
1.300000e+02 1.912000e+02 2.679000e+03 5.581138e-02
1.400000e+02 1.984000e+02 2.691000e+03 5.910448e-02
1.500000e+02 2.054000e+02 2.700000e+03 6.237804e-02
1.600000e+02 2.121000e+02 2.706000e+03 6.565501e-02
1.700000e+02 2.186000e+02 2.710000e+03 6.883233e-02
1.800000e+02 2.250000e+02 2.713000e+03 7.210666e-02
2.000000e+02 2.371000e+02 2.714000e+03 7.846509e-02
2.250000e+02 2.515000e+02 2.709000e+03 8.654097e-02
2.500000e+02 2.651000e+02 2.700000e+03 9.455506e-02
2.750000e+02 2.781000e+02 2.686000e+03 1.025168e-01
3.000000e+02 3.051000e+02 2.670000e+03 1.105947e-01
3.250000e+02 3.292000e+02 2.653000e+03 1.185759e-01
3.500000e+02 3.495000e+02 2.633000e+03 1.265243e-01
3.750000e+02 3.668000e+02 2.613000e+03 1.344885e-01
4.000000e+02 3.819000e+02 2.592000e+03 1.425681e-01
4.500000e+02 4.074000e+02 2.549000e+03 1.586781e-01
5.000000e+02 4.293000e+02 2.505000e+03 1.749043e-01
5.500000e+02 4.492000e+02 2.461000e+03 1.913094e-01
6.000000e+02 4.683000e+02 2.418000e+03 2.078133e-01
6.500000e+02 4.868000e+02 2.376000e+03 2.244968e-01
7.000000e+02 5.052000e+02 2.335000e+03 2.412957e-01
8.000000e+02 5.415000e+02 2.256000e+03 2.753843e-01
9.000000e+02 5.776000e+02 2.183000e+03 3.100605e-01
1.000000e+03 6.137000e+02 2.114000e+03 3.452150e-01
1.100000e+03 6.496000e+02 2.050000e+03 3.807487e-01
1.200000e+03 6.854000e+02 1.989000e+03 4.166902e-01
1.300000e+03 7.210000e+02 1.933000e+03 4.528850e-01
1.400000e+03 7.563000e+02 1.881000e+03 4.894897e-01
1.500000e+03 7.914000e+02 1.831000e+03 5.262768e-01
1.600000e+03 8.262000e+02 1.785000e+03 5.632499e-01
1.700000e+03 8.607000e+02 1.741000e+03 6.004074e-01
1.800000e+03 8.949000e+02 1.699000e+03 6.376517e-01
2.000000e+03 9.623000e+02 1.623000e+03 7.126653e-01
2.250000e+03 1.045000e+03 1.538000e+03 8.066334e-01
2.500000e+03 1.126000e+03 1.464000e+03 9.005338e-01
2.750000e+03 1.205000e+03 1.397000e+03 9.942583e-01
3.000000e+03 1.282000e+03 1.337000e+03 1.086145e+00
3.250000e+03 1.358000e+03 1.283000e+03 1.176982e+00
3.500000e+03 1.433000e+03 1.233000e+03 1.267744e+00
3.750000e+03 1.506000e+03 1.188000e+03 1.358445e+00
4.000000e+03 1.579000e+03 1.147000e+03 1.449085e+00
4.500000e+03 1.721000e+03 1.074000e+03 1.630300e+00
5.000000e+03 1.861000e+03 1.011000e+03 1.801414e+00
5.500000e+03 1.998000e+03 9.555000e+02 1.972336e+00
6.000000e+03 2.133000e+03 9.069000e+02 2.133195e+00
6.500000e+03 2.267000e+03 8.638000e+02 2.293890e+00
7.000000e+03 2.399000e+03 8.251000e+02 2.444556e+00
8.000000e+03 2.659000e+03 7.585000e+02 2.745675e+00
9.000000e+03 2.914000e+03 7.032000e+02 3.026553e+00
1.000000e+04 3.165000e+03 6.563000e+02 3.287262e+00
1.100000e+04 3.411000e+03 6.161000e+02 3.537763e+00
1.200000e+04 3.652000e+03 5.811000e+02 3.778137e+00
1.300000e+04 3.888000e+03 5.503000e+02 4.008389e+00
1.400000e+04 4.118000e+03 5.230000e+02 4.228571e+00
1.500000e+04 4.342000e+03 4.986000e+02 4.438701e+00
1.600000e+04 4.560000e+03 4.767000e+02 4.638801e+00
1.700000e+04 4.772000e+03 4.568000e+02 4.828860e+00
1.800000e+04 4.978000e+03 4.387000e+02 5.008912e+00
2.000000e+04 5.370000e+03 4.069000e+02 5.368946e+00
2.250000e+04 5.827000e+03 3.737000e+02 5.778988e+00
2.500000e+04 6.247000e+03 3.461000e+02 6.168895e+00
2.750000e+04 6.633000e+03 3.227000e+02 6.538726e+00
