# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 6.268000e+01 4.282000e+02 2.282696e-02
1.300000e+01 6.524000e+01 4.264000e+02 2.448796e-02
1.400000e+01 6.771000e+01 4.243000e+02 2.614938e-02
1.500000e+01 7.008000e+01 4.220000e+02 2.781115e-02
1.600000e+01 7.238000e+01 4.195000e+02 2.947321e-02
1.700000e+01 7.461000e+01 4.169000e+02 3.113551e-02
1.800000e+01 7.677000e+01 4.142000e+02 3.288617e-02
2.000000e+01 8.092000e+01 4.086000e+02 3.621188e-02
2.250000e+01 8.583000e+01 4.013000e+02 4.050259e-02
2.500000e+01 9.048000e+01 3.940000e+02 4.484574e-02
2.750000e+01 9.489000e+01 3.868000e+02 4.913878e-02
3.000000e+01 9.911000e+01 3.798000e+02 5.361101e-02
3.250000e+01 1.032000e+02 3.729000e+02 5.795809e-02
3.500000e+01 1.071000e+02 3.662000e+02 6.252192e-02
3.750000e+01 1.108000e+02 3.597000e+02 6.698574e-02
4.000000e+01 1.144000e+02 3.534000e+02 7.151538e-02
4.500000e+01 1.214000e+02 3.416000e+02 8.070322e-02
5.000000e+01 1.328000e+02 3.305000e+02 9.006448e-02
5.500000e+01 1.481000e+02 3.202000e+02 9.930383e-02
6.000000e+01 1.601000e+02 3.106000e+02 1.083971e-01
6.500000e+01 1.695000e+02 3.016000e+02 1.175751e-01
7.000000e+01 1.771000e+02 2.933000e+02 1.268475e-01
8.000000e+01 1.887000e+02 2.780000e+02 1.454682e-01
9.000000e+01 1.976000e+02 2.645000e+02 1.643793e-01
1.000000e+02 2.054000e+02 2.525000e+02 1.834850e-01
1.100000e+02 2.126000e+02 2.417000e+02 2.029093e-01
1.200000e+02 2.197000e+02 2.319000e+02 2.224359e-01
1.300000e+02 2.269000e+02 2.231000e+02 2.422494e-01
1.400000e+02 2.343000e+02 2.150000e+02 2.621061e-01
1.500000e+02 2.418000e+02 2.075000e+02 2.820358e-01
1.600000e+02 2.496000e+02 2.007000e+02 3.019231e-01
1.700000e+02 2.576000e+02 1.943000e+02 3.218839e-01
1.800000e+02 2.658000e+02 1.884000e+02 3.417980e-01
2.000000e+02 2.827000e+02 1.778000e+02 3.813159e-01
2.250000e+02 3.049000e+02 1.664000e+02 4.299947e-01
2.500000e+02 3.279000e+02 1.565000e+02 4.776925e-01
2.750000e+02 3.516000e+02 1.479000e+02 5.241476e-01
3.000000e+02 3.758000e+02 1.403000e+02 5.693632e-01
3.250000e+02 4.004000e+02 1.336000e+02 6.131290e-01
3.500000e+02 4.252000e+02 1.276000e+02 6.556247e-01
3.750000e+02 4.501000e+02 1.222000e+02 6.966703e-01
4.000000e+02 4.751000e+02 1.173000e+02 7.365402e-01
4.500000e+02 5.253000e+02 1.087000e+02 8.124637e-01
5.000000e+02 5.752000e+02 1.014000e+02 8.838112e-01
5.500000e+02 6.247000e+02 9.516000e+01 9.510790e-01
6.000000e+02 6.737000e+02 8.973000e+01 1.014570e+00
6.500000e+02 7.220000e+02 8.496000e+01 1.074256e+00
7.000000e+02 7.696000e+02 8.073000e+01 1.134432e+00
8.000000e+02 8.625000e+02 7.355000e+01 1.234944e+00
9.000000e+02 9.522000e+02 6.767000e+01 1.334988e+00
1.000000e+03 1.039000e+03 6.276000e+01 1.424966e+00
1.100000e+03 1.122000e+03 5.858000e+01 1.514714e+00
1.200000e+03 1.203000e+03 5.498000e+01 1.594503e+00
1.300000e+03 1.280000e+03 5.184000e+01 1.664381e+00
1.400000e+03 1.355000e+03 4.907000e+01 1.734155e+00
1.500000e+03 1.428000e+03 4.662000e+01 1.803826e+00
1.600000e+03 1.498000e+03 4.442000e+01 1.863622e+00
1.700000e+03 1.565000e+03 4.244000e+01 1.933205e+00
1.800000e+03 1.631000e+03 4.065000e+01 1.992898e+00
2.000000e+03 1.755000e+03 3.752000e+01 2.102397e+00
2.250000e+03 1.899000e+03 3.429000e+01 2.231757e+00
2.500000e+03 2.032000e+03 3.161000e+01 2.351167e+00
2.750000e+03 2.154000e+03 2.936000e+01 2.470493e+00
3.000000e+03 2.266000e+03 2.743000e+01 2.579909e+00
3.250000e+03 2.370000e+03 2.576000e+01 2.689296e+00
3.500000e+03 2.465000e+03 2.430000e+01 2.788787e+00
3.750000e+03 2.552000e+03 2.301000e+01 2.888260e+00
4.000000e+03 2.633000e+03 2.186000e+01 2.977822e+00
4.500000e+03 2.773000e+03 1.990000e+01 3.156998e+00
5.000000e+03 2.891000e+03 1.829000e+01 3.336179e+00
5.500000e+03 2.989000e+03 1.693000e+01 3.505447e+00
6.000000e+03 3.071000e+03 1.578000e+01 3.664804e+00
6.500000e+03 3.138000e+03 1.479000e+01 3.824179e+00
7.000000e+03 3.194000e+03 1.392000e+01 3.983582e+00
8.000000e+03 3.279000e+03 1.248000e+01 4.282669e+00
9.000000e+03 3.336000e+03 1.133000e+01 4.581823e+00
1.000000e+04 3.374000e+03 1.038000e+01 4.881037e+00
1.100000e+04 3.397000e+03 9.595000e+00 5.170355e+00
1.200000e+04 3.411000e+03 8.925000e+00 5.459722e+00
1.300000e+04 3.417000e+03 8.348000e+00 5.759106e+00
1.400000e+04 3.416000e+03 7.847000e+00 6.048576e+00
1.500000e+04 3.412000e+03 7.406000e+00 6.338086e+00
1.600000e+04 3.404000e+03 7.015000e+00 6.627628e+00
1.700000e+04 3.393000e+03 6.666000e+00 6.927185e+00
1.800000e+04 3.380000e+03 6.352000e+00 7.216801e+00
2.000000e+04 3.350000e+03 5.811000e+00 7.806304e+00
2.250000e+04 3.308000e+03 5.259000e+00 8.555901e+00
2.500000e+04 3.263000e+03 4.808000e+00 9.315549e+00
2.750000e+04 3.216000e+03 4.433000e+00 1.008526e+01
3.000000e+04 3.169000e+03 4.115000e+00 1.086500e+01
3.250000e+04 3.122000e+03 3.843000e+00 1.166478e+01
3.500000e+04 3.076000e+03 3.606000e+00 1.246459e+01
3.750000e+04 3.031000e+03 3.398000e+00 1.328443e+01
4.000000e+04 2.987000e+03 3.215000e+00 1.411429e+01
4.500000e+04 2.901000e+03 2.904000e+00 1.580500e+01
5.000000e+04 2.827000e+03 2.651000e+00 1.755562e+01
5.500000e+04 2.750000e+03 2.441000e+00 1.934619e+01
6.000000e+04 2.663000e+03 2.263000e+00 2.119674e+01
6.500000e+04 2.586000e+03 2.111000e+00 2.309726e+01
7.000000e+04 2.513000e+03 1.979000e+00 2.505777e+01
8.000000e+04 2.380000e+03 1.761000e+00 2.915161e+01
9.000000e+04 2.262000e+03 1.589000e+00 3.343482e+01
1.000000e+05 2.155000e+03 1.449000e+00 3.796471e+01
