# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 7.285000e+01 3.863000e+02 2.422623e-02
1.300000e+01 7.583000e+01 3.840000e+02 2.597441e-02
1.400000e+01 7.869000e+01 3.815000e+02 2.772346e-02
1.500000e+01 8.145000e+01 3.788000e+02 2.953997e-02
1.600000e+01 8.412000e+01 3.760000e+02 3.128977e-02
1.700000e+01 8.671000e+01 3.731000e+02 3.312824e-02
1.800000e+01 8.922000e+01 3.702000e+02 3.494481e-02
2.000000e+01 9.405000e+01 3.643000e+02 3.853557e-02
2.250000e+01 9.976000e+01 3.568000e+02 4.315715e-02
2.500000e+01 1.052000e+02 3.495000e+02 4.774243e-02
2.750000e+01 1.103000e+02 3.423000e+02 5.230325e-02
3.000000e+01 1.152000e+02 3.353000e+02 5.701728e-02
3.250000e+01 1.199000e+02 3.286000e+02 6.178519e-02
3.500000e+01 1.244000e+02 3.221000e+02 6.652924e-02
3.750000e+01 1.288000e+02 3.159000e+02 7.129965e-02
4.000000e+01 1.330000e+02 3.099000e+02 7.612582e-02
4.500000e+01 1.411000e+02 2.987000e+02 8.582733e-02
5.000000e+01 1.547000e+02 2.883000e+02 9.557845e-02
5.500000e+01 1.668000e+02 2.787000e+02 1.052999e-01
6.000000e+01 1.765000e+02 2.698000e+02 1.150250e-01
6.500000e+01 1.844000e+02 2.615000e+02 1.246967e-01
7.000000e+01 1.910000e+02 2.538000e+02 1.345786e-01
8.000000e+01 2.021000e+02 2.400000e+02 1.542415e-01
9.000000e+01 2.117000e+02 2.278000e+02 1.742547e-01
1.000000e+02 2.207000e+02 2.169000e+02 1.944343e-01
1.100000e+02 2.296000e+02 2.073000e+02 2.147804e-01
1.200000e+02 2.384000e+02 1.986000e+02 2.351490e-01
1.300000e+02 2.473000e+02 1.907000e+02 2.555925e-01
1.400000e+02 2.562000e+02 1.835000e+02 2.759952e-01
1.500000e+02 2.652000e+02 1.769000e+02 2.963519e-01
1.600000e+02 2.743000e+02 1.709000e+02 3.166902e-01
1.700000e+02 2.834000e+02 1.653000e+02 3.368681e-01
1.800000e+02 2.926000e+02 1.601000e+02 3.569380e-01
2.000000e+02 3.112000e+02 1.509000e+02 3.966422e-01
2.250000e+02 3.348000e+02 1.409000e+02 4.453149e-01
2.500000e+02 3.585000e+02 1.323000e+02 4.927302e-01
2.750000e+02 3.823000e+02 1.249000e+02 5.387732e-01
3.000000e+02 4.061000e+02 1.184000e+02 5.834894e-01
3.250000e+02 4.299000e+02 1.126000e+02 6.268964e-01
3.500000e+02 4.537000e+02 1.074000e+02 6.688802e-01
3.750000e+02 4.773000e+02 1.027000e+02 7.097121e-01
4.000000e+02 5.009000e+02 9.853000e+01 7.492350e-01
4.500000e+02 5.476000e+02 9.118000e+01 8.249135e-01
5.000000e+02 5.937000e+02 8.498000e+01 8.963708e-01
5.500000e+02 6.392000e+02 7.966000e+01 9.638861e-01
6.000000e+02 6.840000e+02 7.505000e+01 1.028034e+00
6.500000e+02 7.281000e+02 7.100000e+01 1.091538e+00
7.000000e+02 7.715000e+02 6.742000e+01 1.151661e+00
8.000000e+02 8.562000e+02 6.135000e+01 1.252128e+00
9.000000e+02 9.381000e+02 5.639000e+01 1.352157e+00
1.000000e+03 1.017000e+03 5.224000e+01 1.451932e+00
1.100000e+03 1.094000e+03 4.873000e+01 1.541744e+00
1.200000e+03 1.168000e+03 4.570000e+01 1.621592e+00
1.300000e+03 1.240000e+03 4.307000e+01 1.701323e+00
1.400000e+03 1.310000e+03 4.075000e+01 1.771145e+00
1.500000e+03 1.377000e+03 3.869000e+01 1.840880e+00
1.600000e+03 1.442000e+03 3.685000e+01 1.910571e+00
1.700000e+03 1.505000e+03 3.519000e+01 1.970375e+00
1.800000e+03 1.566000e+03 3.369000e+01 2.039988e+00
2.000000e+03 1.683000e+03 3.108000e+01 2.149584e+00
2.250000e+03 1.818000e+03 2.838000e+01 2.288939e+00
2.500000e+03 1.942000e+03 2.615000e+01 2.418343e+00
2.750000e+03 2.056000e+03 2.427000e+01 2.537792e+00
3.000000e+03 2.160000e+03 2.267000e+01 2.657211e+00
3.250000e+03 2.255000e+03 2.128000e+01 2.766714e+00
3.500000e+03 2.342000e+03 2.006000e+01 2.876194e+00
3.750000e+03 2.422000e+03 1.899000e+01 2.975753e+00
4.000000e+03 2.494000e+03 1.804000e+01 3.075317e+00
4.500000e+03 2.618000e+03 1.641000e+01 3.264572e+00
5.000000e+03 2.720000e+03 1.507000e+01 3.453835e+00
5.500000e+03 2.803000e+03 1.395000e+01 3.633180e+00
6.000000e+03 2.870000e+03 1.300000e+01 3.802597e+00
6.500000e+03 2.924000e+03 1.218000e+01 3.981988e+00
7.000000e+03 2.967000e+03 1.146000e+01 4.141504e+00
8.000000e+03 3.028000e+03 1.027000e+01 4.480622e+00
9.000000e+03 3.065000e+03 9.315000e+00 4.799893e+00
1.000000e+04 3.085000e+03 8.536000e+00 5.129187e+00
1.100000e+04 3.094000e+03 7.884000e+00 5.448572e+00
1.200000e+04 3.094000e+03 7.332000e+00 5.768015e+00
1.300000e+04 3.088000e+03 6.856000e+00 6.087506e+00
1.400000e+04 3.078000e+03 6.443000e+00 6.407038e+00
1.500000e+04 3.065000e+03 6.079000e+00 6.736585e+00
1.600000e+04 3.049000e+03 5.758000e+00 7.066173e+00
1.700000e+04 3.032000e+03 5.470000e+00 7.385815e+00
1.800000e+04 3.013000e+03 5.212000e+00 7.715465e+00
2.000000e+04 2.973000e+03 4.766000e+00 8.385097e+00
2.250000e+04 2.922000e+03 4.312000e+00 9.234860e+00
2.500000e+04 2.871000e+03 3.941000e+00 1.009467e+01
2.750000e+04 2.820000e+03 3.633000e+00 1.096453e+01
3.000000e+04 2.770000e+03 3.372000e+00 1.186440e+01
3.250000e+04 2.722000e+03 3.148000e+00 1.277430e+01
3.500000e+04 2.675000e+03 2.953000e+00 1.369423e+01
3.750000e+04 2.629000e+03 2.783000e+00 1.463417e+01
