# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 7.061000e+01 1.424000e+03 1.196202e-02
1.300000e+01 7.349000e+01 1.454000e+03 1.250720e-02
1.400000e+01 7.626000e+01 1.482000e+03 1.311831e-02
1.500000e+01 7.894000e+01 1.507000e+03 1.366345e-02
1.600000e+01 8.153000e+01 1.530000e+03 1.427480e-02
1.700000e+01 8.404000e+01 1.552000e+03 1.479257e-02
1.800000e+01 8.647000e+01 1.572000e+03 1.535871e-02
2.000000e+01 9.115000e+01 1.608000e+03 1.648818e-02
2.250000e+01 9.668000e+01 1.647000e+03 1.773894e-02
2.500000e+01 1.019000e+02 1.681000e+03 1.901079e-02
2.750000e+01 1.069000e+02 1.710000e+03 2.035608e-02
3.000000e+01 1.116000e+02 1.735000e+03 2.148721e-02
3.250000e+01 1.162000e+02 1.757000e+03 2.273873e-02
3.500000e+01 1.206000e+02 1.777000e+03 2.401062e-02
3.750000e+01 1.248000e+02 1.794000e+03 2.514239e-02
4.000000e+01 1.289000e+02 1.810000e+03 2.639413e-02
4.500000e+01 1.367000e+02 1.835000e+03 2.868344e-02
5.000000e+01 1.441000e+02 1.856000e+03 3.097305e-02
5.500000e+01 1.512000e+02 1.872000e+03 3.326289e-02
6.000000e+01 1.579000e+02 1.885000e+03 3.555292e-02
6.500000e+01 1.643000e+02 1.895000e+03 3.781918e-02
7.000000e+01 1.705000e+02 1.902000e+03 4.001437e-02
8.000000e+01 1.823000e+02 1.912000e+03 4.445762e-02
9.000000e+01 1.934000e+02 1.916000e+03 4.882510e-02
1.000000e+02 2.038000e+02 1.916000e+03 5.326969e-02
1.100000e+02 2.138000e+02 1.913000e+03 5.761927e-02
1.200000e+02 2.233000e+02 1.908000e+03 6.194667e-02
1.300000e+02 2.324000e+02 1.901000e+03 6.629698e-02
1.400000e+02 2.412000e+02 1.892000e+03 7.074334e-02
1.500000e+02 2.496000e+02 1.883000e+03 7.507203e-02
1.600000e+02 2.578000e+02 1.872000e+03 7.949711e-02
1.700000e+02 2.658000e+02 1.861000e+03 8.384826e-02
1.800000e+02 2.735000e+02 1.849000e+03 8.827395e-02
2.000000e+02 2.878000e+02 1.825000e+03 9.713027e-02
2.250000e+02 3.054000e+02 1.794000e+03 1.082577e-01
2.500000e+02 3.228000e+02 1.762000e+03 1.194617e-01
2.750000e+02 3.400000e+02 1.731000e+03 1.308636e-01
3.000000e+02 3.568000e+02 1.700000e+03 1.422630e-01
3.250000e+02 3.735000e+02 1.670000e+03 1.537599e-01
3.500000e+02 3.901000e+02 1.640000e+03 1.653381e-01
3.750000e+02 4.065000e+02 1.612000e+03 1.770302e-01
4.000000e+02 4.228000e+02 1.584000e+03 1.888199e-01
4.500000e+02 4.549000e+02 1.532000e+03 2.125599e-01
5.000000e+02 4.863000e+02 1.483000e+03 2.364970e-01
5.500000e+02 5.168000e+02 1.437000e+03 2.608216e-01
6.000000e+02 5.464000e+02 1.394000e+03 2.852307e-01
6.500000e+02 5.751000e+02 1.355000e+03 3.098184e-01
7.000000e+02 6.031000e+02 1.317000e+03 3.346003e-01
8.000000e+02 6.569000e+02 1.249000e+03 3.845481e-01
9.000000e+02 7.084000e+02 1.189000e+03 4.349391e-01
1.000000e+03 7.580000e+02 1.136000e+03 4.854682e-01
1.100000e+03 8.059000e+02 1.087000e+03 5.361675e-01
1.200000e+03 8.523000e+02 1.044000e+03 5.868120e-01
1.300000e+03 8.975000e+02 1.004000e+03 6.375178e-01
1.400000e+03 9.416000e+02 9.674000e+02 6.879886e-01
1.500000e+03 9.847000e+02 9.341000e+02 7.383243e-01
1.600000e+03 1.027000e+03 9.033000e+02 7.884272e-01
1.700000e+03 1.068000e+03 8.749000e+02 8.382977e-01
1.800000e+03 1.109000e+03 8.484000e+02 8.878381e-01
2.000000e+03 1.188000e+03 8.008000e+02 9.858731e-01
2.250000e+03 1.284000e+03 7.494000e+02 1.109295e+00
2.500000e+03 1.377000e+03 7.051000e+02 1.220446e+00
2.750000e+03 1.467000e+03 6.665000e+02 1.341249e+00
3.000000e+03 1.556000e+03 6.325000e+02 1.452063e+00
3.250000e+03 1.642000e+03 6.023000e+02 1.562740e+00
3.500000e+03 1.727000e+03 5.752000e+02 1.673308e+00
3.750000e+03 1.811000e+03 5.508000e+02 1.773905e+00
4.000000e+03 1.894000e+03 5.287000e+02 1.874402e+00
4.500000e+03 2.057000e+03 4.900000e+02 2.075225e+00
5.000000e+03 2.218000e+03 4.573000e+02 2.255989e+00
5.500000e+03 2.376000e+03 4.291000e+02 2.436508e+00
6.000000e+03 2.532000e+03 4.047000e+02 2.606916e+00
6.500000e+03 2.687000e+03 3.832000e+02 2.777172e+00
7.000000e+03 2.839000e+03 3.641000e+02 2.927468e+00
8.000000e+03 3.140000e+03 3.318000e+02 3.227853e+00
9.000000e+03 3.434000e+03 3.053000e+02 3.498107e+00
1.000000e+04 3.720000e+03 2.832000e+02 3.758163e+00
1.100000e+04 3.998000e+03 2.643000e+02 3.998154e+00
1.200000e+04 4.266000e+03 2.481000e+02 4.218122e+00
1.300000e+04 4.525000e+03 2.339000e+02 4.428032e+00
1.400000e+04 4.774000e+03 2.215000e+02 4.637838e+00
1.500000e+04 5.012000e+03 2.104000e+02 4.827702e+00
1.600000e+04 5.240000e+03 2.005000e+02 5.017497e+00
1.700000e+04 5.458000e+03 1.916000e+02 5.197298e+00
1.800000e+04 5.667000e+03 1.835000e+02 5.367114e+00
2.000000e+04 6.055000e+03 1.694000e+02 5.696796e+00
2.250000e+04 6.491000e+03 1.548000e+02 6.086406e+00
2.500000e+04 6.879000e+03 1.427000e+02 6.446031e+00
2.750000e+04 7.225000e+03 1.325000e+02 6.795612e+00
3.000000e+04 7.535000e+03 1.238000e+02 7.125226e+00
3.250000e+04 7.816000e+03 1.163000e+02 7.444832e+00
3.500000e+04 8.071000e+03 1.097000e+02 7.754460e+00
3.750000e+04 8.305000e+03 1.039000e+02 8.054099e+00
4.000000e+04 8.520000e+03 9.869000e+01 8.343755e+00
4.500000e+04 8.903000e+03 8.984000e+01 8.913264e+00
5.000000e+04 9.237000e+03 8.256000e+01 9.452810e+00
5.500000e+04 9.531000e+03 7.646000e+01 9.982356e+00
6.000000e+04 9.794000e+03 7.126000e+01 1.049193e+01
6.500000e+04 1.003000e+04 6.678000e+01 1.099153e+01
7.000000e+04 1.025000e+04 6.287000e+01 1.148115e+01
8.000000e+04 1.062000e+04 5.636000e+01 1.243080e+01
9.000000e+04 1.095000e+04 5.116000e+01 1.335046e+01
1.000000e+05 1.123000e+04 4.689000e+01 1.425012e+01
