# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 1.434000e+02 1.664000e+03 1.144814e-02
1.300000e+01 1.492000e+02 1.709000e+03 1.187182e-02
1.400000e+01 1.548000e+02 1.751000e+03 1.239072e-02
1.500000e+01 1.603000e+02 1.791000e+03 1.290969e-02
1.600000e+01 1.655000e+02 1.828000e+03 1.331503e-02
1.700000e+01 1.706000e+02 1.862000e+03 1.383402e-02
1.800000e+01 1.756000e+02 1.895000e+03 1.425763e-02
2.000000e+01 1.851000e+02 1.955000e+03 1.518223e-02
2.250000e+01 1.963000e+02 2.022000e+03 1.622036e-02
2.500000e+01 2.069000e+02 2.082000e+03 1.725862e-02
2.750000e+01 2.170000e+02 2.135000e+03 1.829699e-02
3.000000e+01 2.267000e+02 2.183000e+03 1.919922e-02
3.250000e+01 2.359000e+02 2.227000e+03 2.014200e-02
3.500000e+01 2.448000e+02 2.266000e+03 2.106704e-02
3.750000e+01 2.534000e+02 2.303000e+03 2.200977e-02
4.000000e+01 2.617000e+02 2.337000e+03 2.291288e-02
4.500000e+01 2.776000e+02 2.397000e+03 2.468481e-02
5.000000e+01 2.926000e+02 2.448000e+03 2.643501e-02
5.500000e+01 3.069000e+02 2.493000e+03 2.818546e-02
6.000000e+01 3.206000e+02 2.533000e+03 2.982264e-02
6.500000e+01 3.337000e+02 2.568000e+03 3.138089e-02
7.000000e+01 3.463000e+02 2.598000e+03 3.299758e-02
8.000000e+01 3.702000e+02 2.651000e+03 3.619365e-02
9.000000e+01 3.926000e+02 2.692000e+03 3.927315e-02
1.000000e+02 4.139000e+02 2.726000e+03 4.223979e-02
1.100000e+02 4.341000e+02 2.754000e+03 4.522333e-02
1.200000e+02 4.534000e+02 2.776000e+03 4.819056e-02
1.300000e+02 4.719000e+02 2.794000e+03 5.115809e-02
1.400000e+02 4.897000e+02 2.808000e+03 5.402907e-02
1.500000e+02 5.069000e+02 2.819000e+03 5.688110e-02
1.600000e+02 5.235000e+02 2.828000e+03 5.965551e-02
1.700000e+02 5.396000e+02 2.835000e+03 6.250808e-02
1.800000e+02 5.553000e+02 2.840000e+03 6.528262e-02
2.000000e+02 5.853000e+02 2.844000e+03 7.089182e-02
2.250000e+02 6.208000e+02 2.844000e+03 7.773712e-02
2.500000e+02 6.544000e+02 2.838000e+03 8.459835e-02
2.750000e+02 6.863000e+02 2.827000e+03 9.142680e-02
3.000000e+02 6.409000e+02 2.814000e+03 9.825599e-02
3.250000e+02 5.907000e+02 2.798000e+03 1.052978e-01
3.500000e+02 5.728000e+02 2.781000e+03 1.123228e-01
3.750000e+02 5.767000e+02 2.762000e+03 1.194628e-01
4.000000e+02 5.947000e+02 2.743000e+03 1.267007e-01
4.500000e+02 6.540000e+02 2.702000e+03 1.409654e-01
5.000000e+02 7.250000e+02 2.660000e+03 1.552147e-01
5.500000e+02 7.957000e+02 2.617000e+03 1.693535e-01
6.000000e+02 8.608000e+02 2.575000e+03 1.833934e-01
6.500000e+02 9.181000e+02 2.533000e+03 1.973226e-01
7.000000e+02 9.673000e+02 2.492000e+03 2.112232e-01
8.000000e+02 1.043000e+03 2.413000e+03 2.391678e-01
9.000000e+02 1.094000e+03 2.339000e+03 2.671709e-01
1.000000e+03 1.127000e+03 2.269000e+03 2.954689e-01
1.100000e+03 1.148000e+03 2.203000e+03 3.241485e-01
1.200000e+03 1.161000e+03 2.141000e+03 3.533196e-01
1.300000e+03 1.170000e+03 2.083000e+03 3.828732e-01
1.400000e+03 1.176000e+03 2.028000e+03 4.129203e-01
1.500000e+03 1.181000e+03 1.977000e+03 4.433754e-01
1.600000e+03 1.187000e+03 1.929000e+03 4.743239e-01
1.700000e+03 1.193000e+03 1.883000e+03 5.057662e-01
1.800000e+03 1.201000e+03 1.840000e+03 5.374923e-01
2.000000e+03 1.221000e+03 1.760000e+03 6.021954e-01
2.250000e+03 1.256000e+03 1.670000e+03 6.847524e-01
2.500000e+03 1.303000e+03 1.591000e+03 7.684619e-01
2.750000e+03 1.358000e+03 1.521000e+03 8.530533e-01
3.000000e+03 1.422000e+03 1.457000e+03 9.378017e-01
3.250000e+03 1.492000e+03 1.399000e+03 1.023300e+00
3.500000e+03 1.567000e+03 1.347000e+03 1.104021e+00
3.750000e+03 1.645000e+03 1.298000e+03 1.194567e+00
4.000000e+03 1.727000e+03 1.254000e+03 1.275178e+00
4.500000e+03 1.893000e+03 1.175000e+03 1.436359e+00
5.000000e+03 2.061000e+03 1.107000e+03 1.587445e+00
5.500000e+03 2.227000e+03 1.048000e+03 1.748222e+00
6.000000e+03 2.389000e+03 9.956000e+02 1.889053e+00
6.500000e+03 2.544000e+03 9.488000e+02 2.029738e+00
7.000000e+03 2.694000e+03 9.069000e+02 2.170301e+00
8.000000e+03 2.973000e+03 8.347000e+02 2.441337e+00
9.000000e+03 3.227000e+03 7.746000e+02 2.692182e+00
1.000000e+04 3.459000e+03 7.236000e+02 2.932833e+00
1.100000e+04 3.673000e+03 6.797000e+02 3.163334e+00
1.200000e+04 3.872000e+03 6.414000e+02 3.383753e+00
1.300000e+04 4.059000e+03 6.078000e+02 3.604027e+00
1.400000e+04 4.236000e+03 5.779000e+02 3.814267e+00
1.500000e+04 4.407000e+03 5.512000e+02 4.014476e+00
1.600000e+04 4.572000e+03 5.271000e+02 4.204657e+00
1.700000e+04 4.733000e+03 5.053000e+02 4.404724e+00
1.800000e+04 4.890000e+03 4.855000e+02 4.584834e+00
2.000000e+04 5.198000e+03 4.506000e+02 4.945046e+00
2.250000e+04 5.574000e+03 4.142000e+02 5.375235e+00
2.500000e+04 5.942000e+03 3.837000e+02 5.775338e+00
2.750000e+04 6.304000e+03 3.579000e+02 6.155351e+00
3.000000e+04 6.658000e+03 3.357000e+02 6.525274e+00
3.250000e+04 7.004000e+03 3.163000e+02 6.875168e+00
3.500000e+04 7.341000e+03 2.993000e+02 7.205057e+00
3.750000e+04 7.668000e+03 2.842000e+02 7.524912e+00
4.000000e+04 7.985000e+03 2.707000e+02 7.824784e+00
4.500000e+04 8.590000e+03 2.475000e+02 8.414625e+00
5.000000e+04 9.154000e+03 2.283000e+02 8.954448e+00
5.500000e+04 9.680000e+03 2.121000e+02 9.474206e+00
6.000000e+04 1.017000e+04 1.983000e+02 9.963959e+00
6.500000e+04 1.063000e+04 1.863000e+02 1.043370e+01
7.000000e+04 1.106000e+04 1.758000e+02 1.089342e+01
8.000000e+04 1.183000e+04 1.582000e+02 1.175320e+01
9.000000e+04 1.252000e+04 1.441000e+02 1.256293e+01
1.000000e+05 1.312000e+04 1.325000e+02 1.333264e+01
