# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 7.905000e+01 3.269000e+02 2.650491e-02
1.300000e+01 8.228000e+01 3.241000e+02 2.849368e-02
1.400000e+01 8.539000e+01 3.212000e+02 3.048327e-02
1.500000e+01 8.838000e+01 3.182000e+02 3.251369e-02
1.600000e+01 9.128000e+01 3.151000e+02 3.450420e-02
1.700000e+01 9.409000e+01 3.121000e+02 3.649521e-02
1.800000e+01 9.682000e+01 3.090000e+02 3.848662e-02
2.000000e+01 1.021000e+02 3.029000e+02 4.259742e-02
2.250000e+01 1.082000e+02 2.954000e+02 4.763371e-02
2.500000e+01 1.141000e+02 2.882000e+02 5.279905e-02
2.750000e+01 1.197000e+02 2.813000e+02 5.804326e-02
3.000000e+01 1.250000e+02 2.748000e+02 6.326302e-02
3.250000e+01 1.301000e+02 2.685000e+02 6.851066e-02
3.500000e+01 1.350000e+02 2.625000e+02 7.378631e-02
3.750000e+01 1.397000e+02 2.568000e+02 7.910032e-02
4.000000e+01 1.444000e+02 2.514000e+02 8.449503e-02
4.500000e+01 1.713000e+02 2.412000e+02 9.495820e-02
5.000000e+01 1.921000e+02 2.320000e+02 1.051417e-01
5.500000e+01 2.082000e+02 2.236000e+02 1.151475e-01
6.000000e+01 2.207000e+02 2.158000e+02 1.250433e-01
6.500000e+01 2.307000e+02 2.087000e+02 1.349111e-01
7.000000e+01 2.390000e+02 2.020000e+02 1.447268e-01
8.000000e+01 2.519000e+02 1.902000e+02 1.644081e-01
9.000000e+01 2.623000e+02 1.799000e+02 1.842977e-01
1.000000e+02 2.713000e+02 1.708000e+02 2.042431e-01
1.100000e+02 2.797000e+02 1.628000e+02 2.243078e-01
1.200000e+02 2.879000e+02 1.556000e+02 2.444572e-01
1.300000e+02 2.960000e+02 1.491000e+02 2.645368e-01
1.400000e+02 3.043000e+02 1.432000e+02 2.847003e-01
1.500000e+02 3.129000e+02 1.378000e+02 3.047284e-01
1.600000e+02 3.217000e+02 1.329000e+02 3.246935e-01
1.700000e+02 3.307000e+02 1.284000e+02 3.445532e-01
1.800000e+02 3.401000e+02 1.242000e+02 3.642781e-01
2.000000e+02 3.595000e+02 1.167000e+02 4.030253e-01
2.250000e+02 3.851000e+02 1.087000e+02 4.502884e-01
2.500000e+02 4.117000e+02 1.019000e+02 4.959970e-01
2.750000e+02 4.391000e+02 9.597000e+01 5.400586e-01
3.000000e+02 4.671000e+02 9.080000e+01 5.825118e-01
3.250000e+02 4.954000e+02 8.623000e+01 6.233560e-01
3.500000e+02 5.239000e+02 8.216000e+01 6.626291e-01
3.750000e+02 5.524000e+02 7.850000e+01 7.005401e-01
4.000000e+02 5.808000e+02 7.520000e+01 7.369536e-01
