# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 1.056000e+02 2.273000e+02 3.144789e-02
1.300000e+01 1.099000e+02 2.241000e+02 3.389159e-02
1.400000e+01 1.141000e+02 2.210000e+02 3.624997e-02
1.500000e+01 1.181000e+02 2.178000e+02 3.868372e-02
1.600000e+01 1.219000e+02 2.148000e+02 4.112979e-02
1.700000e+01 1.257000e+02 2.118000e+02 4.344940e-02
1.800000e+01 1.293000e+02 2.088000e+02 4.585684e-02
2.000000e+01 1.363000e+02 2.032000e+02 5.071351e-02
2.250000e+01 1.446000e+02 1.965000e+02 5.670000e-02
2.500000e+01 1.524000e+02 1.903000e+02 6.281704e-02
2.750000e+01 1.599000e+02 1.845000e+02 6.877354e-02
3.000000e+01 1.670000e+02 1.791000e+02 7.485920e-02
3.250000e+01 1.744000e+02 1.740000e+02 8.084782e-02
3.500000e+01 1.833000e+02 1.693000e+02 8.690270e-02
3.750000e+01 1.912000e+02 1.648000e+02 9.286269e-02
4.000000e+01 1.984000e+02 1.606000e+02 9.877095e-02
4.500000e+01 2.107000e+02 1.530000e+02 1.105812e-01
5.000000e+01 2.213000e+02 1.461000e+02 1.222514e-01
5.500000e+01 2.306000e+02 1.400000e+02 1.339308e-01
6.000000e+01 2.391000e+02 1.344000e+02 1.455283e-01
6.500000e+01 2.471000e+02 1.293000e+02 1.571686e-01
7.000000e+01 2.547000e+02 1.247000e+02 1.686388e-01
8.000000e+01 2.690000e+02 1.165000e+02 1.916892e-01
9.000000e+01 2.823000e+02 1.095000e+02 2.144209e-01
1.000000e+02 2.949000e+02 1.034000e+02 2.369795e-01
1.100000e+02 3.069000e+02 9.800000e+01 2.592635e-01
1.200000e+02 3.185000e+02 9.326000e+01 2.812846e-01
1.300000e+02 3.297000e+02 8.902000e+01 3.030356e-01
1.400000e+02 3.407000e+02 8.521000e+01 3.244485e-01
1.500000e+02 3.515000e+02 8.176000e+01 3.456409e-01
1.600000e+02 3.622000e+02 7.862000e+01 3.665426e-01
1.700000e+02 3.727000e+02 7.574000e+01 3.870570e-01
1.800000e+02 3.832000e+02 7.310000e+01 4.073981e-01
2.000000e+02 4.040000e+02 6.840000e+01 4.470549e-01
2.250000e+02 4.298000e+02 6.342000e+01 4.950367e-01
2.500000e+02 4.556000e+02 5.921000e+01 5.411763e-01
2.750000e+02 4.813000e+02 5.558000e+01 5.857032e-01
3.000000e+02 5.070000e+02 5.243000e+01 6.284794e-01
3.250000e+02 5.326000e+02 4.966000e+01 6.697701e-01
3.500000e+02 5.582000e+02 4.720000e+01 7.094957e-01
3.750000e+02 5.836000e+02 4.500000e+01 7.478480e-01
4.000000e+02 6.090000e+02 4.302000e+01 7.849118e-01
4.500000e+02 6.594000e+02 3.960000e+01 8.553954e-01
5.000000e+02 7.092000e+02 3.674000e+01 9.215989e-01
5.500000e+02 7.581000e+02 3.430000e+01 9.840135e-01
6.000000e+02 8.061000e+02 3.220000e+01 1.043770e+00
6.500000e+02 8.532000e+02 3.037000e+01 1.103617e+00
7.000000e+02 8.992000e+02 2.876000e+01 1.153598e+00
8.000000e+02 9.878000e+02 2.604000e+01 1.253388e+00
9.000000e+02 1.072000e+03 2.384000e+01 1.343177e+00
1.000000e+03 1.151000e+03 2.201000e+01 1.432816e+00
1.100000e+03 1.225000e+03 2.046000e+01 1.512523e+00
1.200000e+03 1.295000e+03 1.914000e+01 1.592182e+00
1.300000e+03 1.361000e+03 1.800000e+01 1.661927e+00
1.400000e+03 1.422000e+03 1.699000e+01 1.731624e+00
1.500000e+03 1.480000e+03 1.610000e+01 1.801296e+00
1.600000e+03 1.533000e+03 1.531000e+01 1.861078e+00
1.700000e+03 1.583000e+03 1.460000e+01 1.920826e+00
1.800000e+03 1.630000e+03 1.396000e+01 1.980574e+00
2.000000e+03 1.713000e+03 1.284000e+01 2.100074e+00
2.250000e+03 1.802000e+03 1.169000e+01 2.239530e+00
2.500000e+03 1.875000e+03 1.074000e+01 2.378970e+00
2.750000e+03 1.936000e+03 9.952000e+00 2.508502e+00
3.000000e+03 1.985000e+03 9.276000e+00 2.628113e+00
3.250000e+03 2.025000e+03 8.694000e+00 2.757658e+00
3.500000e+03 2.056000e+03 8.185000e+00 2.877276e+00
3.750000e+03 2.081000e+03 7.737000e+00 2.996905e+00
4.000000e+03 2.101000e+03 7.339000e+00 3.116551e+00
4.500000e+03 2.126000e+03 6.662000e+00 3.346014e+00
5.000000e+03 2.139000e+03 6.108000e+00 3.575516e+00
5.500000e+03 2.142000e+03 5.644000e+00 3.815021e+00
6.000000e+03 2.139000e+03 5.251000e+00 4.044604e+00
6.500000e+03 2.132000e+03 4.912000e+00 4.274220e+00
7.000000e+03 2.123000e+03 4.618000e+00 4.503875e+00
8.000000e+03 2.098000e+03 4.129000e+00 4.983434e+00
9.000000e+03 2.069000e+03 3.739000e+00 5.463065e+00
1.000000e+04 2.039000e+03 3.421000e+00 5.942770e+00
1.100000e+04 2.008000e+03 3.156000e+00 6.432503e+00
1.200000e+04 1.978000e+03 2.931000e+00 6.932270e+00
1.300000e+04 1.949000e+03 2.738000e+00 7.442060e+00
1.400000e+04 1.921000e+03 2.571000e+00 7.961877e+00
1.500000e+04 1.893000e+03 2.424000e+00 8.481729e+00
1.600000e+04 1.867000e+03 2.294000e+00 9.011598e+00
1.700000e+04 1.842000e+03 2.177000e+00 9.551480e+00
1.800000e+04 1.817000e+03 2.073000e+00 1.010138e+01
2.000000e+04 1.771000e+03 1.894000e+00 1.121178e+01
2.250000e+04 1.717000e+03 1.711000e+00 1.264255e+01
2.500000e+04 1.666000e+03 1.562000e+00 1.412324e+01
2.750000e+04 1.619000e+03 1.438000e+00 1.564387e+01
3.000000e+04 1.575000e+03 1.334000e+00 1.720445e+01
3.250000e+04 1.535000e+03 1.244000e+00 1.881499e+01
3.500000e+04 1.500000e+03 1.166000e+00 2.045551e+01
3.750000e+04 1.459000e+03 1.098000e+00 2.214599e+01
4.000000e+04 1.418000e+03 1.038000e+00 2.388647e+01
4.500000e+04 1.347000e+03 9.366000e-01 2.749977e+01
5.000000e+04 1.282000e+03 8.541000e-01 3.128460e+01
5.500000e+04 1.224000e+03 7.855000e-01 3.527464e+01
6.000000e+04 1.170000e+03 7.277000e-01 3.945470e+01
6.500000e+04 1.121000e+03 6.782000e-01 4.381479e+01
7.000000e+04 1.076000e+03 6.353000e-01 4.836489e+01
8.000000e+04 9.957000e+02 5.647000e-01 5.802514e+01
9.000000e+04 9.266000e+02 5.088000e-01 6.843545e+01
1.000000e+05 8.664000e+02 4.635000e-01 7.958579e+01
