# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 9.812000e+01 5.836000e+02 1.820275e-02
1.300000e+01 1.021000e+02 5.844000e+02 1.940979e-02
1.400000e+01 1.060000e+02 5.845000e+02 2.070628e-02
1.500000e+01 1.097000e+02 5.842000e+02 2.191369e-02
1.600000e+01 1.133000e+02 5.834000e+02 2.312120e-02
1.700000e+01 1.168000e+02 5.824000e+02 2.432879e-02
1.800000e+01 1.202000e+02 5.810000e+02 2.551039e-02
2.000000e+01 1.267000e+02 5.776000e+02 2.792597e-02
2.250000e+01 1.344000e+02 5.725000e+02 3.097790e-02
2.500000e+01 1.416000e+02 5.667000e+02 3.397028e-02
2.750000e+01 1.485000e+02 5.605000e+02 3.698892e-02
3.000000e+01 1.551000e+02 5.541000e+02 4.010848e-02
3.250000e+01 1.615000e+02 5.475000e+02 4.312830e-02
3.500000e+01 1.676000e+02 5.408000e+02 4.612440e-02
3.750000e+01 1.735000e+02 5.342000e+02 4.923627e-02
4.000000e+01 1.791000e+02 5.276000e+02 5.232485e-02
4.500000e+01 1.900000e+02 5.147000e+02 5.852743e-02
5.000000e+01 2.003000e+02 5.023000e+02 6.469930e-02
5.500000e+01 2.101000e+02 4.903000e+02 7.097387e-02
6.000000e+01 2.194000e+02 4.789000e+02 7.733324e-02
6.500000e+01 2.302000e+02 4.679000e+02 8.366325e-02
7.000000e+01 2.423000e+02 4.575000e+02 8.991107e-02
8.000000e+01 2.657000e+02 4.382000e+02 1.026498e-01
9.000000e+01 2.872000e+02 4.206000e+02 1.152714e-01
1.000000e+02 3.065000e+02 4.045000e+02 1.278397e-01
1.100000e+02 3.240000e+02 3.898000e+02 1.404851e-01
1.200000e+02 3.399000e+02 3.763000e+02 1.531071e-01
1.300000e+02 3.546000e+02 3.638000e+02 1.657060e-01
1.400000e+02 3.683000e+02 3.523000e+02 1.782822e-01
1.500000e+02 3.810000e+02 3.416000e+02 1.908153e-01
1.600000e+02 3.930000e+02 3.317000e+02 2.034471e-01
1.700000e+02 4.044000e+02 3.224000e+02 2.159423e-01
1.800000e+02 4.153000e+02 3.137000e+02 2.284615e-01
2.000000e+02 4.357000e+02 2.979000e+02 2.536091e-01
2.250000e+02 4.597000e+02 2.806000e+02 2.847913e-01
2.500000e+02 4.827000e+02 2.655000e+02 3.157633e-01
2.750000e+02 5.050000e+02 2.522000e+02 3.464970e-01
3.000000e+02 5.272000e+02 2.403000e+02 3.769503e-01
3.250000e+02 5.492000e+02 2.297000e+02 4.070689e-01
3.500000e+02 5.713000e+02 2.202000e+02 4.368310e-01
3.750000e+02 5.935000e+02 2.115000e+02 4.661434e-01
4.000000e+02 6.158000e+02 2.035000e+02 4.949098e-01
4.500000e+02 6.607000e+02 1.896000e+02 5.512620e-01
5.000000e+02 7.061000e+02 1.777000e+02 6.056917e-01
5.500000e+02 7.516000e+02 1.674000e+02 6.581984e-01
6.000000e+02 7.972000e+02 1.584000e+02 7.087983e-01
6.500000e+02 8.427000e+02 1.504000e+02 7.576219e-01
7.000000e+02 8.879000e+02 1.433000e+02 8.046840e-01
8.000000e+02 9.772000e+02 1.311000e+02 8.940831e-01
9.000000e+02 1.064000e+03 1.211000e+02 9.777788e-01
1.000000e+03 1.149000e+03 1.127000e+02 1.053020e+00
1.100000e+03 1.231000e+03 1.055000e+02 1.133080e+00
1.200000e+03 1.309000e+03 9.927000e+01 1.203194e+00
1.300000e+03 1.385000e+03 9.381000e+01 1.273192e+00
1.400000e+03 1.459000e+03 8.898000e+01 1.333256e+00
1.500000e+03 1.529000e+03 8.468000e+01 1.393262e+00
1.600000e+03 1.597000e+03 8.083000e+01 1.453202e+00
1.700000e+03 1.662000e+03 7.734000e+01 1.513078e+00
1.800000e+03 1.724000e+03 7.418000e+01 1.563076e+00
2.000000e+03 1.843000e+03 6.864000e+01 1.672834e+00
2.250000e+03 1.980000e+03 6.289000e+01 1.792657e+00
2.500000e+03 2.106000e+03 5.811000e+01 1.912346e+00
2.750000e+03 2.223000e+03 5.407000e+01 2.022070e+00
3.000000e+03 2.332000e+03 5.061000e+01 2.131741e+00
3.250000e+03 2.433000e+03 4.760000e+01 2.231464e+00
3.500000e+03 2.528000e+03 4.497000e+01 2.331164e+00
3.750000e+03 2.617000e+03 4.263000e+01 2.420929e+00
