# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 1.107000e+02 1.665000e+03 1.166319e-02
1.300000e+01 1.153000e+02 1.711000e+03 1.218195e-02
1.400000e+01 1.196000e+02 1.754000e+03 1.270079e-02
1.500000e+01 1.238000e+02 1.794000e+03 1.321968e-02
1.600000e+01 1.279000e+02 1.831000e+03 1.373863e-02
1.700000e+01 1.318000e+02 1.867000e+03 1.416227e-02
1.800000e+01 1.356000e+02 1.900000e+03 1.463967e-02
2.000000e+01 1.430000e+02 1.961000e+03 1.548677e-02
2.250000e+01 1.516000e+02 2.030000e+03 1.662077e-02
2.500000e+01 1.598000e+02 2.091000e+03 1.764143e-02
2.750000e+01 1.676000e+02 2.145000e+03 1.867994e-02
3.000000e+01 1.751000e+02 2.195000e+03 1.962269e-02
3.250000e+01 1.822000e+02 2.240000e+03 2.064364e-02
3.500000e+01 1.891000e+02 2.281000e+03 2.158634e-02
3.750000e+01 1.958000e+02 2.319000e+03 2.248955e-02
4.000000e+01 2.022000e+02 2.353000e+03 2.343224e-02
4.500000e+01 2.144000e+02 2.415000e+03 2.527865e-02
5.000000e+01 2.260000e+02 2.469000e+03 2.703331e-02
5.500000e+01 2.371000e+02 2.516000e+03 2.868763e-02
6.000000e+01 2.476000e+02 2.557000e+03 3.043830e-02
6.500000e+01 2.577000e+02 2.594000e+03 3.207585e-02
7.000000e+01 2.675000e+02 2.626000e+03 3.370979e-02
8.000000e+01 2.859000e+02 2.682000e+03 3.690596e-02
9.000000e+01 3.033000e+02 2.726000e+03 4.008217e-02
1.000000e+02 3.197000e+02 2.762000e+03 4.316550e-02
1.100000e+02 3.353000e+02 2.792000e+03 4.614900e-02
1.200000e+02 3.502000e+02 2.816000e+03 4.921301e-02
1.300000e+02 3.645000e+02 2.836000e+03 5.216138e-02
1.400000e+02 3.782000e+02 2.853000e+03 5.504861e-02
1.500000e+02 3.915000e+02 2.866000e+03 5.801664e-02
1.600000e+02 4.044000e+02 2.876000e+03 6.088793e-02
1.700000e+02 4.168000e+02 2.885000e+03 6.374057e-02
1.800000e+02 4.289000e+02 2.891000e+03 6.670907e-02
2.000000e+02 4.521000e+02 2.899000e+03 7.233685e-02
2.250000e+02 4.795000e+02 2.901000e+03 7.939181e-02
2.500000e+02 5.055000e+02 2.898000e+03 8.643200e-02
2.750000e+02 5.301000e+02 2.890000e+03 9.347032e-02
3.000000e+02 5.483000e+02 2.879000e+03 1.004144e-01
3.250000e+02 5.452000e+02 2.865000e+03 1.073416e-01
3.500000e+02 5.521000e+02 2.850000e+03 1.143838e-01
3.750000e+02 5.655000e+02 2.833000e+03 1.214093e-01
4.000000e+02 5.828000e+02 2.814000e+03 1.284353e-01
4.500000e+02 6.232000e+02 2.776000e+03 1.426026e-01
5.000000e+02 6.656000e+02 2.736000e+03 1.566568e-01
5.500000e+02 7.065000e+02 2.695000e+03 1.707954e-01
6.000000e+02 7.445000e+02 2.654000e+03 1.849191e-01
6.500000e+02 7.791000e+02 2.613000e+03 1.990577e-01
7.000000e+02 8.103000e+02 2.573000e+03 2.132812e-01
8.000000e+02 8.633000e+02 2.495000e+03 2.419262e-01
9.000000e+02 9.060000e+02 2.421000e+03 2.707565e-01
1.000000e+03 9.409000e+02 2.352000e+03 2.999643e-01
1.100000e+03 9.702000e+02 2.286000e+03 3.295541e-01
1.200000e+03 9.957000e+02 2.224000e+03 3.594536e-01
1.300000e+03 1.019000e+03 2.165000e+03 3.896370e-01
1.400000e+03 1.040000e+03 2.110000e+03 4.203119e-01
1.500000e+03 1.060000e+03 2.058000e+03 4.512713e-01
1.600000e+03 1.079000e+03 2.009000e+03 4.825263e-01
1.700000e+03 1.099000e+03 1.963000e+03 5.140919e-01
1.800000e+03 1.118000e+03 1.919000e+03 5.459286e-01
2.000000e+03 1.156000e+03 1.837000e+03 6.105434e-01
2.250000e+03 1.205000e+03 1.746000e+03 6.925060e-01
2.500000e+03 1.255000e+03 1.665000e+03 7.755346e-01
2.750000e+03 1.307000e+03 1.593000e+03 8.593228e-01
3.000000e+03 1.359000e+03 1.527000e+03 9.436736e-01
3.250000e+03 1.413000e+03 1.468000e+03 1.023654e+00
3.500000e+03 1.468000e+03 1.413000e+03 1.114265e+00
3.750000e+03 1.522000e+03 1.364000e+03 1.194966e+00
4.000000e+03 1.577000e+03 1.318000e+03 1.285516e+00
4.500000e+03 1.687000e+03 1.236000e+03 1.446854e+00
5.000000e+03 1.797000e+03 1.166000e+03 1.617920e+00
5.500000e+03 1.905000e+03 1.104000e+03 1.778959e+00
6.000000e+03 2.012000e+03 1.049000e+03 1.939870e+00
6.500000e+03 2.118000e+03 1.001000e+03 2.100678e+00
7.000000e+03 2.222000e+03 9.568000e+02 2.261366e+00
8.000000e+03 2.428000e+03 8.813000e+02 2.562830e+00
9.000000e+03 2.629000e+03 8.184000e+02 2.853994e+00
1.000000e+04 2.827000e+03 7.650000e+02 3.134944e+00
1.100000e+04 3.022000e+03 7.189000e+02 3.405702e+00
1.200000e+04 3.216000e+03 6.788000e+02 3.656392e+00
1.300000e+04 3.408000e+03 6.435000e+02 3.906890e+00
1.400000e+04 3.599000e+03 6.121000e+02 4.147306e+00
1.500000e+04 3.788000e+03 5.840000e+02 4.377651e+00
1.600000e+04 3.976000e+03 5.586000e+02 4.597939e+00
1.700000e+04 4.162000e+03 5.357000e+02 4.818132e+00
1.800000e+04 4.347000e+03 5.148000e+02 5.018339e+00
2.000000e+04 4.710000e+03 4.780000e+02 5.418693e+00
2.250000e+04 5.152000e+03 4.395000e+02 5.879034e+00
2.500000e+04 5.578000e+03 4.074000e+02 6.309202e+00
2.750000e+04 5.986000e+03 3.801000e+02 6.709267e+00
3.000000e+04 6.375000e+03 3.566000e+02 7.089247e+00
3.250000e+04 6.745000e+03 3.362000e+02 7.449166e+00
3.500000e+04 7.097000e+03 3.182000e+02 7.789049e+00
3.750000e+04 7.431000e+03 3.022000e+02 8.118898e+00
4.000000e+04 7.747000e+03 2.879000e+02 8.428751e+00
