# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 5.617000e+01 1.653000e+03 1.191554e-02
1.300000e+01 5.846000e+01 1.697000e+03 1.252917e-02
1.400000e+01 6.067000e+01 1.739000e+03 1.302920e-02
1.500000e+01 6.280000e+01 1.778000e+03 1.345288e-02
1.600000e+01 6.486000e+01 1.814000e+03 1.397176e-02
1.700000e+01 6.686000e+01 1.848000e+03 1.449069e-02
1.800000e+01 6.879000e+01 1.880000e+03 1.491442e-02
2.000000e+01 7.252000e+01 1.939000e+03 1.583856e-02
2.250000e+01 7.692000e+01 2.005000e+03 1.697204e-02
2.500000e+01 8.108000e+01 2.064000e+03 1.812926e-02
2.750000e+01 8.503000e+01 2.116000e+03 1.916742e-02
3.000000e+01 8.881000e+01 2.163000e+03 2.020569e-02
3.250000e+01 9.244000e+01 2.206000e+03 2.124406e-02
3.500000e+01 9.593000e+01 2.245000e+03 2.226432e-02
3.750000e+01 9.930000e+01 2.281000e+03 2.320711e-02
4.000000e+01 1.026000e+02 2.314000e+03 2.420516e-02
4.500000e+01 1.088000e+02 2.372000e+03 2.609080e-02
5.000000e+01 1.147000e+02 2.423000e+03 2.793654e-02
5.500000e+01 1.203000e+02 2.467000e+03 2.980436e-02
6.000000e+01 1.256000e+02 2.505000e+03 3.153696e-02
6.500000e+01 1.307000e+02 2.539000e+03 3.328738e-02
7.000000e+01 1.357000e+02 2.569000e+03 3.503798e-02
8.000000e+01 1.450000e+02 2.619000e+03 3.854322e-02
9.000000e+01 1.538000e+02 2.660000e+03 4.185236e-02
1.000000e+02 1.622000e+02 2.692000e+03 4.522046e-02
1.100000e+02 1.701000e+02 2.718000e+03 4.841663e-02
1.200000e+02 1.776000e+02 2.739000e+03 5.170938e-02
1.300000e+02 1.849000e+02 2.756000e+03 5.486912e-02
1.400000e+02 1.919000e+02 2.769000e+03 5.816227e-02
1.500000e+02 1.986000e+02 2.780000e+03 6.133922e-02
1.600000e+02 2.051000e+02 2.788000e+03 6.440334e-02
1.700000e+02 2.114000e+02 2.794000e+03 6.760007e-02
1.800000e+02 2.176000e+02 2.798000e+03 7.077754e-02
2.000000e+02 2.293000e+02 2.801000e+03 7.702000e-02
2.250000e+02 2.432000e+02 2.799000e+03 8.480507e-02
2.500000e+02 2.564000e+02 2.792000e+03 9.259071e-02
2.750000e+02 2.689000e+02 2.781000e+03 1.004399e-01
3.000000e+02 3.009000e+02 2.766000e+03 1.082266e-01
3.250000e+02 3.319000e+02 2.750000e+03 1.158983e-01
3.500000e+02 3.556000e+02 2.732000e+03 1.236523e-01
3.750000e+02 3.741000e+02 2.713000e+03 1.313248e-01
4.000000e+02 3.890000e+02 2.693000e+03 1.390797e-01
4.500000e+02 4.119000e+02 2.651000e+03 1.546707e-01
5.000000e+02 4.302000e+02 2.608000e+03 1.702952e-01
5.500000e+02 4.468000e+02 2.565000e+03 1.861814e-01
6.000000e+02 4.631000e+02 2.523000e+03 2.020833e-01
6.500000e+02 4.798000e+02 2.481000e+03 2.182646e-01
7.000000e+02 4.969000e+02 2.440000e+03 2.345446e-01
8.000000e+02 5.328000e+02 2.361000e+03 2.675283e-01
9.000000e+02 5.702000e+02 2.287000e+03 3.009875e-01
1.000000e+03 6.085000e+02 2.217000e+03 3.349093e-01
1.100000e+03 6.472000e+02 2.152000e+03 3.692391e-01
1.200000e+03 6.858000e+02 2.090000e+03 4.038500e-01
1.300000e+03 7.242000e+02 2.033000e+03 4.387424e-01
1.400000e+03 7.621000e+02 1.979000e+03 4.739315e-01
1.500000e+03 7.994000e+02 1.928000e+03 5.093044e-01
1.600000e+03 8.360000e+02 1.880000e+03 5.448487e-01
1.700000e+03 8.720000e+02 1.835000e+03 5.805064e-01
1.800000e+03 9.074000e+02 1.793000e+03 6.163357e-01
2.000000e+03 9.763000e+02 1.714000e+03 6.883079e-01
2.250000e+03 1.059000e+03 1.626000e+03 7.786453e-01
2.500000e+03 1.139000e+03 1.548000e+03 8.691239e-01
2.750000e+03 1.215000e+03 1.479000e+03 9.595233e-01
3.000000e+03 1.290000e+03 1.416000e+03 1.045746e+00
3.250000e+03 1.363000e+03 1.360000e+03 1.136507e+00
3.500000e+03 1.434000e+03 1.308000e+03 1.227232e+00
3.750000e+03 1.504000e+03 1.261000e+03 1.317897e+00
4.000000e+03 1.573000e+03 1.218000e+03 1.408513e+00
4.500000e+03 1.709000e+03 1.141000e+03 1.579810e+00
5.000000e+03 1.843000e+03 1.075000e+03 1.750908e+00
5.500000e+03 1.976000e+03 1.017000e+03 1.911931e+00
6.000000e+03 2.108000e+03 9.656000e+02 2.072794e+00
6.500000e+03 2.239000e+03 9.201000e+02 2.233502e+00
7.000000e+03 2.370000e+03 8.793000e+02 2.384183e+00
8.000000e+03 2.630000e+03 8.090000e+02 2.675446e+00
9.000000e+03 2.889000e+03 7.504000e+02 2.956364e+00
1.000000e+04 3.145000e+03 7.008000e+02 3.217097e+00
1.100000e+04 3.397000e+03 6.582000e+02 3.467640e+00
1.200000e+04 3.646000e+03 6.210000e+02 3.708036e+00
1.300000e+04 3.889000e+03 5.883000e+02 3.938320e+00
1.400000e+04 4.127000e+03 5.593000e+02 4.148592e+00
1.500000e+04 4.358000e+03 5.334000e+02 4.358726e+00
1.600000e+04 4.584000e+03 5.100000e+02 4.558823e+00
1.700000e+04 4.802000e+03 4.889000e+02 4.748903e+00
1.800000e+04 5.014000e+03 4.696000e+02 4.928961e+00
2.000000e+04 5.418000e+03 4.358000e+02 5.279064e+00
2.250000e+04 5.884000e+03 4.005000e+02 5.689105e+00
2.500000e+04 6.311000e+03 3.710000e+02 6.069049e+00
2.750000e+04 6.702000e+03 3.460000e+02 6.428925e+00
3.000000e+04 7.058000e+03 3.244000e+02 6.778719e+00
3.250000e+04 7.385000e+03 3.057000e+02 7.108508e+00
3.500000e+04 7.685000e+03 2.892000e+02 7.418300e+00
3.750000e+04 7.963000e+03 2.746000e+02 7.728052e+00
4.000000e+04 8.220000e+03 2.615000e+02 8.027789e+00
4.500000e+04 8.684000e+03 2.391000e+02 8.597478e+00
5.000000e+04 9.095000e+03 2.205000e+02 9.147116e+00
5.500000e+04 9.465000e+03 2.048000e+02 9.666771e+00
6.000000e+04 9.805000e+03 1.915000e+02 1.017640e+01
6.500000e+04 1.012000e+04 1.798000e+02 1.066604e+01
7.000000e+04 1.042000e+04 1.697000e+02 1.114568e+01
8.000000e+04 1.096000e+04 1.527000e+02 1.206535e+01
9.000000e+04 1.145000e+04 1.391000e+02 1.294498e+01
1.000000e+05 1.191000e+04 1.279000e+02 1.378463e+01
