# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 6.541000e+01 1.344000e+03 1.222702e-02
1.300000e+01 6.808000e+01 1.370000e+03 1.286585e-02
1.400000e+01 7.065000e+01 1.394000e+03 1.349815e-02
1.500000e+01 7.313000e+01 1.416000e+03 1.413683e-02
1.600000e+01 7.553000e+01 1.436000e+03 1.465401e-02
1.700000e+01 7.785000e+01 1.454000e+03 1.526499e-02
1.800000e+01 8.011000e+01 1.472000e+03 1.590377e-02
2.000000e+01 8.444000e+01 1.502000e+03 1.698794e-02
2.250000e+01 8.956000e+01 1.535000e+03 1.842553e-02
2.500000e+01 9.441000e+01 1.562000e+03 1.979116e-02
2.750000e+01 9.902000e+01 1.586000e+03 2.115703e-02
3.000000e+01 1.034000e+02 1.606000e+03 2.250200e-02
3.250000e+01 1.076000e+02 1.624000e+03 2.377394e-02
3.500000e+01 1.117000e+02 1.639000e+03 2.511932e-02
3.750000e+01 1.156000e+02 1.652000e+03 2.637063e-02
4.000000e+01 1.194000e+02 1.663000e+03 2.764254e-02
4.500000e+01 1.267000e+02 1.682000e+03 3.024004e-02
5.000000e+01 1.335000e+02 1.696000e+03 3.273836e-02
5.500000e+01 1.400000e+02 1.706000e+03 3.524202e-02
6.000000e+01 1.463000e+02 1.713000e+03 3.764612e-02
6.500000e+01 1.522000e+02 1.719000e+03 4.012555e-02
7.000000e+01 1.580000e+02 1.722000e+03 4.262980e-02
8.000000e+01 1.689000e+02 1.724000e+03 4.751463e-02
9.000000e+01 1.791000e+02 1.721000e+03 5.238101e-02
1.000000e+02 1.888000e+02 1.715000e+03 5.715287e-02
1.100000e+02 1.980000e+02 1.707000e+03 6.204394e-02
1.200000e+02 2.068000e+02 1.697000e+03 6.688894e-02
1.300000e+02 2.153000e+02 1.686000e+03 7.175765e-02
1.400000e+02 2.234000e+02 1.674000e+03 7.672236e-02
1.500000e+02 2.313000e+02 1.662000e+03 8.159173e-02
1.600000e+02 2.388000e+02 1.649000e+03 8.653912e-02
1.700000e+02 2.467000e+02 1.635000e+03 9.148262e-02
1.800000e+02 2.790000e+02 1.622000e+03 9.644869e-02
2.000000e+02 3.245000e+02 1.594000e+03 1.062459e-01
2.250000e+02 3.584000e+02 1.560000e+03 1.184101e-01
2.500000e+02 3.783000e+02 1.526000e+03 1.306504e-01
2.750000e+02 3.915000e+02 1.494000e+03 1.431060e-01
3.000000e+02 4.019000e+02 1.462000e+03 1.556215e-01
3.250000e+02 4.117000e+02 1.432000e+03 1.683482e-01
3.500000e+02 4.219000e+02 1.402000e+03 1.811765e-01
3.750000e+02 4.330000e+02 1.374000e+03 1.941954e-01
4.000000e+02 4.451000e+02 1.348000e+03 2.072960e-01
4.500000e+02 4.719000e+02 1.297000e+03 2.339199e-01
5.000000e+02 5.016000e+02 1.251000e+03 2.608224e-01
5.500000e+02 5.331000e+02 1.208000e+03 2.880159e-01
6.000000e+02 5.655000e+02 1.169000e+03 3.154514e-01
6.500000e+02 5.983000e+02 1.132000e+03 3.429062e-01
7.000000e+02 6.310000e+02 1.098000e+03 3.704281e-01
8.000000e+02 6.950000e+02 1.037000e+03 4.256578e-01
9.000000e+02 7.562000e+02 9.828000e+02 4.807969e-01
1.000000e+03 8.141000e+02 9.352000e+02 5.356866e-01
1.100000e+03 8.689000e+02 8.928000e+02 5.902965e-01
1.200000e+03 9.209000e+02 8.546000e+02 6.446445e-01
1.300000e+03 9.703000e+02 8.201000e+02 6.985500e-01
1.400000e+03 1.018000e+03 7.887000e+02 7.521113e-01
1.500000e+03 1.063000e+03 7.601000e+02 8.051341e-01
1.600000e+03 1.107000e+03 7.337000e+02 8.577996e-01
1.700000e+03 1.149000e+03 7.095000e+02 9.100388e-01
1.800000e+03 1.191000e+03 6.870000e+02 9.617400e-01
2.000000e+03 1.271000e+03 6.467000e+02 1.059375e+00
2.250000e+03 1.368000e+03 6.034000e+02 1.190331e+00
2.500000e+03 1.464000e+03 5.664000e+02 1.311251e+00
2.750000e+03 1.559000e+03 5.342000e+02 1.431977e+00
3.000000e+03 1.653000e+03 5.060000e+02 1.542699e+00
3.250000e+03 1.748000e+03 4.810000e+02 1.653275e+00
3.500000e+03 1.844000e+03 4.587000e+02 1.763735e+00
3.750000e+03 1.939000e+03 4.386000e+02 1.864200e+00
