# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 6.231000e+01 1.492000e+03 1.191344e-02
1.300000e+01 6.485000e+01 1.526000e+03 1.245833e-02
1.400000e+01 6.730000e+01 1.557000e+03 1.297613e-02
1.500000e+01 6.966000e+01 1.586000e+03 1.358823e-02
1.600000e+01 7.195000e+01 1.612000e+03 1.413294e-02
1.700000e+01 7.416000e+01 1.637000e+03 1.465094e-02
1.800000e+01 7.631000e+01 1.660000e+03 1.516905e-02
2.000000e+01 8.044000e+01 1.702000e+03 1.620555e-02
2.250000e+01 8.532000e+01 1.748000e+03 1.747741e-02
2.500000e+01 8.994000e+01 1.787000e+03 1.872885e-02
2.750000e+01 9.433000e+01 1.822000e+03 1.986051e-02
3.000000e+01 9.852000e+01 1.852000e+03 2.111232e-02
3.250000e+01 1.025000e+02 1.880000e+03 2.224455e-02
3.500000e+01 1.064000e+02 1.904000e+03 2.340171e-02
3.750000e+01 1.101000e+02 1.925000e+03 2.453426e-02
4.000000e+01 1.138000e+02 1.945000e+03 2.559648e-02
4.500000e+01 1.207000e+02 1.978000e+03 2.786216e-02
5.000000e+01 1.272000e+02 2.006000e+03 3.005728e-02
5.500000e+01 1.334000e+02 2.028000e+03 3.213347e-02
6.000000e+01 1.393000e+02 2.047000e+03 3.428615e-02
6.500000e+01 1.450000e+02 2.062000e+03 3.638612e-02
7.000000e+01 1.505000e+02 2.075000e+03 3.844399e-02
8.000000e+01 1.609000e+02 2.093000e+03 4.257922e-02
9.000000e+01 1.706000e+02 2.105000e+03 4.671509e-02
1.000000e+02 1.799000e+02 2.112000e+03 5.075569e-02
1.100000e+02 1.887000e+02 2.115000e+03 5.487422e-02
1.200000e+02 1.970000e+02 2.115000e+03 5.891536e-02
1.300000e+02 2.051000e+02 2.113000e+03 6.293878e-02
1.400000e+02 2.128000e+02 2.109000e+03 6.695864e-02
1.500000e+02 2.203000e+02 2.103000e+03 7.098260e-02
1.600000e+02 2.275000e+02 2.096000e+03 7.500680e-02
1.700000e+02 2.345000e+02 2.088000e+03 7.901000e-02
1.800000e+02 2.413000e+02 2.079000e+03 8.301361e-02
2.000000e+02 2.544000e+02 2.060000e+03 9.115597e-02
2.250000e+02 3.024000e+02 2.033000e+03 1.013427e-01
2.500000e+02 3.409000e+02 2.005000e+03 1.113170e-01
2.750000e+02 3.657000e+02 1.977000e+03 1.213686e-01
3.000000e+02 3.826000e+02 1.948000e+03 1.315214e-01
3.250000e+02 3.952000e+02 1.919000e+03 1.416716e-01
3.500000e+02 4.056000e+02 1.891000e+03 1.519033e-01
3.750000e+02 4.152000e+02 1.863000e+03 1.622488e-01
4.000000e+02 4.247000e+02 1.835000e+03 1.728078e-01
4.500000e+02 4.449000e+02 1.783000e+03 1.939708e-01
5.000000e+02 4.672000e+02 1.732000e+03 2.154462e-01
5.500000e+02 4.917000e+02 1.685000e+03 2.371967e-01
6.000000e+02 5.176000e+02 1.641000e+03 2.591258e-01
6.500000e+02 5.446000e+02 1.598000e+03 2.813818e-01
7.000000e+02 5.722000e+02 1.559000e+03 3.037042e-01
8.000000e+02 6.278000e+02 1.485000e+03 3.488391e-01
9.000000e+02 6.826000e+02 1.420000e+03 3.943389e-01
1.000000e+03 7.358000e+02 1.360000e+03 4.400043e-01
1.100000e+03 7.869000e+02 1.307000e+03 4.858264e-01
1.200000e+03 8.359000e+02 1.258000e+03 5.318158e-01
1.300000e+03 8.829000e+02 1.213000e+03 5.777676e-01
1.400000e+03 9.280000e+02 1.172000e+03 6.236788e-01
1.500000e+03 9.714000e+02 1.133000e+03 6.695821e-01
1.600000e+03 1.013000e+03 1.098000e+03 7.153478e-01
