# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 6.084000e+01 1.475000e+03 1.194069e-02
1.300000e+01 6.333000e+01 1.508000e+03 1.255229e-02
1.400000e+01 6.572000e+01 1.538000e+03 1.307020e-02
1.500000e+01 6.803000e+01 1.566000e+03 1.370912e-02
1.600000e+01 7.026000e+01 1.592000e+03 1.424781e-02
1.700000e+01 7.242000e+01 1.616000e+03 1.476584e-02
1.800000e+01 7.452000e+01 1.639000e+03 1.528398e-02
2.000000e+01 7.855000e+01 1.679000e+03 1.634656e-02
2.250000e+01 8.331000e+01 1.724000e+03 1.759773e-02
2.500000e+01 8.782000e+01 1.762000e+03 1.882339e-02
2.750000e+01 9.211000e+01 1.796000e+03 2.007511e-02
3.000000e+01 9.620000e+01 1.825000e+03 2.134690e-02
3.250000e+01 1.001000e+02 1.851000e+03 2.247888e-02
3.500000e+01 1.039000e+02 1.874000e+03 2.363599e-02
3.750000e+01 1.076000e+02 1.895000e+03 2.476833e-02
4.000000e+01 1.111000e+02 1.914000e+03 2.590097e-02
4.500000e+01 1.178000e+02 1.946000e+03 2.819096e-02
5.000000e+01 1.242000e+02 1.972000e+03 3.038602e-02
5.500000e+01 1.303000e+02 1.993000e+03 3.255733e-02
6.000000e+01 1.361000e+02 2.010000e+03 3.473341e-02
6.500000e+01 1.416000e+02 2.025000e+03 3.690528e-02
7.000000e+01 1.470000e+02 2.036000e+03 3.898205e-02
8.000000e+01 1.571000e+02 2.053000e+03 4.323552e-02
9.000000e+01 1.666000e+02 2.064000e+03 4.735261e-02
1.000000e+02 1.756000e+02 2.069000e+03 5.148883e-02
1.100000e+02 1.842000e+02 2.071000e+03 5.562544e-02
1.200000e+02 1.924000e+02 2.070000e+03 5.976236e-02
1.300000e+02 2.003000e+02 2.067000e+03 6.388161e-02
1.400000e+02 2.078000e+02 2.062000e+03 6.801904e-02
1.500000e+02 2.151000e+02 2.056000e+03 7.213896e-02
1.600000e+02 2.222000e+02 2.048000e+03 7.625923e-02
1.700000e+02 2.290000e+02 2.039000e+03 8.037593e-02
1.800000e+02 2.357000e+02 2.030000e+03 8.459291e-02
2.000000e+02 2.484000e+02 2.010000e+03 9.283135e-02
