# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 6.078000e+01 1.571000e+03 1.186634e-02
1.300000e+01 6.326000e+01 1.610000e+03 1.247918e-02
1.400000e+01 6.565000e+01 1.646000e+03 1.302344e-02
1.500000e+01 6.795000e+01 1.679000e+03 1.354179e-02
1.600000e+01 7.018000e+01 1.710000e+03 1.406023e-02
1.700000e+01 7.234000e+01 1.740000e+03 1.457875e-02
1.800000e+01 7.444000e+01 1.767000e+03 1.507780e-02
2.000000e+01 7.846000e+01 1.817000e+03 1.602030e-02
2.250000e+01 8.322000e+01 1.872000e+03 1.727252e-02
2.500000e+01 8.772000e+01 1.921000e+03 1.840516e-02
2.750000e+01 9.200000e+01 1.964000e+03 1.953817e-02
3.000000e+01 9.610000e+01 2.002000e+03 2.060024e-02
3.250000e+01 1.000000e+02 2.036000e+03 2.173338e-02
3.500000e+01 1.038000e+02 2.067000e+03 2.277147e-02
3.750000e+01 1.074000e+02 2.096000e+03 2.380966e-02
4.000000e+01 1.110000e+02 2.121000e+03 2.484794e-02
4.500000e+01 1.177000e+02 2.166000e+03 2.690595e-02
5.000000e+01 1.241000e+02 2.204000e+03 2.898293e-02
5.500000e+01 1.301000e+02 2.237000e+03 3.094592e-02
6.000000e+01 1.359000e+02 2.264000e+03 3.290912e-02
6.500000e+01 1.415000e+02 2.288000e+03 3.475442e-02
7.000000e+01 1.468000e+02 2.309000e+03 3.671798e-02
8.000000e+01 1.569000e+02 2.342000e+03 4.043167e-02
9.000000e+01 1.664000e+02 2.366000e+03 4.414578e-02
1.000000e+02 1.754000e+02 2.385000e+03 4.786021e-02
1.100000e+02 1.840000e+02 2.398000e+03 5.145765e-02
1.200000e+02 1.922000e+02 2.407000e+03 5.507640e-02
1.300000e+02 2.000000e+02 2.414000e+03 5.867793e-02
1.400000e+02 2.076000e+02 2.417000e+03 6.227624e-02
1.500000e+02 2.149000e+02 2.418000e+03 6.585780e-02
1.600000e+02 2.219000e+02 2.418000e+03 6.946006e-02
1.700000e+02 2.288000e+02 2.416000e+03 7.296259e-02
1.800000e+02 2.354000e+02 2.413000e+03 7.654502e-02
2.000000e+02 2.481000e+02 2.403000e+03 8.363396e-02
2.250000e+02 2.632000e+02 2.386000e+03 9.255199e-02
2.500000e+02 2.919000e+02 2.367000e+03 1.014710e-01
2.750000e+02 3.375000e+02 2.345000e+03 1.103907e-01
3.000000e+02 3.692000e+02 2.322000e+03 1.191982e-01
3.250000e+02 3.915000e+02 2.298000e+03 1.280033e-01
3.500000e+02 4.078000e+02 2.273000e+03 1.367933e-01
3.750000e+02 4.201000e+02 2.248000e+03 1.456810e-01
4.000000e+02 4.302000e+02 2.223000e+03 1.546665e-01
4.500000e+02 4.470000e+02 2.173000e+03 1.727695e-01
5.000000e+02 4.628000e+02 2.125000e+03 1.910354e-01
5.500000e+02 4.794000e+02 2.078000e+03 2.095951e-01
6.000000e+02 4.973000e+02 2.033000e+03 2.284633e-01
6.500000e+02 5.165000e+02 1.989000e+03 2.474156e-01
7.000000e+02 5.369000e+02 1.948000e+03 2.666619e-01
8.000000e+02 5.799000e+02 1.870000e+03 3.055628e-01
9.000000e+02 6.246000e+02 1.798000e+03 3.450209e-01
1.000000e+03 6.697000e+02 1.733000e+03 3.848744e-01
1.100000e+03 7.145000e+02 1.672000e+03 4.250912e-01
