# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 6.608000e+01 1.277000e+03 1.255747e-02
1.300000e+01 6.877000e+01 1.300000e+03 1.321855e-02
1.400000e+01 7.137000e+01 1.321000e+03 1.385713e-02
1.500000e+01 7.388000e+01 1.340000e+03 1.446720e-02
1.600000e+01 7.630000e+01 1.358000e+03 1.510596e-02
1.700000e+01 7.865000e+01 1.374000e+03 1.573849e-02
1.800000e+01 8.093000e+01 1.389000e+03 1.637712e-02
2.000000e+01 8.530000e+01 1.415000e+03 1.753311e-02
2.250000e+01 9.048000e+01 1.443000e+03 1.899184e-02
2.500000e+01 9.537000e+01 1.466000e+03 2.047828e-02
2.750000e+01 1.000000e+02 1.486000e+03 2.193764e-02
3.000000e+01 1.045000e+02 1.502000e+03 2.328218e-02
3.250000e+01 1.087000e+02 1.516000e+03 2.476873e-02
3.500000e+01 1.128000e+02 1.528000e+03 2.613465e-02
3.750000e+01 1.168000e+02 1.538000e+03 2.747981e-02
4.000000e+01 1.206000e+02 1.547000e+03 2.884597e-02
4.500000e+01 1.280000e+02 1.561000e+03 3.155788e-02
5.000000e+01 1.349000e+02 1.570000e+03 3.427025e-02
5.500000e+01 1.415000e+02 1.576000e+03 3.686814e-02
6.000000e+01 1.478000e+02 1.580000e+03 3.958118e-02
6.500000e+01 1.538000e+02 1.582000e+03 4.219964e-02
7.000000e+01 1.596000e+02 1.582000e+03 4.489332e-02
8.000000e+01 1.706000e+02 1.579000e+03 5.010629e-02
9.000000e+01 1.810000e+02 1.572000e+03 5.537635e-02
1.000000e+02 1.908000e+02 1.562000e+03 6.069053e-02
1.100000e+02 2.001000e+02 1.551000e+03 6.598129e-02
1.200000e+02 2.090000e+02 1.538000e+03 7.127258e-02
1.300000e+02 2.175000e+02 1.525000e+03 7.654580e-02
1.400000e+02 2.257000e+02 1.511000e+03 8.191050e-02
1.500000e+02 2.336000e+02 1.497000e+03 8.720310e-02
1.600000e+02 2.416000e+02 1.482000e+03 9.266920e-02
1.700000e+02 2.635000e+02 1.468000e+03 9.805804e-02
1.800000e+02 2.812000e+02 1.453000e+03 1.034069e-01
2.000000e+02 3.077000e+02 1.424000e+03 1.141460e-01
2.250000e+02 3.303000e+02 1.389000e+03 1.277536e-01
2.500000e+02 3.470000e+02 1.355000e+03 1.414590e-01
2.750000e+02 3.613000e+02 1.322000e+03 1.553371e-01
3.000000e+02 3.749000e+02 1.291000e+03 1.693134e-01
3.250000e+02 3.886000e+02 1.261000e+03 1.835638e-01
3.500000e+02 4.027000e+02 1.233000e+03 1.978326e-01
3.750000e+02 4.172000e+02 1.206000e+03 2.123923e-01
4.000000e+02 4.323000e+02 1.180000e+03 2.269535e-01
4.500000e+02 4.633000e+02 1.132000e+03 2.564463e-01
5.000000e+02 4.950000e+02 1.089000e+03 2.863116e-01
5.500000e+02 5.267000e+02 1.049000e+03 3.163719e-01
