# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 5.874000e+01 1.670000e+03 1.208677e-02
1.300000e+01 6.113000e+01 1.717000e+03 1.260555e-02
1.400000e+01 6.344000e+01 1.760000e+03 1.312440e-02
1.500000e+01 6.567000e+01 1.800000e+03 1.364331e-02
1.600000e+01 6.782000e+01 1.839000e+03 1.406698e-02
1.700000e+01 6.991000e+01 1.874000e+03 1.456777e-02
1.800000e+01 7.194000e+01 1.908000e+03 1.508675e-02
2.000000e+01 7.583000e+01 1.971000e+03 1.602935e-02
2.250000e+01 8.043000e+01 2.041000e+03 1.706751e-02
2.500000e+01 8.478000e+01 2.103000e+03 1.818351e-02
2.750000e+01 8.892000e+01 2.159000e+03 1.922186e-02
3.000000e+01 9.287000e+01 2.209000e+03 2.026031e-02
3.250000e+01 9.666000e+01 2.255000e+03 2.129883e-02
3.500000e+01 1.003000e+02 2.297000e+03 2.220158e-02
3.750000e+01 1.038000e+02 2.336000e+03 2.314433e-02
4.000000e+01 1.072000e+02 2.372000e+03 2.416547e-02
4.500000e+01 1.137000e+02 2.435000e+03 2.601173e-02
5.000000e+01 1.199000e+02 2.491000e+03 2.778363e-02
5.500000e+01 1.257000e+02 2.539000e+03 2.953405e-02
6.000000e+01 1.313000e+02 2.582000e+03 3.128466e-02
6.500000e+01 1.367000e+02 2.620000e+03 3.301833e-02
7.000000e+01 1.419000e+02 2.654000e+03 3.476924e-02
8.000000e+01 1.517000e+02 2.711000e+03 3.806166e-02
9.000000e+01 1.609000e+02 2.758000e+03 4.133413e-02
1.000000e+02 1.696000e+02 2.796000e+03 4.453055e-02
1.100000e+02 1.778000e+02 2.828000e+03 4.769077e-02
1.200000e+02 1.857000e+02 2.854000e+03 5.077115e-02
1.300000e+02 1.933000e+02 2.876000e+03 5.387114e-02
1.400000e+02 2.006000e+02 2.893000e+03 5.693549e-02
1.500000e+02 2.077000e+02 2.908000e+03 6.001625e-02
1.600000e+02 2.145000e+02 2.920000e+03 6.308106e-02
1.700000e+02 2.211000e+02 2.929000e+03 6.604922e-02
1.800000e+02 2.275000e+02 2.937000e+03 6.899877e-02
2.000000e+02 2.398000e+02 2.947000e+03 7.504858e-02
2.250000e+02 2.543000e+02 2.952000e+03 8.241268e-02
2.500000e+02 2.681000e+02 2.950000e+03 8.988988e-02
2.750000e+02 2.812000e+02 2.944000e+03 9.723693e-02
3.000000e+02 2.937000e+02 2.935000e+03 1.046024e-01
3.250000e+02 3.109000e+02 2.923000e+03 1.120478e-01
3.500000e+02 3.286000e+02 2.908000e+03 1.193814e-01
3.750000e+02 3.455000e+02 2.893000e+03 1.267305e-01
4.000000e+02 3.615000e+02 2.875000e+03 1.341772e-01
4.500000e+02 3.908000e+02 2.839000e+03 1.489596e-01
5.000000e+02 4.170000e+02 2.800000e+03 1.638407e-01
5.500000e+02 4.406000e+02 2.760000e+03 1.787226e-01
6.000000e+02 4.624000e+02 2.720000e+03 1.937841e-01
6.500000e+02 4.829000e+02 2.680000e+03 2.089443e-01
7.000000e+02 5.022000e+02 2.641000e+03 2.241893e-01
8.000000e+02 5.385000e+02 2.564000e+03 2.550185e-01
9.000000e+02 5.725000e+02 2.491000e+03 2.863099e-01
1.000000e+03 6.052000e+02 2.421000e+03 3.180089e-01
1.100000e+03 6.370000e+02 2.355000e+03 3.500867e-01
1.200000e+03 6.683000e+02 2.293000e+03 3.825457e-01
1.300000e+03 6.994000e+02 2.234000e+03 4.152994e-01
1.400000e+03 7.303000e+02 2.178000e+03 4.484476e-01
1.500000e+03 7.613000e+02 2.126000e+03 4.818780e-01
1.600000e+03 7.923000e+02 2.076000e+03 5.154941e-01
1.700000e+03 8.232000e+02 2.029000e+03 5.494195e-01
1.800000e+03 8.543000e+02 1.985000e+03 5.835293e-01
2.000000e+03 9.164000e+02 1.902000e+03 6.521606e-01
2.250000e+03 9.942000e+02 1.809000e+03 7.386406e-01
2.500000e+03 1.072000e+03 1.727000e+03 8.254832e-01
2.750000e+03 1.149000e+03 1.652000e+03 9.123689e-01
3.000000e+03 1.226000e+03 1.585000e+03 9.992012e-01
3.250000e+03 1.302000e+03 1.524000e+03 1.085389e+00
3.500000e+03 1.377000e+03 1.469000e+03 1.176050e+00
3.750000e+03 1.451000e+03 1.418000e+03 1.256809e+00
4.000000e+03 1.525000e+03 1.370000e+03 1.337503e+00
4.500000e+03 1.670000e+03 1.287000e+03 1.508723e+00
5.000000e+03 1.812000e+03 1.214000e+03 1.669857e+00
5.500000e+03 1.950000e+03 1.150000e+03 1.830828e+00
6.000000e+03 2.086000e+03 1.094000e+03 1.991630e+00
6.500000e+03 2.220000e+03 1.043000e+03 2.142416e+00
