# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 6.311000e+01 1.460000e+03 1.184694e-02
1.300000e+01 6.569000e+01 1.492000e+03 1.247958e-02
1.400000e+01 6.817000e+01 1.521000e+03 1.302459e-02
1.500000e+01 7.056000e+01 1.548000e+03 1.363598e-02
1.600000e+01 7.288000e+01 1.573000e+03 1.415380e-02
1.700000e+01 7.512000e+01 1.596000e+03 1.469864e-02
1.800000e+01 7.730000e+01 1.618000e+03 1.521644e-02
2.000000e+01 8.148000e+01 1.657000e+03 1.634656e-02
2.250000e+01 8.642000e+01 1.699000e+03 1.759773e-02
2.500000e+01 9.110000e+01 1.736000e+03 1.886955e-02
2.750000e+01 9.554000e+01 1.767000e+03 2.012088e-02
3.000000e+01 9.979000e+01 1.795000e+03 2.125229e-02
3.250000e+01 1.039000e+02 1.820000e+03 2.250400e-02
3.500000e+01 1.078000e+02 1.841000e+03 2.368122e-02
3.750000e+01 1.116000e+02 1.861000e+03 2.481310e-02
4.000000e+01 1.152000e+02 1.878000e+03 2.597018e-02
4.500000e+01 1.222000e+02 1.907000e+03 2.823491e-02
5.000000e+01 1.288000e+02 1.931000e+03 3.052474e-02
5.500000e+01 1.351000e+02 1.950000e+03 3.271972e-02
6.000000e+01 1.411000e+02 1.966000e+03 3.489083e-02
6.500000e+01 1.469000e+02 1.978000e+03 3.706670e-02
7.000000e+01 1.524000e+02 1.988000e+03 3.923837e-02
8.000000e+01 1.630000e+02 2.002000e+03 4.358681e-02
9.000000e+01 1.728000e+02 2.010000e+03 4.784036e-02
1.000000e+02 1.822000e+02 2.013000e+03 5.207149e-02
1.100000e+02 1.911000e+02 2.013000e+03 5.632575e-02
1.200000e+02 1.996000e+02 2.010000e+03 6.046205e-02
1.300000e+02 2.077000e+02 2.005000e+03 6.469451e-02
1.400000e+02 2.156000e+02 1.998000e+03 6.892735e-02
1.500000e+02 2.231000e+02 1.990000e+03 7.314267e-02
1.600000e+02 2.305000e+02 1.981000e+03 7.739780e-02
1.700000e+02 2.376000e+02 1.971000e+03 8.161379e-02
1.800000e+02 2.444000e+02 1.961000e+03 8.584760e-02
2.000000e+02 2.717000e+02 1.939000e+03 9.437341e-02
2.250000e+02 3.261000e+02 1.910000e+03 1.048857e-01
2.500000e+02 3.585000e+02 1.879000e+03 1.153782e-01
2.750000e+02 3.785000e+02 1.849000e+03 1.259513e-01
3.000000e+02 3.920000e+02 1.819000e+03 1.365220e-01
3.250000e+02 4.023000e+02 1.789000e+03 1.472904e-01
3.500000e+02 4.115000e+02 1.760000e+03 1.581529e-01
3.750000e+02 4.206000e+02 1.731000e+03 1.691166e-01
4.000000e+02 4.303000e+02 1.704000e+03 1.800776e-01
4.500000e+02 4.519000e+02 1.651000e+03 2.024895e-01
5.000000e+02 4.767000e+02 1.601000e+03 2.252921e-01
5.500000e+02 5.039000e+02 1.554000e+03 2.482729e-01
6.000000e+02 5.327000e+02 1.511000e+03 2.714657e-01
6.500000e+02 5.626000e+02 1.469000e+03 2.949191e-01
7.000000e+02 5.928000e+02 1.431000e+03 3.183749e-01
8.000000e+02 6.533000e+02 1.360000e+03 3.657765e-01
9.000000e+02 7.121000e+02 1.297000e+03 4.134114e-01
