# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 5.435000e+01 1.572000e+03 1.214990e-02
1.300000e+01 5.657000e+01 1.612000e+03 1.266846e-02
1.400000e+01 5.871000e+01 1.649000e+03 1.328194e-02
1.500000e+01 6.077000e+01 1.684000e+03 1.382570e-02
1.600000e+01 6.276000e+01 1.716000e+03 1.432515e-02
1.700000e+01 6.469000e+01 1.746000e+03 1.484385e-02
1.800000e+01 6.657000e+01 1.774000e+03 1.526761e-02
2.000000e+01 7.017000e+01 1.826000e+03 1.630521e-02
2.250000e+01 7.443000e+01 1.883000e+03 1.743818e-02
2.500000e+01 7.845000e+01 1.934000e+03 1.869064e-02
2.750000e+01 8.228000e+01 1.979000e+03 1.982398e-02
3.000000e+01 8.594000e+01 2.019000e+03 2.086217e-02
3.250000e+01 8.945000e+01 2.055000e+03 2.199591e-02
3.500000e+01 9.283000e+01 2.088000e+03 2.303432e-02
3.750000e+01 9.608000e+01 2.118000e+03 2.405431e-02
4.000000e+01 9.924000e+01 2.145000e+03 2.509283e-02
4.500000e+01 1.053000e+02 2.193000e+03 2.717002e-02
5.000000e+01 1.109000e+02 2.234000e+03 2.922910e-02
5.500000e+01 1.164000e+02 2.269000e+03 3.119263e-02
6.000000e+01 1.215000e+02 2.299000e+03 3.303846e-02
6.500000e+01 1.265000e+02 2.325000e+03 3.500229e-02
7.000000e+01 1.313000e+02 2.348000e+03 3.687018e-02
8.000000e+01 1.403000e+02 2.385000e+03 4.065932e-02
9.000000e+01 1.489000e+02 2.414000e+03 4.427799e-02
1.000000e+02 1.569000e+02 2.436000e+03 4.799302e-02
1.100000e+02 1.646000e+02 2.452000e+03 5.157412e-02
1.200000e+02 1.719000e+02 2.464000e+03 5.517282e-02
1.300000e+02 1.789000e+02 2.473000e+03 5.867862e-02
1.400000e+02 1.857000e+02 2.479000e+03 6.226090e-02
1.500000e+02 1.922000e+02 2.483000e+03 6.576367e-02
1.600000e+02 1.985000e+02 2.485000e+03 6.924991e-02
1.700000e+02 2.046000e+02 2.485000e+03 7.283303e-02
1.800000e+02 2.105000e+02 2.483000e+03 7.631972e-02
2.000000e+02 2.219000e+02 2.477000e+03 8.329358e-02
2.250000e+02 2.354000e+02 2.465000e+03 9.211645e-02
2.500000e+02 2.481000e+02 2.448000e+03 1.009051e-01
2.750000e+02 2.875000e+02 2.429000e+03 1.096322e-01
3.000000e+02 3.297000e+02 2.409000e+03 1.183254e-01
3.250000e+02 3.587000e+02 2.387000e+03 1.270192e-01
3.500000e+02 3.789000e+02 2.364000e+03 1.356953e-01
3.750000e+02 3.933000e+02 2.341000e+03 1.443901e-01
4.000000e+02 4.039000e+02 2.317000e+03 1.531494e-01
4.500000e+02 4.194000e+02 2.270000e+03 1.707354e-01
5.000000e+02 4.323000e+02 2.223000e+03 1.886795e-01
5.500000e+02 4.455000e+02 2.178000e+03 2.068029e-01
6.000000e+02 4.602000e+02 2.133000e+03 2.251547e-01
6.500000e+02 4.765000e+02 2.091000e+03 2.436882e-01
7.000000e+02 4.944000e+02 2.049000e+03 2.625300e-01
8.000000e+02 5.339000e+02 1.972000e+03 3.005930e-01
9.000000e+02 5.765000e+02 1.900000e+03 3.391164e-01
1.000000e+03 6.207000e+02 1.834000e+03 3.782443e-01
1.100000e+03 6.654000e+02 1.773000e+03 4.176401e-01
1.200000e+03 7.097000e+02 1.716000e+03 4.573311e-01
1.300000e+03 7.533000e+02 1.664000e+03 4.971929e-01
1.400000e+03 7.959000e+02 1.615000e+03 5.372244e-01
1.500000e+03 8.372000e+02 1.569000e+03 5.773572e-01
1.600000e+03 8.774000e+02 1.526000e+03 6.175495e-01
1.700000e+03 9.164000e+02 1.486000e+03 6.578430e-01
1.800000e+03 9.541000e+02 1.448000e+03 6.982235e-01
2.000000e+03 1.026000e+03 1.379000e+03 7.788551e-01
2.250000e+03 1.111000e+03 1.303000e+03 8.796617e-01
2.500000e+03 1.191000e+03 1.236000e+03 9.799724e-01
2.750000e+03 1.268000e+03 1.177000e+03 1.076540e+00
3.000000e+03 1.341000e+03 1.124000e+03 1.177366e+00
3.250000e+03 1.412000e+03 1.077000e+03 1.278135e+00
3.500000e+03 1.481000e+03 1.034000e+03 1.378823e+00
3.750000e+03 1.549000e+03 9.942000e+02 1.469588e+00
4.000000e+03 1.616000e+03 9.583000e+02 1.570140e+00
4.500000e+03 1.750000e+03 8.948000e+02 1.751448e+00
5.000000e+03 1.883000e+03 8.403000e+02 1.932498e+00
5.500000e+03 2.016000e+03 7.930000e+02 2.113354e+00
6.000000e+03 2.150000e+03 7.515000e+02 2.284141e+00
6.500000e+03 2.286000e+03 7.146000e+02 2.454751e+00
7.000000e+03 2.422000e+03 6.817000e+02 2.615317e+00
8.000000e+03 2.696000e+03 6.253000e+02 2.916413e+00
9.000000e+03 2.971000e+03 5.786000e+02 3.207141e+00
1.000000e+04 3.244000e+03 5.392000e+02 3.477675e+00
1.100000e+04 3.514000e+03 5.054000e+02 3.728087e+00
1.200000e+04 3.779000e+03 4.761000e+02 3.968338e+00
1.300000e+04 4.038000e+03 4.504000e+02 4.188556e+00
1.400000e+04 4.290000e+03 4.276000e+02 4.408634e+00
1.500000e+04 4.533000e+03 4.073000e+02 4.608717e+00
1.600000e+04 4.768000e+03 3.891000e+02 4.808699e+00
1.700000e+04 4.995000e+03 3.725000e+02 4.998665e+00
1.800000e+04 5.213000e+03 3.575000e+02 5.178626e+00
2.000000e+04 5.624000e+03 3.312000e+02 5.518595e+00
2.250000e+04 6.091000e+03 3.039000e+02 5.928437e+00
2.500000e+04 6.511000e+03 2.811000e+02 6.298280e+00
2.750000e+04 6.888000e+03 2.618000e+02 6.658026e+00
3.000000e+04 7.229000e+03 2.452000e+02 6.997752e+00
3.250000e+04 7.539000e+03 2.308000e+02 7.327452e+00
3.500000e+04 7.821000e+03 2.182000e+02 7.637179e+00
3.750000e+04 8.080000e+03 2.070000e+02 7.946864e+00
4.000000e+04 8.319000e+03 1.970000e+02 8.236596e+00
4.500000e+04 8.752000e+03 1.798000e+02 8.806202e+00
5.000000e+04 9.136000e+03 1.657000e+02 9.355783e+00
5.500000e+04 9.485000e+03 1.538000e+02 9.885370e+00
6.000000e+04 9.807000e+03 1.436000e+02 1.039497e+01
6.500000e+04 1.011000e+04 1.348000e+02 1.088459e+01
7.000000e+04 1.039000e+04 1.271000e+02 1.136422e+01
8.000000e+04 1.092000e+04 1.142000e+02 1.229385e+01
9.000000e+04 1.140000e+04 1.039000e+02 1.317349e+01
1.000000e+05 1.185000e+04 9.545000e+01 1.402311e+01
