# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 9.961000e+01 1.599000e+03 1.182074e-02
1.300000e+01 1.037000e+02 1.640000e+03 1.232031e-02
1.400000e+01 1.076000e+02 1.678000e+03 1.283900e-02
1.500000e+01 1.114000e+02 1.714000e+03 1.335777e-02
1.600000e+01 1.150000e+02 1.747000e+03 1.387660e-02
1.700000e+01 1.186000e+02 1.779000e+03 1.430035e-02
1.800000e+01 1.220000e+02 1.808000e+03 1.481924e-02
2.000000e+01 1.286000e+02 1.862000e+03 1.576198e-02
2.250000e+01 1.364000e+02 1.922000e+03 1.687661e-02
2.500000e+01 1.438000e+02 1.974000e+03 1.801027e-02
2.750000e+01 1.508000e+02 2.021000e+03 1.907197e-02
3.000000e+01 1.575000e+02 2.064000e+03 2.011020e-02
3.250000e+01 1.639000e+02 2.102000e+03 2.114852e-02
3.500000e+01 1.701000e+02 2.136000e+03 2.216867e-02
3.750000e+01 1.761000e+02 2.168000e+03 2.320711e-02
4.000000e+01 1.819000e+02 2.196000e+03 2.412737e-02
4.500000e+01 1.929000e+02 2.247000e+03 2.609080e-02
5.000000e+01 2.033000e+02 2.291000e+03 2.795854e-02
5.500000e+01 2.133000e+02 2.328000e+03 2.980436e-02
6.000000e+01 2.227000e+02 2.360000e+03 3.165059e-02
6.500000e+01 2.318000e+02 2.389000e+03 3.342245e-02
7.000000e+01 2.406000e+02 2.413000e+03 3.526897e-02
8.000000e+01 2.572000e+02 2.454000e+03 3.875294e-02
9.000000e+01 2.728000e+02 2.486000e+03 4.214131e-02
1.000000e+02 2.876000e+02 2.510000e+03 4.553010e-02
1.100000e+02 3.016000e+02 2.529000e+03 4.883964e-02
1.200000e+02 3.150000e+02 2.544000e+03 5.222882e-02
1.300000e+02 3.279000e+02 2.554000e+03 5.548513e-02
1.400000e+02 3.402000e+02 2.562000e+03 5.868168e-02
1.500000e+02 3.522000e+02 2.568000e+03 6.195531e-02
1.600000e+02 3.637000e+02 2.571000e+03 6.524868e-02
1.700000e+02 3.749000e+02 2.572000e+03 6.840972e-02
1.800000e+02 3.858000e+02 2.572000e+03 7.158729e-02
2.000000e+02 4.067000e+02 2.569000e+03 7.804262e-02
2.250000e+02 4.313000e+02 2.559000e+03 8.592473e-02
2.500000e+02 4.547000e+02 2.544000e+03 9.390453e-02
2.750000e+02 4.788000e+02 2.527000e+03 1.017695e-01
3.000000e+02 5.031000e+02 2.508000e+03 1.097505e-01
3.250000e+02 5.251000e+02 2.487000e+03 1.176015e-01
3.500000e+02 5.449000e+02 2.465000e+03 1.255655e-01
3.750000e+02 5.627000e+02 2.443000e+03 1.334177e-01
4.000000e+02 5.788000e+02 2.420000e+03 1.413827e-01
4.500000e+02 6.074000e+02 2.374000e+03 1.573961e-01
5.000000e+02 6.326000e+02 2.328000e+03 1.734768e-01
5.500000e+02 6.558000e+02 2.283000e+03 1.897712e-01
6.000000e+02 6.776000e+02 2.238000e+03 2.061619e-01
6.500000e+02 6.985000e+02 2.196000e+03 2.227350e-01
7.000000e+02 7.189000e+02 2.154000e+03 2.393073e-01
8.000000e+02 7.586000e+02 2.076000e+03 2.730616e-01
9.000000e+02 7.979000e+02 2.003000e+03 3.072907e-01
1.000000e+03 8.373000e+02 1.935000e+03 3.418995e-01
1.100000e+03 8.772000e+02 1.873000e+03 3.768902e-01
1.200000e+03 9.176000e+02 1.815000e+03 4.121763e-01
1.300000e+03 9.586000e+02 1.760000e+03 4.476339e-01
1.400000e+03 1.000000e+03 1.710000e+03 4.833745e-01
1.500000e+03 1.042000e+03 1.663000e+03 5.191039e-01
1.600000e+03 1.084000e+03 1.618000e+03 5.549342e-01
1.700000e+03 1.126000e+03 1.577000e+03 5.908376e-01
1.800000e+03 1.169000e+03 1.538000e+03 6.267312e-01
2.000000e+03 1.253000e+03 1.466000e+03 6.983029e-01
2.250000e+03 1.359000e+03 1.387000e+03 7.873206e-01
2.500000e+03 1.462000e+03 1.317000e+03 8.755477e-01
2.750000e+03 1.564000e+03 1.255000e+03 9.625930e-01
3.000000e+03 1.663000e+03 1.199000e+03 1.044635e+00
3.250000e+03 1.759000e+03 1.149000e+03 1.135185e+00
3.500000e+03 1.853000e+03 1.104000e+03 1.215789e+00
3.750000e+03 1.945000e+03 1.062000e+03 1.296333e+00
4.000000e+03 2.034000e+03 1.024000e+03 1.376818e+00
4.500000e+03 2.204000e+03 9.573000e+02 1.537693e+00
5.000000e+03 2.367000e+03 8.997000e+02 1.688487e+00
5.500000e+03 2.522000e+03 8.496000e+02 1.839108e+00
6.000000e+03 2.670000e+03 8.055000e+02 1.979695e+00
6.500000e+03 2.814000e+03 7.664000e+02 2.120154e+00
7.000000e+03 2.953000e+03 7.315000e+02 2.250600e+00
8.000000e+03 3.221000e+03 6.715000e+02 2.511360e+00
9.000000e+03 3.479000e+03 6.217000e+02 2.761886e+00
1.000000e+04 3.731000e+03 5.797000e+02 2.992334e+00
1.100000e+04 3.979000e+03 5.436000e+02 3.222584e+00
1.200000e+04 4.223000e+03 5.123000e+02 3.432829e+00
1.300000e+04 4.465000e+03 4.848000e+02 3.642936e+00
1.400000e+04 4.705000e+03 4.605000e+02 3.833063e+00
1.500000e+04 4.943000e+03 4.387000e+02 4.023113e+00
1.600000e+04 5.178000e+03 4.192000e+02 4.203130e+00
1.700000e+04 5.410000e+03 4.015000e+02 4.373155e+00
1.800000e+04 5.640000e+03 3.854000e+02 4.543117e+00
2.000000e+04 6.089000e+03 3.572000e+02 4.863111e+00
2.250000e+04 6.628000e+03 3.278000e+02 5.233077e+00
2.500000e+04 7.140000e+03 3.033000e+02 5.572986e+00
2.750000e+04 7.623000e+03 2.826000e+02 5.902807e+00
3.000000e+04 8.077000e+03 2.648000e+02 6.202643e+00
3.250000e+04 8.502000e+03 2.493000e+02 6.502412e+00
3.500000e+04 8.900000e+03 2.357000e+02 6.772222e+00
3.750000e+04 9.273000e+03 2.236000e+02 7.041996e+00
4.000000e+04 9.622000e+03 2.129000e+02 7.301769e+00
4.500000e+04 1.026000e+04 1.944000e+02 7.791488e+00
5.000000e+04 1.082000e+04 1.792000e+02 8.261173e+00
5.500000e+04 1.132000e+04 1.663000e+02 8.700871e+00
6.000000e+04 1.177000e+04 1.554000e+02 9.130553e+00
6.500000e+04 1.218000e+04 1.459000e+02 9.540253e+00
7.000000e+04 1.255000e+04 1.376000e+02 9.939961e+00
8.000000e+04 1.320000e+04 1.237000e+02 1.069969e+01
9.000000e+04 1.376000e+04 1.126000e+02 1.143938e+01
1.000000e+05 1.425000e+04 1.034000e+02 1.213908e+01
