# Energy(keV)    dEe/dx(keV/micro_m)  dEn/dx(keV/micro_m)  x(micro_m)
1.200000e+01 6.468000e+01 1.406000e+03 1.199000e-02
1.300000e+01 6.732000e+01 1.435000e+03 1.260079e-02
1.400000e+01 6.986000e+01 1.461000e+03 1.326122e-02
1.500000e+01 7.232000e+01 1.485000e+03 1.377861e-02
1.600000e+01 7.469000e+01 1.508000e+03 1.441735e-02
1.700000e+01 7.699000e+01 1.529000e+03 1.493486e-02
1.800000e+01 7.922000e+01 1.548000e+03 1.545251e-02
2.000000e+01 8.350000e+01 1.582000e+03 1.660903e-02
2.250000e+01 8.857000e+01 1.620000e+03 1.788072e-02
2.500000e+01 9.336000e+01 1.652000e+03 1.922550e-02
2.750000e+01 9.792000e+01 1.679000e+03 2.049732e-02
3.000000e+01 1.023000e+02 1.703000e+03 2.174833e-02
3.250000e+01 1.064000e+02 1.724000e+03 2.297368e-02
3.500000e+01 1.105000e+02 1.742000e+03 2.424562e-02
3.750000e+01 1.143000e+02 1.758000e+03 2.549706e-02
4.000000e+01 1.181000e+02 1.772000e+03 2.674864e-02
4.500000e+01 1.253000e+02 1.796000e+03 2.915236e-02
5.000000e+01 1.320000e+02 1.815000e+03 3.144153e-02
5.500000e+01 1.385000e+02 1.829000e+03 3.382588e-02
6.000000e+01 1.446000e+02 1.840000e+03 3.611565e-02
6.500000e+01 1.505000e+02 1.849000e+03 3.840560e-02
7.000000e+01 1.562000e+02 1.855000e+03 4.069570e-02
8.000000e+01 1.670000e+02 1.863000e+03 4.525251e-02
9.000000e+01 1.771000e+02 1.865000e+03 4.981466e-02
1.000000e+02 1.867000e+02 1.863000e+03 5.437288e-02
1.100000e+02 1.958000e+02 1.858000e+03 5.881751e-02
1.200000e+02 2.045000e+02 1.852000e+03 6.337673e-02
1.300000e+02 2.129000e+02 1.843000e+03 6.791797e-02
1.400000e+02 2.209000e+02 1.833000e+03 7.245971e-02
1.500000e+02 2.287000e+02 1.823000e+03 7.701987e-02
1.600000e+02 2.362000e+02 1.812000e+03 8.156225e-02
1.700000e+02 2.435000e+02 1.800000e+03 8.610494e-02
1.800000e+02 2.511000e+02 1.787000e+03 9.064789e-02
