,image_filename,track_id,centroid_x_px_ellipse,centroid_y_px_ellipse,major_axis_px,minor_axis_px,orientation_deg,len_um
0,Frame10_Acquisition_3925_0_0.png,1,36.2,828.4,11.05,9.64,68.7,3.81
1,Frame10_Acquisition_3925_0_0.png,2,123.9,437.3,8.36,7.05,115.99,2.88
2,Frame10_Acquisition_3925_0_1.png,1,232.2,858.2,11.14,11.13,135.0,3.84
3,Frame10_Acquisition_3925_0_1.png,2,983.9,758.3,8.19,5.02,109.02,2.83
4,Frame10_Acquisition_3925_0_1.png,3,167.1,643.4,8.85,3.18,95.68,3.05
5,Frame10_Acquisition_3925_1_0.png,1,17.6,950.3,4.94,3.95,88.22,1.71
6,Frame10_Acquisition_3925_1_0.png,2,480.9,928.1,11.45,10.63,29.77,3.95
7,Frame10_Acquisition_3925_1_0.png,3,705.7,497.7,12.21,10.77,165.96,4.21
8,Frame10_Acquisition_3925_1_0.png,4,148.4,285.5,8.7,6.6,126.63,3.0
9,Frame10_Acquisition_3925_1_1.png,1,323.2,1020.3,5.9,3.27,116.25,2.03
10,Frame10_Acquisition_3925_1_1.png,2,586.2,1020.3,11.18,9.86,117.27,3.86
11,Frame10_Acquisition_3925_1_1.png,3,931.7,1016.3,18.53,14.51,54.65,6.39
12,Frame10_Acquisition_3925_1_1.png,4,29.3,1000.0,27.1,12.92,8.72,9.35
13,Frame10_Acquisition_3925_1_1.png,5,76.9,978.1,25.92,19.67,74.58,8.94
14,Frame10_Acquisition_3925_1_1.png,6,587.7,961.8,16.63,14.12,165.44,5.74
15,Frame10_Acquisition_3925_1_1.png,7,868.1,945.3,5.17,4.13,126.18,1.78
16,Frame10_Acquisition_3925_1_1.png,8,1018.0,889.3,9.31,7.32,161.51,3.21
17,Frame10_Acquisition_3925_1_1.png,9,92.5,861.0,10.77,8.44,129.67,3.72
18,Frame10_Acquisition_3925_1_1.png,10,823.3,842.2,4.57,3.57,20.56,1.58
19,Frame10_Acquisition_3925_1_1.png,11,695.1,846.1,14.62,14.01,161.42,5.04
20,Frame10_Acquisition_3925_1_1.png,12,849.3,804.7,14.42,13.64,2.31,4.98
21,Frame10_Acquisition_3925_1_1.png,13,162.2,780.9,17.2,14.95,131.1,5.93
22,Frame10_Acquisition_3925_1_1.png,14,1014.4,768.7,10.46,9.35,97.32,3.61
23,Frame10_Acquisition_3925_1_1.png,15,819.6,716.5,14.45,10.91,84.1,4.98
24,Frame10_Acquisition_3925_1_1.png,16,3.2,679.6,9.09,4.49,168.6,3.14
25,Frame10_Acquisition_3925_1_1.png,17,557.0,662.1,11.72,10.42,179.77,4.04
26,Frame10_Acquisition_3925_1_1.png,18,197.1,648.1,12.69,11.01,147.47,4.38
27,Frame10_Acquisition_3925_1_1.png,19,181.5,626.8,11.15,5.27,52.52,3.85
