Size Bin (um),Recall,GT_Count,Precision,Pred_Count,Bin_mid
"(1.86, 3.904]",0.6730038022813688,263,0.12044817927170869,714,2.882374113321304
"(3.904, 4.519]",0.8015267175572519,262,0.20789473684210527,380,4.211593810558319
"(4.519, 4.933]",0.8969465648854962,262,0.3515850144092219,347,4.7261218600273125
"(4.933, 5.234]",0.9274809160305344,262,0.35668789808917195,314,5.083465417385101
"(5.234, 5.461]",0.9011406844106464,263,0.42857142857142855,294,5.34764838695526
"(5.461, 5.713]",0.8816793893129771,262,0.5014925373134328,335,5.587238735675811
"(5.713, 5.981]",0.9045801526717557,262,0.5760598503740648,401,5.84725370979309
"(5.981, 6.347]",0.9274809160305344,262,0.6344827586206897,580,6.16431504535675
"(6.347, 7.045]",0.9236641221374046,262,0.7013372956909361,673,6.6964263896942136
"(7.045, 15.944]",0.8593155893536122,263,0.6401985111662531,806,11.494865635871886
